Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strains,GEO Accession
SRR2921825,37550818,1877540900,50,930,SRX1431871,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP066187,PRJNA302167,28972146,"",SRS1162893,SAMN04267388,simple,4932,Saccharomyces cerevisiae,GSM1940305,GEO,SRA311532,07,2018,Acosta-Sampson,Mid-exponentially grown cells expressing NC,JCLIA001A,Mid-exponentially grown cells expressing NC,Engineered D452-2 containing the plasmid pRS316-NC,GSM1940305
SRR2921826,29732112,1486605600,50,732,SRX1431872,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP066187,PRJNA302167,28972146,"",SRS1162891,SAMN04267389,simple,4932,Saccharomyces cerevisiae,GSM1940306,GEO,SRA311532,07,2018,Acosta-Sampson,Mid-exponentially grown cells expressing NC,JCLIA001B,Mid-exponentially grown cells expressing NC,Engineered D452-2 containing the plasmid pRS316-NC,GSM1940306
SRR2921827,36221494,1811074700,50,890,SRX1431873,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP066187,PRJNA302167,28972146,"",SRS1162892,SAMN04267390,simple,4932,Saccharomyces cerevisiae,GSM1940307,GEO,SRA311532,07,2018,Acosta-Sampson,Mid-exponentially grown cells expressing NC,JCLIA001C,Mid-exponentially grown cells expressing NC,Engineered D452-2 containing the plasmid pRS316-NC,GSM1940307
SRR2921828,48178253,2408912650,50,1165,SRX1431874,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP066187,PRJNA302167,28972146,"",SRS1162890,SAMN04267391,simple,4932,Saccharomyces cerevisiae,GSM1940308,GEO,SRA311532,07,2018,Acosta-Sampson,Mid-exponentially grown cells expressing OPT,JCLIA001D,Mid-exponentially grown cells expressing OPT,Engineered D452-2 containing the plasmid pRS316-OPT,GSM1940308
SRR2921829,34453474,1722673700,50,835,SRX1431875,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP066187,PRJNA302167,28972146,"",SRS1162887,SAMN04267392,simple,4932,Saccharomyces cerevisiae,GSM1940309,GEO,SRA311532,07,2018,Acosta-Sampson,Mid-exponentially grown cells expressing OPT,JCLIA001E,Mid-exponentially grown cells expressing OPT,Engineered D452-2 containing the plasmid pRS316-OPT,GSM1940309
SRR2921830,32143841,1607192050,50,781,SRX1431876,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP066187,PRJNA302167,28972146,"",SRS1162888,SAMN04267393,simple,4932,Saccharomyces cerevisiae,GSM1940310,GEO,SRA311532,07,2018,Acosta-Sampson,Mid-exponentially grown cells expressing OPT,JCLIA001F,Mid-exponentially grown cells expressing OPT,Engineered D452-2 containing the plasmid pRS316-OPT,GSM1940310
SRR2921831,39801465,1990073250,50,978,SRX1431877,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP066187,PRJNA302167,28972146,"",SRS1162886,SAMN04267394,simple,4932,Saccharomyces cerevisiae,GSM1940311,GEO,SRA311532,07,2018,Acosta-Sampson,Mid-exponentially grown cells expressing NC,JCLIA002A,Mid-exponentially grown cells expressing NC,Engineered D452-2 containing the plasmid pRS316-NC,GSM1940311
SRR2921832,30719748,1535987400,50,757,SRX1431878,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP066187,PRJNA302167,28972146,"",SRS1162884,SAMN04267395,simple,4932,Saccharomyces cerevisiae,GSM1940312,GEO,SRA311532,07,2018,Acosta-Sampson,Mid-exponentially grown cells expressing NC,JCLIA002B,Mid-exponentially grown cells expressing NC,Engineered D452-2 containing the plasmid pRS316-NC,GSM1940312
SRR2921833,33549416,1677470800,50,827,SRX1431879,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP066187,PRJNA302167,28972146,"",SRS1162889,SAMN04267396,simple,4932,Saccharomyces cerevisiae,GSM1940313,GEO,SRA311532,07,2018,Acosta-Sampson,Mid-exponentially grown cells expressing NC,JCLIA002C,Mid-exponentially grown cells expressing NC,Engineered D452-2 containing the plasmid pRS316-NC,GSM1940313
SRR2921834,56107567,2805378350,50,1377,SRX1431880,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP066187,PRJNA302167,28972146,"",SRS1162885,SAMN04267397,simple,4932,Saccharomyces cerevisiae,GSM1940314,GEO,SRA311532,07,2018,Acosta-Sampson,Mid-exponentially grown cells expressing OPT,JCLIA002D,Mid-exponentially grown cells expressing OPT,Engineered D452-2 containing the plasmid pRS316-OPT,GSM1940314
SRR2921835,44357785,2217889250,50,1087,SRX1431881,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP066187,PRJNA302167,28972146,"",SRS1162883,SAMN04267398,simple,4932,Saccharomyces cerevisiae,GSM1940315,GEO,SRA311532,07,2018,Acosta-Sampson,Mid-exponentially grown cells expressing OPT,JCLIA002E,Mid-exponentially grown cells expressing OPT,Engineered D452-2 containing the plasmid pRS316-OPT,GSM1940315
SRR2921836,43577037,2178851850,50,1070,SRX1431882,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP066187,PRJNA302167,28972146,"",SRS1162882,SAMN04267399,simple,4932,Saccharomyces cerevisiae,GSM1940316,GEO,SRA311532,07,2018,Acosta-Sampson,Mid-exponentially grown cells expressing OPT,JCLIA002F,Mid-exponentially grown cells expressing OPT,Engineered D452-2 containing the plasmid pRS316-OPT,GSM1940316
