Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,strain,dev_stage,sex,tissue,BioSampleModel
SRR3031117,16934227,863645577,51,528,SRX1490622,fem1_mrna,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP067542,PRJNA306373,1,"",SRS1212301,SAMN04349634,simple,7227,Drosophila melanogaster,fem_body_3_10d,Peking University,SRA320662,08,2018,Makar,"","",ISO1,3-10d after eclosion,female,body,Model organism or animal
SRR3031118,25111796,1280701596,51,783,SRX1490623,fem2_mrna,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP067542,PRJNA306373,1,"",SRS1212301,SAMN04349634,simple,7227,Drosophila melanogaster,fem_body_3_10d,Peking University,SRA320662,08,2018,Makar,"","",ISO1,3-10d after eclosion,female,body,Model organism or animal
SRR3031119,19968182,1018377282,51,635,SRX1490624,mal1_mrna,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP067542,PRJNA306373,1,"",SRS1212300,SAMN04349635,simple,7227,Drosophila melanogaster,mal_body_3_10d,Peking University,SRA320662,08,2018,Makar,"","",ISO1,3-10d after eclosion,male,body,Model organism or animal
SRR3031120,11296512,576122112,51,352,SRX1490625,mal2_mrna,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP067542,PRJNA306373,1,"",SRS1212300,SAMN04349635,simple,7227,Drosophila melanogaster,mal_body_3_10d,Peking University,SRA320662,08,2018,Makar,"","",ISO1,3-10d after eclosion,male,body,Model organism or animal
SRR3031122,30771296,1569336096,51,1004,SRX1490628,s2_wt_mrna,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP067542,PRJNA306373,1,"",SRS1212310,SAMN04349636,simple,7227,Drosophila melanogaster,S2_WT,Peking University,SRA320662,08,2018,Makar,"","",Oregon R,20-24h embryo,not applicable,S2 cell,Model organism or animal
SRR3031124,65562560,3343690560,51,1616,SRX1490630,em_0_2h_ribo,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP067542,PRJNA306373,1,"",SRS1212306,SAMN04349628,simple,7227,Drosophila melanogaster,em_0_2h,Peking University,SRA320662,08,2018,Makar,"","",ISO1,0-2h embryo,pooled male and female,whole organism,Model organism or animal
SRR3031125,55488992,2829938592,51,1812,SRX1490631,em_2_6h_ribo,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP067542,PRJNA306373,1,"",SRS1212305,SAMN04349629,simple,7227,Drosophila melanogaster,em_2_6h,Peking University,SRA320662,08,2018,Makar,"","",ISO1,2-6h embryo,pooled male and female,whole organism,Model organism or animal
SRR3031126,66626458,3397949358,51,1711,SRX1490633,em_6_12h_ribo,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP067542,PRJNA306373,1,"",SRS1212298,SAMN04349630,simple,7227,Drosophila melanogaster,em_6_12h,Peking University,SRA320662,08,2018,Makar,"","",ISO1,6-12h embryo,pooled male and female,whole organism,Model organism or animal
SRR3031127,64252472,3276876072,51,2039,SRX1490634,em_12_24h_ribo,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP067542,PRJNA306373,1,"",SRS1212304,SAMN04349631,simple,7227,Drosophila melanogaster,em_12_24h,Peking University,SRA320662,08,2018,Makar,"","",ISO1,12-24h embryo,pooled male and female,whole organism,Model organism or animal
SRR3031128,40064255,2043277005,51,1392,SRX1490635,larvae_ribo,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP067542,PRJNA306373,1,"",SRS1212303,SAMN04349632,simple,7227,Drosophila melanogaster,larvae_3rd,Peking University,SRA320662,08,2018,Makar,"","",ISO1,Third instar larvae,pooled male and female,whole organism,Model organism or animal
