Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,treatment,substrain,GEO Accession
SRR3147100,61258516,3124184316,51,1969,SRX1562724,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP069339,PRJNA311041,28139975,"",SRS1277332,SAMN04457972,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2055244,GEO,SRA348058,01,2017,Burkhardt,bacteria,ribosome profiling 37°C in WT,bacteria,K-12,NA,MG1655,GSM2055244
SRR3147113,19442652,991575252,51,595,SRX1562735,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP069339,PRJNA311041,28139975,"",SRS1277321,SAMN04457983,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2055255,GEO,SRA348058,01,2017,Burkhardt,bacteria,mRNA-seq 37°C in WT,bacteria,K-12,NA,MG1655,GSM2055255
SRR3147120,82065272,4185328872,51,2814,SRX1562740,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP069339,PRJNA311041,28139975,"",SRS1277316,SAMN04457988,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2055260,GEO,SRA348058,01,2017,Burkhardt,bacteria,DMS-seq 37°C in vivo WT_1,bacteria,K-12,NA,MG1655,GSM2055260
SRR3147121,85158868,4343102268,51,2684,SRX1562740,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP069339,PRJNA311041,28139975,"",SRS1277316,SAMN04457988,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2055260,GEO,SRA348058,01,2017,Burkhardt,bacteria,DMS-seq 37°C in vivo WT_1,bacteria,K-12,NA,MG1655,GSM2055261
SRR3147122,184119383,9390088533,51,6056,SRX1562741,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP069339,PRJNA311041,28139975,"",SRS1277315,SAMN04457989,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2055261,GEO,SRA348058,01,2017,Burkhardt,bacteria,DMS-seq 37°C in vitro WT,bacteria,K-12,NA,MG1655,GSM2055262
SRR3147123,161647942,8244045042,51,5040,SRX1562741,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP069339,PRJNA311041,28139975,"",SRS1277315,SAMN04457989,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2055261,GEO,SRA348058,01,2017,Burkhardt,bacteria,DMS-seq 37°C in vitro WT,bacteria,K-12,NA,MG1655,GSM2055270
SRR3147124,124644155,6356851905,51,4145,SRX1562741,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP069339,PRJNA311041,28139975,"",SRS1277315,SAMN04457989,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2055261,GEO,SRA348058,01,2017,Burkhardt,bacteria,DMS-seq 37°C in vitro WT,bacteria,MG1655 dusB-M3,NA,,GSM2055271
SRR3147125,38806967,1979155317,51,1228,SRX1562742,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP069339,PRJNA311041,28139975,"",SRS1277314,SAMN04457990,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2055262,GEO,SRA348058,01,2017,Burkhardt,bacteria,DMS-seq 95°C in vitro WT,bacteria,MG1655 dusB-M3:2,NA,,GSM2055272
SRR3147133,65985548,3280819219,49,1269,SRX1562750,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP069339,PRJNA311041,28139975,"",SRS1277306,SAMN04457999,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2055270,GEO,SRA348058,01,2017,Burkhardt,bacteria,DMS-seq 37°C in vivo WT_2,bacteria,MG1655 delta_gcvB,NA,,GSM2055273
SRR3147134,67307008,3345161709,49,1290,SRX1562751,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP069339,PRJNA311041,28139975,"",SRS1277305,SAMN04458000,simple,562,Escherichia coli,GSM2055271,GEO,SRA348058,01,2017,Burkhardt,bacteria,DMS-seq 37°C in vivo dusB-M3 mutant,bacteria,MG1655 delta_gcvB+ksg,10mg/ml kasugamycin (ksg) for 2min and 5% DMS for 2min,,GSM2055274
