Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,treatment,cell type,GEO Accession
SRR3157346,36595459,3659545900,100,2116,SRX1568298,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP069816,PRJNA311315,27471010,"",SRS1282165,SAMN04481654,simple,8355,Xenopus laevis,GSM2057921,GEO,SRA352385,11,2016,Whitworth,Retina,Total retina RNA,Retina,both eyes,control,retina,GSM2057921
SRR3157347,72660774,7266077400,100,4249,SRX1568299,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP069816,PRJNA311315,27471010,"",SRS1282164,SAMN04481655,simple,8355,Xenopus laevis,GSM2057922,GEO,SRA352385,11,2016,Whitworth,RGC TRAP,Naïve (non-surgical),RGC TRAP,both eyes,control (no surgery),RGC,GSM2057922
SRR3157348,87442726,8744272600,100,5228,SRX1568300,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP069816,PRJNA311315,27471010,"",SRS1282163,SAMN04481656,simple,8355,Xenopus laevis,GSM2057923,GEO,SRA352385,11,2016,Whitworth,RGC TRAP,Sham surgery control,RGC TRAP,left eye,control (sham surgery),RGC,GSM2057923
SRR3157349,24831157,2483115700,100,1483,SRX1568301,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP069816,PRJNA311315,27471010,"",SRS1282161,SAMN04481657,simple,8355,Xenopus laevis,GSM2057924,GEO,SRA352385,11,2016,Whitworth,RGC TRAP,Sham surgery crush,RGC TRAP,right eye,no optic nerve crush (sham surgery),RGC,GSM2057924
SRR3157350,81605845,8160584500,100,5288,SRX1568302,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP069816,PRJNA311315,27471010,"",SRS1282162,SAMN04481658,simple,8355,Xenopus laevis,GSM2057925,GEO,SRA352385,11,2016,Whitworth,RGC TRAP,Day 1 control,RGC TRAP,left eye,control,RGC,GSM2057925
SRR3157351,74349446,7434944600,100,4824,SRX1568303,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP069816,PRJNA311315,27471010,"",SRS1282160,SAMN04481659,simple,8355,Xenopus laevis,GSM2057926,GEO,SRA352385,11,2016,Whitworth,RGC TRAP,Day 1 crush,RGC TRAP,right eye,optic nerve crush,RGC,GSM2057926
SRR3157352,54766270,5476627000,100,3062,SRX1568304,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP069816,PRJNA311315,27471010,"",SRS1282159,SAMN04481660,simple,8355,Xenopus laevis,GSM2057927,GEO,SRA352385,11,2016,Whitworth,RGC TRAP,Day 3 control,RGC TRAP,left eye,control,RGC,GSM2057927
SRR3157353,34071452,3407145200,100,1897,SRX1568305,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP069816,PRJNA311315,27471010,"",SRS1282158,SAMN04481661,simple,8355,Xenopus laevis,GSM2057928,GEO,SRA352385,11,2016,Whitworth,RGC TRAP,Day 3 crush,RGC TRAP,right eye,optic nerve crush,RGC,GSM2057928
SRR3157354,28054066,2805406600,100,1670,SRX1568306,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP069816,PRJNA311315,27471010,"",SRS1282157,SAMN04481662,simple,8355,Xenopus laevis,GSM2057929,GEO,SRA352385,11,2016,Whitworth,RGC TRAP,Day 7 control,RGC TRAP,left eye,control,RGC,GSM2057929
SRR3157355,89456267,8945626700,100,5323,SRX1568307,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP069816,PRJNA311315,27471010,"",SRS1282155,SAMN04481663,simple,8355,Xenopus laevis,GSM2057930,GEO,SRA352385,11,2016,Whitworth,RGC TRAP,Day 7 crush,RGC TRAP,right eye,optic nerve crush,RGC,GSM2057930
SRR3157356,64359168,6435916800,100,3919,SRX1568308,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP069816,PRJNA311315,27471010,"",SRS1282154,SAMN04481664,simple,8355,Xenopus laevis,GSM2057931,GEO,SRA352385,11,2016,Whitworth,RGC TRAP,Day 11 control,RGC TRAP,left eye,control,RGC,GSM2057931
SRR3157357,62432719,6243271900,100,3805,SRX1568309,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP069816,PRJNA311315,27471010,"",SRS1282156,SAMN04481665,simple,8355,Xenopus laevis,GSM2057932,GEO,SRA352385,11,2016,Whitworth,RGC TRAP,Day 11 crush,RGC TRAP,right eye,optic nerve crush,RGC,GSM2057932
