Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,treatment,origin,tissue origin,GEO Accession
SRR3182046,34053656,3439419256,101,1218,SRX1596321,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP070655,PRJNA312799,27380875,"",SRS1306430,SAMN04506810,simple,10090,Mus musculus,GSM2068571,GEO,SRA356781,06,2016,Hornstein,Adult mouse CAMKIIa-Ribotag mouse Brain,PD001,Adult mouse CAMKIIa-Ribotag mouse Brain,Untreated,Total RNA,Mouse BrainE,GSM2068571
SRR3182047,26370468,2663417268,101,944,SRX1596322,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP070655,PRJNA312799,27380875,"",SRS1306431,SAMN04506811,simple,10090,Mus musculus,GSM2068572,GEO,SRA356781,06,2016,Hornstein,HA-Immunoprecipitated Adult mouse CAMKIIa-Ribotag mouse Brain,PD002,HA-Immunoprecipitated Adult mouse CAMKIIa-Ribotag mouse Brain,Untreated,CAMKII_RiboTag Immunoprecipitated,Mouse BrainE,GSM2068572
SRR3182048,43605300,4404135300,101,1632,SRX1596323,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP070655,PRJNA312799,27380875,"",SRS1306428,SAMN04506812,simple,10090,Mus musculus,GSM2068573,GEO,SRA356781,06,2016,Hornstein,Adult mouse CAMKIIa-Ribotag mouse Brain,PD003,Adult mouse CAMKIIa-Ribotag mouse Brain,Untreated,Total RNA,Mouse BrainF,GSM2068573
SRR3182049,34021033,3436124333,101,1289,SRX1596324,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP070655,PRJNA312799,27380875,"",SRS1306429,SAMN04506813,simple,10090,Mus musculus,GSM2068574,GEO,SRA356781,06,2016,Hornstein,HA-Immunoprecipitated Adult mouse CAMKIIa-Ribotag mouse Brain,PD004,HA-Immunoprecipitated Adult mouse CAMKIIa-Ribotag mouse Brain,Untreated,CAMKII_RiboTag Immunoprecipitated,Mouse BrainF,GSM2068574
SRR3182050,28213960,2849609960,101,1019,SRX1596325,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP070655,PRJNA312799,27380875,"",SRS1306427,SAMN04506814,simple,10090,Mus musculus,GSM2068575,GEO,SRA356781,06,2016,Hornstein,Adult mouse CAMKIIa-Ribotag mouse Brain,PD006,Adult mouse CAMKIIa-Ribotag mouse Brain,Untreated,Total RNA,Mouse BrainA,GSM2068575
SRR3182051,31077175,3138794675,101,1125,SRX1596326,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP070655,PRJNA312799,27380875,"",SRS1306426,SAMN04506815,simple,10090,Mus musculus,GSM2068576,GEO,SRA356781,06,2016,Hornstein,Adult mouse CAMKIIa-Ribotag mouse Brain,PD007,Adult mouse CAMKIIa-Ribotag mouse Brain,Untreated,Total RNA,Mouse BrainB,GSM2068576
SRR3182052,31142631,3145405731,101,1131,SRX1596327,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP070655,PRJNA312799,27380875,"",SRS1306425,SAMN04506816,simple,10090,Mus musculus,GSM2068577,GEO,SRA356781,06,2016,Hornstein,Adult mouse CAMKIIa-Ribotag mouse Brain treated with AZD-8055,PD008,Adult mouse CAMKIIa-Ribotag mouse Brain treated with AZD-8055,AZD-8055 Treated,Total RNA,Mouse BrainC,GSM2068577
SRR3182053,32489616,3281451216,101,1176,SRX1596328,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP070655,PRJNA312799,27380875,"",SRS1306424,SAMN04506817,simple,10090,Mus musculus,GSM2068578,GEO,SRA356781,06,2016,Hornstein,Adult mouse CAMKIIa-Ribotag mouse Brain treated with AZD-8055,PD009,Adult mouse CAMKIIa-Ribotag mouse Brain treated with AZD-8055,AZD-8055 Treated,Total RNA,Mouse BrainD,GSM2068578
SRR3182054,49351988,2467599400,50,1213,SRX1596329,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP070655,PRJNA312799,27380875,"",SRS1306423,SAMN04506818,simple,10090,Mus musculus,GSM2068579,GEO,SRA356781,06,2016,Hornstein,Adult mouse CAMKIIa-Ribotag mouse Brain,198_14,Adult mouse CAMKIIa-Ribotag mouse Brain,Untreated,Total RNA,Mouse BrainA,GSM2068579
SRR3182055,28791381,1439569050,50,715,SRX1596330,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP070655,PRJNA312799,27380875,"",SRS1306422,SAMN04506819,simple,10090,Mus musculus,GSM2068580,GEO,SRA356781,06,2016,Hornstein,Adult mouse CAMKIIa-Ribotag mouse Brain,199_14,Adult mouse CAMKIIa-Ribotag mouse Brain,Untreated,Total RNA,Mouse BrainB,GSM2068580
