Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,genotype/variation,parental cell line id,assayed molecule,GEO Accession
SRR3208852,27206936,1387553736,51,829,SRX1617533,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP071232,PRJNA314508,27655340,"",SRS1326936,SAMN04536260,simple,9606,Homo sapiens,GSM2082509,GEO,SRA379359,07,2016,Grabole,"TSC2+/+ control generated from hESC cell line 2, total RNA","Total RNA of TSC2+/+ control generated from hESC cell line 2, Biological Replicate 1","TSC2+/+ control generated from hESC cell line 2, total RNA",Embryonic stem cell-derived neurons,TSC2+/+,hESC.2,mRNA,GSM2082509
SRR3208853,27598129,1407504579,51,837,SRX1617534,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP071232,PRJNA314508,27655340,"",SRS1326937,SAMN04536261,simple,9606,Homo sapiens,GSM2082510,GEO,SRA379359,07,2016,Grabole,"TSC2+/+ control generated from hESC cell line 2, total RNA","Total RNA of TSC2+/+ control generated from hESC cell line 2, Biological Replicate 2","TSC2+/+ control generated from hESC cell line 2, total RNA",Embryonic stem cell-derived neurons,TSC2+/+,hESC.2,mRNA,GSM2082510
SRR3208854,26937206,1373797506,51,820,SRX1617535,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP071232,PRJNA314508,27655340,"",SRS1326935,SAMN04536262,simple,9606,Homo sapiens,GSM2082511,GEO,SRA379359,07,2016,Grabole,"TSC2+/- cell line generated from hESC cell line 2, total RNA","Total RNA of TSC2+/- cell line generated from hESC cell line 2, Biological Replicate 1","TSC2+/- cell line generated from hESC cell line 2, total RNA",Embryonic stem cell-derived neurons,TSC2+/-,hESC.2,mRNA,GSM2082511
SRR3208855,29132915,1485778665,51,888,SRX1617536,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP071232,PRJNA314508,27655340,"",SRS1326934,SAMN04536263,simple,9606,Homo sapiens,GSM2082512,GEO,SRA379359,07,2016,Grabole,"TSC2+/- cell line generated from hESC cell line 2, total RNA","Total RNA of TSC2+/- cell line generated from hESC cell line 2, Biological Replicate 2","TSC2+/- cell line generated from hESC cell line 2, total RNA",Embryonic stem cell-derived neurons,TSC2+/-,hESC.2,mRNA,GSM2082512
SRR3208856,27274066,1390977366,51,835,SRX1617537,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP071232,PRJNA314508,27655340,"",SRS1326933,SAMN04536264,simple,9606,Homo sapiens,GSM2082513,GEO,SRA379359,07,2016,Grabole,"TSC2-/- cell line generated from hESC cell line 2, total RNA","Total RNA of TSC2-/- cell line generated from hESC cell line 2, Biological Replicate 1","TSC2-/- cell line generated from hESC cell line 2, total RNA",Embryonic stem cell-derived neurons,TSC2-/-,hESC.2,mRNA,GSM2082513
SRR3208857,24345466,1241618766,51,741,SRX1617538,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP071232,PRJNA314508,27655340,"",SRS1326932,SAMN04536265,simple,9606,Homo sapiens,GSM2082514,GEO,SRA379359,07,2016,Grabole,"TSC2-/- cell line generated from hESC cell line 2, total RNA","Total RNA of TSC2-/- cell line generated from hESC cell line 2, Biological Replicate 2","TSC2-/- cell line generated from hESC cell line 2, total RNA",Embryonic stem cell-derived neurons,TSC2-/-,hESC.2,mRNA,GSM2082514
SRR3208858,31884822,1626125922,51,1005,SRX1617539,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP071232,PRJNA314508,27655340,"",SRS1326930,SAMN04536266,simple,9606,Homo sapiens,GSM2082515,GEO,SRA379359,07,2016,Grabole,"TSC2+/+ control generated from hESC cell line 3, total RNA","Total RNA of TSC2+/+ control generated from hESC cell line 3, Biological Replicate 1","TSC2+/+ control generated from hESC cell line 3, total RNA",Embryonic stem cell-derived neurons,TSC2+/+,hESC.3,mRNA,GSM2082515
SRR3208859,30832779,1572471729,51,983,SRX1617540,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP071232,PRJNA314508,27655340,"",SRS1326931,SAMN04536267,simple,9606,Homo sapiens,GSM2082516,GEO,SRA379359,07,2016,Grabole,"TSC2+/+ control generated from hESC cell line 3, total RNA","Total RNA of TSC2+/+ control generated from hESC cell line 3, Biological Replicate 2","TSC2+/+ control generated from hESC cell line 3, total RNA",Embryonic stem cell-derived neurons,TSC2+/+,hESC.3,mRNA,GSM2082516
SRR3208860,33453490,1706127990,51,1052,SRX1617541,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP071232,PRJNA314508,27655340,"",SRS1326929,SAMN04536268,simple,9606,Homo sapiens,GSM2082517,GEO,SRA379359,07,2016,Grabole,"TSC2+/- cell line generated from hESC cell line 3, total RNA","Total RNA of TSC2+/- cell line generated from hESC cell line 3, Biological Replicate 1","TSC2+/- cell line generated from hESC cell line 3, total RNA",Embryonic stem cell-derived neurons,TSC2+/-,hESC.3,mRNA,GSM2082517
SRR3208861,31558788,1609498188,51,989,SRX1617542,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP071232,PRJNA314508,27655340,"",SRS1326928,SAMN04536269,simple,9606,Homo sapiens,GSM2082518,GEO,SRA379359,07,2016,Grabole,"TSC2+/- cell line generated from hESC cell line 3, total RNA","Total RNA of TSC2+/- cell line generated from hESC cell line 3, Biological Replicate 2","TSC2+/- cell line generated from hESC cell line 3, total RNA",Embryonic stem cell-derived neurons,TSC2+/-,hESC.3,mRNA,GSM2082518
SRR3208862,35240391,1797259941,51,1112,SRX1617543,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP071232,PRJNA314508,27655340,"",SRS1326927,SAMN04536270,simple,9606,Homo sapiens,GSM2082519,GEO,SRA379359,07,2016,Grabole,"TSC2-/- cell line generated from hESC cell line 3, total RNA","Total RNA of TSC2-/- cell line generated from hESC cell line 3, Biological Replicate 1","TSC2-/- cell line generated from hESC cell line 3, total RNA",Embryonic stem cell-derived neurons,TSC2-/-,hESC.3,mRNA,GSM2082519
SRR3208863,31494149,1606201599,51,993,SRX1617544,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP071232,PRJNA314508,27655340,"",SRS1326926,SAMN04536271,simple,9606,Homo sapiens,GSM2082520,GEO,SRA379359,07,2016,Grabole,"TSC2-/- cell line generated from hESC cell line 3, total RNA","Total RNA of TSC2-/- cell line generated from hESC cell line 3, Biological Replicate 2","TSC2-/- cell line generated from hESC cell line 3, total RNA",Embryonic stem cell-derived neurons,TSC2-/-,hESC.3,mRNA,GSM2082520
SRR3208864,38379872,1957373472,51,1153,SRX1617545,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP071232,PRJNA314508,27655340,"",SRS1326925,SAMN04536272,simple,9606,Homo sapiens,GSM2082521,GEO,SRA379359,07,2016,Grabole,"TSC2+/+ control generated from hESC cell line 2, RPF","Ribosome protected fragments (RPF) of TSC2+/+ control generated from hESC cell line 2, Biological Replicate 1","TSC2+/+ control generated from hESC cell line 2, RPF",Embryonic stem cell-derived neurons,TSC2+/+,hESC.2,Ribosome protected fragments,GSM2082521
SRR3208865,39165304,1997430504,51,1178,SRX1617546,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP071232,PRJNA314508,27655340,"",SRS1326924,SAMN04536273,simple,9606,Homo sapiens,GSM2082522,GEO,SRA379359,07,2016,Grabole,"TSC2+/+ control generated from hESC cell line 2, RPF","Ribosome protected fragments (RPF) of TSC2+/+ control generated from hESC cell line 2, Biological Replicate 2","TSC2+/+ control generated from hESC cell line 2, RPF",Embryonic stem cell-derived neurons,TSC2+/+,hESC.2,Ribosome protected fragments,GSM2082522
SRR3208866,41927164,2138285364,51,1283,SRX1617547,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP071232,PRJNA314508,27655340,"",SRS1326923,SAMN04536274,simple,9606,Homo sapiens,GSM2082523,GEO,SRA379359,07,2016,Grabole,"TSC2+/- cell line generated from hESC cell line 2, RPF","Ribosome protected fragments (RPF) of TSC2+/- cell line generated from hESC cell line 2, Biological Replicate 1","TSC2+/- cell line generated from hESC cell line 2, RPF",Embryonic stem cell-derived neurons,TSC2+/-,hESC.2,Ribosome protected fragments,GSM2082523
SRR3208867,40751703,2078336853,51,1256,SRX1617548,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP071232,PRJNA314508,27655340,"",SRS1326922,SAMN04536275,simple,9606,Homo sapiens,GSM2082524,GEO,SRA379359,07,2016,Grabole,"TSC2+/- cell line generated from hESC cell line 2, RPF","Ribosome protected fragments (RPF) of TSC2+/- cell line generated from hESC cell line 2, Biological Replicate 2","TSC2+/- cell line generated from hESC cell line 2, RPF",Embryonic stem cell-derived neurons,TSC2+/-,hESC.2,Ribosome protected fragments,GSM2082524
SRR3208868,39809441,2030281491,51,1219,SRX1617549,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP071232,PRJNA314508,27655340,"",SRS1326920,SAMN04536276,simple,9606,Homo sapiens,GSM2082525,GEO,SRA379359,07,2016,Grabole,"TSC2-/- cell line generated from hESC cell line 2, RPF","Ribosome protected fragments (RPF) of TSC2-/- cell line generated from hESC cell line 2, Biological Replicate 1","TSC2-/- cell line generated from hESC cell line 2, RPF",Embryonic stem cell-derived neurons,TSC2-/-,hESC.2,Ribosome protected fragments,GSM2082525
