Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,mouse line,tissue,age,GEO Accession
SRR3232750,34020074,1769043848,52,1474,SRX1638454,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP071876,PRJNA315441,28698213,"",SRS1344962,SAMN04558538,simple,10090,Mus musculus,GSM2091161,GEO,SRA385947,07,2017,Hupe,brain,Brain_E115_EC_Translatome_1,brain,Cdh5CreERT2+/-;R26-mCherry-Rpl10a+/-,forebrain EC,E11.5,GSM2091161
SRR3232751,31312830,1628267160,52,1366,SRX1638455,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP071876,PRJNA315441,28698213,"",SRS1344961,SAMN04558539,simple,10090,Mus musculus,GSM2091162,GEO,SRA385947,07,2017,Hupe,brain,Brain_E115_EC_Translatome_2,brain,Cdh5CreERT2+/-;R26-mCherry-Rpl10a+/-,forebrain EC,E11.5,GSM2091162
SRR3232752,24896968,1294642336,52,1117,SRX1638456,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP071876,PRJNA315441,28698213,"",SRS1344960,SAMN04558540,simple,10090,Mus musculus,GSM2091163,GEO,SRA385947,07,2017,Hupe,brain,Brain_E115_EC_Translatome_3,brain,Cdh5CreERT2+/-;R26-mCherry-Rpl10a+/-,forebrain EC,E11.5,GSM2091163
SRR3232753,119607253,6219577156,52,4406,SRX1638457,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP071876,PRJNA315441,28698213,"",SRS1344959,SAMN04558541,simple,10090,Mus musculus,GSM2091164,GEO,SRA385947,07,2017,Hupe,brain,Brain_E115_Transcriptome_1,brain,Cdh5CreERT2+/-;R26-mCherry-Rpl10a+/-,forebrain,E11.5,GSM2091164
SRR3232754,61189538,3181855976,52,2458,SRX1638458,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP071876,PRJNA315441,28698213,"",SRS1344958,SAMN04558542,simple,10090,Mus musculus,GSM2091165,GEO,SRA385947,07,2017,Hupe,brain,Brain_E115_Transcriptome_2,brain,Cdh5CreERT2+/-;R26-mCherry-Rpl10a+/-,forebrain,E11.5,GSM2091165
SRR3232755,76508082,3978420264,52,3001,SRX1638459,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP071876,PRJNA315441,28698213,"",SRS1344957,SAMN04558543,simple,10090,Mus musculus,GSM2091166,GEO,SRA385947,07,2017,Hupe,brain,Brain_E115_Transcriptome_3,brain,Cdh5CreERT2+/-;R26-mCherry-Rpl10a+/-,forebrain,E11.5,GSM2091166
SRR3232756,21737685,1130359620,52,989,SRX1638460,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP071876,PRJNA315441,28698213,"",SRS1344956,SAMN04558544,simple,10090,Mus musculus,GSM2091167,GEO,SRA385947,07,2017,Hupe,brain,Brain_E125_EC_Translatome_1,brain,Cdh5CreERT2+/-;R26-mCherry-Rpl10a+/-,forebrain EC,E12.5,GSM2091167
SRR3232757,32775155,1704308060,52,1430,SRX1638461,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP071876,PRJNA315441,28698213,"",SRS1344955,SAMN04558545,simple,10090,Mus musculus,GSM2091168,GEO,SRA385947,07,2017,Hupe,brain,Brain_E125_EC_Translatome_2,brain,Cdh5CreERT2+/-;R26-mCherry-Rpl10a+/-,forebrain EC,E12.5,GSM2091168
SRR3232758,24620762,1280279624,52,1107,SRX1638462,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP071876,PRJNA315441,28698213,"",SRS1344954,SAMN04558546,simple,10090,Mus musculus,GSM2091169,GEO,SRA385947,07,2017,Hupe,brain,Brain_E125_EC_Translatome_3,brain,Cdh5CreERT2+/-;R26-mCherry-Rpl10a+/-,forebrain EC,E12.5,GSM2091169
SRR3232759,48798354,2537514408,52,2034,SRX1638463,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP071876,PRJNA315441,28698213,"",SRS1344953,SAMN04558547,simple,10090,Mus musculus,GSM2091170,GEO,SRA385947,07,2017,Hupe,brain,Brain_E125_Transcriptome_1,brain,Cdh5CreERT2+/-;R26-mCherry-Rpl10a+/-,forebrain,E12.5,GSM2091170
SRR3232760,54953524,2857583248,52,2260,SRX1638464,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP071876,PRJNA315441,28698213,"",SRS1344952,SAMN04558548,simple,10090,Mus musculus,GSM2091171,GEO,SRA385947,07,2017,Hupe,brain,Brain_E125_Transcriptome_2,brain,Cdh5CreERT2+/-;R26-mCherry-Rpl10a+/-,forebrain,E12.5,GSM2091171
SRR3232761,54221241,2819504532,52,2231,SRX1638465,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP071876,PRJNA315441,28698213,"",SRS1344951,SAMN04558549,simple,10090,Mus musculus,GSM2091172,GEO,SRA385947,07,2017,Hupe,brain,Brain_E125_Transcriptome_3,brain,Cdh5CreERT2+/-;R26-mCherry-Rpl10a+/-,forebrain,E12.5,GSM2091172
SRR3232762,30947987,1609295324,52,1371,SRX1638466,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP071876,PRJNA315441,28698213,"",SRS1344950,SAMN04558550,simple,10090,Mus musculus,GSM2091173,GEO,SRA385947,07,2017,Hupe,brain,Brain_E135_EC_Translatome_1,brain,Cdh5CreERT2+/-;R26-mCherry-Rpl10a+/-,forebrain EC,E13.5,GSM2091173
SRR3232763,30485186,1585229672,52,1347,SRX1638467,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP071876,PRJNA315441,28698213,"",SRS1344949,SAMN04558551,simple,10090,Mus musculus,GSM2091174,GEO,SRA385947,07,2017,Hupe,brain,Brain_E135_EC_Translatome_2,brain,Cdh5CreERT2+/-;R26-mCherry-Rpl10a+/-,forebrain EC,E13.5,GSM2091174
SRR3232764,24795014,1289340728,52,1199,SRX1638468,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP071876,PRJNA315441,28698213,"",SRS1344948,SAMN04558552,simple,10090,Mus musculus,GSM2091175,GEO,SRA385947,07,2017,Hupe,brain,Brain_E135_EC_Translatome_3,brain,Cdh5CreERT2+/-;R26-mCherry-Rpl10a+/-,forebrain EC,E13.5,GSM2091175
SRR3232765,60032636,3121697072,52,2638,SRX1638469,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP071876,PRJNA315441,28698213,"",SRS1344947,SAMN04558553,simple,10090,Mus musculus,GSM2091176,GEO,SRA385947,07,2017,Hupe,brain,Brain_E135_Transcriptome_1,brain,Cdh5CreERT2+/-;R26-mCherry-Rpl10a+/-,forebrain,E13.5,GSM2091176
