Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,age,ecotype,tissue,GEO Accession
SRR3498206,163396264,8169813200,50,4035,SRX1756756,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP074840,PRJNA321304,27791167,"",SRS1433324,SAMN04979338,simple,3702,Arabidopsis thaliana,GSM2150567,GEO,SRA424800,11,2016,Hsu,Arabidopsis root,riboseq_root_1,Arabidopsis root,4 days old,Columbia,root,GSM2150567
SRR3498207,166148265,8307413250,50,4130,SRX1756757,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP074840,PRJNA321304,27791167,"",SRS1433325,SAMN04979339,simple,3702,Arabidopsis thaliana,GSM2150568,GEO,SRA424800,11,2016,Hsu,Arabidopsis root,riboseq_root_2,Arabidopsis root,4 days old,Columbia,root,GSM2150568
SRR3498208,207346547,10367327350,50,5174,SRX1756758,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP074840,PRJNA321304,27791167,"",SRS1433326,SAMN04979340,simple,3702,Arabidopsis thaliana,GSM2150569,GEO,SRA424800,11,2016,Hsu,Arabidopsis root,riboseq_root_3,Arabidopsis root,4 days old,Columbia,root,GSM2150569
SRR3498209,145235719,7261785950,50,3636,SRX1756759,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP074840,PRJNA321304,27791167,"",SRS1433327,SAMN04979341,simple,3702,Arabidopsis thaliana,GSM2150570,GEO,SRA424800,11,2016,Hsu,Arabidopsis shoot,riboseq_shoot_1,Arabidopsis shoot,4 days old,Columbia,shoot,GSM2150570
SRR3498210,179566257,8978312850,50,4428,SRX1756760,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP074840,PRJNA321304,27791167,"",SRS1433328,SAMN04979342,simple,3702,Arabidopsis thaliana,GSM2150571,GEO,SRA424800,11,2016,Hsu,Arabidopsis shoot,riboseq_shoot_2,Arabidopsis shoot,4 days old,Columbia,shoot,GSM2150571
SRR3498211,134241510,6712075500,50,3345,SRX1756761,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP074840,PRJNA321304,27791167,"",SRS1433329,SAMN04979343,simple,3702,Arabidopsis thaliana,GSM2150572,GEO,SRA424800,11,2016,Hsu,Arabidopsis shoot,riboseq_shoot_3,Arabidopsis shoot,4 days old,Columbia,shoot,GSM2150572
SRR3498212,42494497,2124724850,50,976,SRX1756762,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP074840,PRJNA321304,27791167,"",SRS1433331,SAMN04979344,simple,3702,Arabidopsis thaliana,GSM2150573,GEO,SRA424800,11,2016,Hsu,Arabidopsis root,RNAseq_root_1,Arabidopsis root,4 days old,Columbia,root,GSM2150573
SRR3498213,52350071,2617503550,50,1213,SRX1756763,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP074840,PRJNA321304,27791167,"",SRS1433330,SAMN04979345,simple,3702,Arabidopsis thaliana,GSM2150574,GEO,SRA424800,11,2016,Hsu,Arabidopsis root,RNAseq_root_2,Arabidopsis root,4 days old,Columbia,root,GSM2150574
SRR3498214,56809552,2840477600,50,1299,SRX1756764,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP074840,PRJNA321304,27791167,"",SRS1433332,SAMN04979346,simple,3702,Arabidopsis thaliana,GSM2150575,GEO,SRA424800,11,2016,Hsu,Arabidopsis root,RNAseq_root_3,Arabidopsis root,4 days old,Columbia,root,GSM2150575
SRR3498215,39185512,1959275600,50,905,SRX1756765,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP074840,PRJNA321304,27791167,"",SRS1433333,SAMN04979347,simple,3702,Arabidopsis thaliana,GSM2150576,GEO,SRA424800,11,2016,Hsu,Arabidopsis shoot,RNAseq_shoot_1,Arabidopsis shoot,4 days old,Columbia,shoot,GSM2150576
SRR3498216,61447016,3072350800,50,1404,SRX1756766,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP074840,PRJNA321304,27791167,"",SRS1433334,SAMN04979348,simple,3702,Arabidopsis thaliana,GSM2150577,GEO,SRA424800,11,2016,Hsu,Arabidopsis shoot,RNAseq_shoot_2,Arabidopsis shoot,4 days old,Columbia,shoot,GSM2150577
SRR3498217,63160455,3158022750,50,1448,SRX1756767,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP074840,PRJNA321304,27791167,"",SRS1433335,SAMN04979349,simple,3702,Arabidopsis thaliana,GSM2150578,GEO,SRA424800,11,2016,Hsu,Arabidopsis shoot,RNAseq_shoot_3,Arabidopsis shoot,4 days old,Columbia,shoot,GSM2150578
