Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell size,strain,ploidy,GEO Accession
SRR3590722,11414723,570736150,50,316,SRX1801603,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP075766,PRJNA323467,28057705,"",SRS1468298,SAMN05179476,simple,4932,Saccharomyces cerevisiae,GSM2177884,GEO,SRA429400,01,2017,Blank,Ribosome_Profile_40fl,1A_RP,Ribosome_Profile_40fl,40fl,BY4743,Diploid,GSM2177884
SRR3590723,17675936,883796800,50,501,SRX1801604,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP075766,PRJNA323467,28057705,"",SRS1468299,SAMN05179477,simple,4932,Saccharomyces cerevisiae,GSM2177885,GEO,SRA429400,01,2017,Blank,Ribosome_Profile_40fl,1B_RP,Ribosome_Profile_40fl,40fl,BY4743,Diploid,GSM2177885
SRR3590724,19983038,999151900,50,719,SRX1801605,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP075766,PRJNA323467,28057705,"",SRS1468300,SAMN05179475,simple,4932,Saccharomyces cerevisiae,GSM2177886,GEO,SRA429400,01,2017,Blank,Ribosome_Profile_40fl,1C_RP,Ribosome_Profile_40fl,40fl,BY4743,Diploid,GSM2177886
SRR3590725,38468915,1923445750,50,1094,SRX1801605,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP075766,PRJNA323467,28057705,"",SRS1468300,SAMN05179475,simple,4932,Saccharomyces cerevisiae,GSM2177886,GEO,SRA429400,01,2017,Blank,Ribosome_Profile_40fl,1C_RP,Ribosome_Profile_45fl,45fl,BY4743,Diploid,GSM2177887
SRR3590726,10157184,507859200,50,277,SRX1801606,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP075766,PRJNA323467,28057705,"",SRS1468301,SAMN05179457,simple,4932,Saccharomyces cerevisiae,GSM2177887,GEO,SRA429400,01,2017,Blank,Ribosome_Profile_45fl,2A_RP,Ribosome_Profile_45fl,45fl,BY4743,Diploid,GSM2177888
SRR3590727,14890699,744534950,50,420,SRX1801607,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP075766,PRJNA323467,28057705,"",SRS1468302,SAMN05179458,simple,4932,Saccharomyces cerevisiae,GSM2177888,GEO,SRA429400,01,2017,Blank,Ribosome_Profile_45fl,2B_RP,Ribosome_Profile_45fl,45fl,BY4743,Diploid,GSM2177889
SRR3590728,9984949,499247450,50,366,SRX1801608,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP075766,PRJNA323467,28057705,"",SRS1468303,SAMN05179459,simple,4932,Saccharomyces cerevisiae,GSM2177889,GEO,SRA429400,01,2017,Blank,Ribosome_Profile_45fl,2C_RP,Ribosome_Profile_50fl,50fl,BY4743,Diploid,GSM2177890
SRR3590729,19178497,958924850,50,535,SRX1801608,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP075766,PRJNA323467,28057705,"",SRS1468303,SAMN05179459,simple,4932,Saccharomyces cerevisiae,GSM2177889,GEO,SRA429400,01,2017,Blank,Ribosome_Profile_45fl,2C_RP,Ribosome_Profile_50fl,50fl,BY4743,Diploid,GSM2177891
SRR3590730,12268615,613430750,50,332,SRX1801609,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP075766,PRJNA323467,28057705,"",SRS1468304,SAMN05179460,simple,4932,Saccharomyces cerevisiae,GSM2177890,GEO,SRA429400,01,2017,Blank,Ribosome_Profile_50fl,3A_RP,Ribosome_Profile_50fl,50fl,BY4743,Diploid,GSM2177892
SRR3590731,1172094,58604700,50,31,SRX1801610,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP075766,PRJNA323467,28057705,"",SRS1468305,SAMN05179461,simple,4932,Saccharomyces cerevisiae,GSM2177891,GEO,SRA429400,01,2017,Blank,Ribosome_Profile_50fl,3B_RP,Ribosome_Profile_55fl,55fl,BY4743,Diploid,GSM2177893
SRR3590732,1497641,74882050,50,51,SRX1801611,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP075766,PRJNA323467,28057705,"",SRS1468306,SAMN05179462,simple,4932,Saccharomyces cerevisiae,GSM2177892,GEO,SRA429400,01,2017,Blank,Ribosome_Profile_50fl,3C_RP,Ribosome_Profile_55fl,55fl,BY4743,Diploid,GSM2177894
SRR3590733,2904454,145222700,50,69,SRX1801611,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP075766,PRJNA323467,28057705,"",SRS1468306,SAMN05179462,simple,4932,Saccharomyces cerevisiae,GSM2177892,GEO,SRA429400,01,2017,Blank,Ribosome_Profile_50fl,3C_RP,Ribosome_Profile_55fl,55fl,BY4743,Diploid,GSM2177895
SRR3590734,5153086,257654300,50,144,SRX1801612,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP075766,PRJNA323467,28057705,"",SRS1468307,SAMN05179463,simple,4932,Saccharomyces cerevisiae,GSM2177893,GEO,SRA429400,01,2017,Blank,Ribosome_Profile_55fl,4A_RP,Ribosome_Profile_60fl,60fl,BY4743,Diploid,GSM2177896
SRR3590735,16639763,831988150,50,469,SRX1801613,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP075766,PRJNA323467,28057705,"",SRS1468308,SAMN05179464,simple,4932,Saccharomyces cerevisiae,GSM2177894,GEO,SRA429400,01,2017,Blank,Ribosome_Profile_55fl,4B_RP,Ribosome_Profile_60fl,60fl,BY4743,Diploid,GSM2177897
SRR3590736,18045645,902282250,50,652,SRX1801614,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP075766,PRJNA323467,28057705,"",SRS1468309,SAMN05179465,simple,4932,Saccharomyces cerevisiae,GSM2177895,GEO,SRA429400,01,2017,Blank,Ribosome_Profile_55fl,4C_RP,Ribosome_Profile_60fl,60fl,BY4743,Diploid,GSM2177898
SRR3590737,35632994,1781649700,50,1007,SRX1801614,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP075766,PRJNA323467,28057705,"",SRS1468309,SAMN05179465,simple,4932,Saccharomyces cerevisiae,GSM2177895,GEO,SRA429400,01,2017,Blank,Ribosome_Profile_55fl,4C_RP,Ribosome_Profile_65fl,65fl,BY4743,Diploid,GSM2177899
SRR3590738,11145471,557273550,50,300,SRX1801615,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP075766,PRJNA323467,28057705,"",SRS1468310,SAMN05179466,simple,4932,Saccharomyces cerevisiae,GSM2177896,GEO,SRA429400,01,2017,Blank,Ribosome_Profile_60fl,5A_RP,Ribosome_Profile_65fl,65fl,BY4743,Diploid,GSM2177900
SRR3590739,15581947,779097350,50,445,SRX1801616,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP075766,PRJNA323467,28057705,"",SRS1468311,SAMN05179467,simple,4932,Saccharomyces cerevisiae,GSM2177897,GEO,SRA429400,01,2017,Blank,Ribosome_Profile_60fl,5B_RP,Ribosome_Profile_65fl,65fl,BY4743,Diploid,GSM2177901
SRR3590740,1996115,99805750,50,71,SRX1801617,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP075766,PRJNA323467,28057705,"",SRS1468312,SAMN05179468,simple,4932,Saccharomyces cerevisiae,GSM2177898,GEO,SRA429400,01,2017,Blank,Ribosome_Profile_60fl,5C_RP,Ribosome_Profile_70fl,70fl,BY4743,Diploid,GSM2177902
SRR3590741,3832912,191645600,50,106,SRX1801617,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP075766,PRJNA323467,28057705,"",SRS1468312,SAMN05179468,simple,4932,Saccharomyces cerevisiae,GSM2177898,GEO,SRA429400,01,2017,Blank,Ribosome_Profile_60fl,5C_RP,Ribosome_Profile_70fl,70fl,BY4743,Diploid,GSM2177903
SRR3590742,11903802,595190100,50,325,SRX1801618,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP075766,PRJNA323467,28057705,"",SRS1468313,SAMN05179469,simple,4932,Saccharomyces cerevisiae,GSM2177899,GEO,SRA429400,01,2017,Blank,Ribosome_Profile_65fl,6A_RP,Ribosome_Profile_70fl,70fl,BY4743,Diploid,GSM2177904
SRR3590743,889071,44453550,50,24,SRX1801619,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP075766,PRJNA323467,28057705,"",SRS1468314,SAMN05179470,simple,4932,Saccharomyces cerevisiae,GSM2177900,GEO,SRA429400,01,2017,Blank,Ribosome_Profile_65fl,6B_RP,Ribosome_Profile_75fl,75fl,BY4743,Diploid,GSM2177905
SRR3590744,127657,6382850,50,4,SRX1801620,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP075766,PRJNA323467,28057705,"",SRS1468315,SAMN05179471,simple,4932,Saccharomyces cerevisiae,GSM2177901,GEO,SRA429400,01,2017,Blank,Ribosome_Profile_65fl,6C_RP,Ribosome_Profile_75fl,75fl,BY4743,Diploid,GSM2177906
