Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,age of animal,cell-type,drug treatment,strain,GEO Accession
SRR3609518,18203806,928394106,51,561,SRX1810431,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP075917,PRJNA323858,27881780,"",SRS1474610,SAMN05190576,simple,10090,Mus musculus,GSM2182998,GEO,SRA430188,01,2017,Tao,Hippocampus,Mecp2_wt_p37_IP,Hippocampus,postnatal day 37,Hippocampal CA1 neurons (Cck-EGFP-L10a),no,C57BL/6,GSM2182998
SRR3609519,14501817,739592667,51,440,SRX1810432,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP075917,PRJNA323858,27881780,"",SRS1474611,SAMN05190577,simple,10090,Mus musculus,GSM2182999,GEO,SRA430188,01,2017,Tao,Hippocampus,Mecp2_wt_p37_Input,Hippocampus,postnatal day 37,whole hippocampus,no,C57BL/6,GSM2182999
SRR3609520,24170638,1232702538,51,744,SRX1810433,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP075917,PRJNA323858,27881780,"",SRS1474612,SAMN05190578,simple,10090,Mus musculus,GSM2183000,GEO,SRA430188,01,2017,Tao,Hippocampus,Mecp2_wt_p56_IP,Hippocampus,postnatal day 56,Hippocampal CA1 neurons (Cck-EGFP-L10a),no,C57BL/6,GSM2183000
SRR3609521,10184798,519424698,51,311,SRX1810434,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP075917,PRJNA323858,27881780,"",SRS1474613,SAMN05190579,simple,10090,Mus musculus,GSM2183001,GEO,SRA430188,01,2017,Tao,Hippocampus,Mecp2_wt_p56_Input,Hippocampus,postnatal day 56,whole hippocampus,no,C57BL/6,GSM2183001
SRR3609522,19604343,999821493,51,605,SRX1810435,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP075917,PRJNA323858,27881780,"",SRS1474614,SAMN05190580,simple,10090,Mus musculus,GSM2183002,GEO,SRA430188,01,2017,Tao,Hippocampus,Mecp2_ko_p37_IP,Hippocampus,postnatal day 37,Hippocampal CA1 neurons (Cck-EGFP-L10a),no,C57BL/6,GSM2183002
SRR3609523,18203541,928380591,51,567,SRX1810436,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP075917,PRJNA323858,27881780,"",SRS1474615,SAMN05190581,simple,10090,Mus musculus,GSM2183003,GEO,SRA430188,01,2017,Tao,Hippocampus,Mecp2_ko_p41_IP,Hippocampus,postnatal day 41,Hippocampal CA1 neurons (Cck-EGFP-L10a),no,C57BL/6,GSM2183003
SRR3609524,18187921,927583971,51,562,SRX1810437,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP075917,PRJNA323858,27881780,"",SRS1474616,SAMN05190567,simple,10090,Mus musculus,GSM2183004,GEO,SRA430188,01,2017,Tao,Hippocampus,Mecp2_wt_p41_IP,Hippocampus,postnatal day 41,Hippocampal CA1 neurons (Cck-EGFP-L10a),no,C57BL/6,GSM2183004
SRR3609525,22220978,1133269878,51,679,SRX1810438,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP075917,PRJNA323858,27881780,"",SRS1474617,SAMN05190568,simple,10090,Mus musculus,GSM2183005,GEO,SRA430188,01,2017,Tao,Hippocampus,Mecp2_ko_p56_IP,Hippocampus,postnatal day 56,Hippocampal CA1 neurons (Cck-EGFP-L10a),no,C57BL/6,GSM2183005
SRR3609526,15826707,807162057,51,496,SRX1810439,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP075917,PRJNA323858,27881780,"",SRS1474618,SAMN05190569,simple,10090,Mus musculus,GSM2183006,GEO,SRA430188,01,2017,Tao,Hippocampus,Mecp2_ko_p50_IP,Hippocampus,postnatal day 50,Hippocampal CA1 neurons (Cck-EGFP-L10a),no,C57BL/6,GSM2183006
SRR3609527,19871220,1013432220,51,617,SRX1810440,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP075917,PRJNA323858,27881780,"",SRS1474619,SAMN05190570,simple,10090,Mus musculus,GSM2183007,GEO,SRA430188,01,2017,Tao,Hippocampus,Mecp2_wt_p50_IP,Hippocampus,postnatal day 50,Hippocampal CA1 neurons (Cck-EGFP-L10a),no,C57BL/6,GSM2183007
