Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,strain,protocol,time point,molecule subtype,treatment,GEO Accession
SRR3666751,63826253,12892903106,101,4705,SRX1845156,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP076551,PRJNA325659,28423325,"",SRS1503996,SAMN05248846,simple,10090,Mus musculus,GSM2200045,GEO,SRA433945,04,2017,Davari,NT 0h,NT 0h_rep1,NT 0h,Th1 effector cell (CD4+ T cell),DO11.10,metabolic labeling of newly transcribed RNA with 4sU,0h,4sU RNA,,GSM2200045
SRR3666752,62667075,12658749150,101,4585,SRX1845157,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP076551,PRJNA325659,28423325,"",SRS1503997,SAMN05248849,simple,10090,Mus musculus,GSM2200046,GEO,SRA433945,04,2017,Davari,NT 1h,NT 1h_rep1,NT 1h,Th1 effector cell (CD4+ T cell),DO11.10,metabolic labeling of newly transcribed RNA with 4sU,1h,4sU RNA,,GSM2200046
SRR3666753,55261614,11162846028,101,4068,SRX1845158,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP076551,PRJNA325659,28423325,"",SRS1503998,SAMN05248853,simple,10090,Mus musculus,GSM2200047,GEO,SRA433945,04,2017,Davari,NT 2h,NT 2h_rep1,NT 2h,Th1 effector cell (CD4+ T cell),DO11.10,metabolic labeling of newly transcribed RNA with 4sU,2h,4sU RNA,,GSM2200047
SRR3666754,51469270,10396792540,101,3787,SRX1845159,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP076551,PRJNA325659,28423325,"",SRS1503999,SAMN05248856,simple,10090,Mus musculus,GSM2200048,GEO,SRA433945,04,2017,Davari,NT 3h,NT 3h_rep1,NT 3h,Th1 effector cell (CD4+ T cell),DO11.10,metabolic labeling of newly transcribed RNA with 4sU,3h,4sU RNA,,GSM2200048
SRR3666755,52610366,10627293932,101,3874,SRX1845160,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP076551,PRJNA325659,28423325,"",SRS1504000,SAMN05248860,simple,10090,Mus musculus,GSM2200049,GEO,SRA433945,04,2017,Davari,NT 4h,NT 4h_rep1,NT 4h,Th1 effector cell (CD4+ T cell),DO11.10,metabolic labeling of newly transcribed RNA with 4sU,4h,4sU RNA,,GSM2200049
SRR3666756,56457721,11404459642,101,4190,SRX1845161,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP076551,PRJNA325659,28423325,"",SRS1504001,SAMN05248866,simple,10090,Mus musculus,GSM2200050,GEO,SRA433945,04,2017,Davari,Total 0h,Total 0h_rep1,Total 0h,Th1 effector cell (CD4+ T cell),DO11.10,total RNA,0h,total RNA,,GSM2200050
SRR3666757,53256675,10757848350,101,3925,SRX1845162,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP076551,PRJNA325659,28423325,"",SRS1504003,SAMN05249064,simple,10090,Mus musculus,GSM2200051,GEO,SRA433945,04,2017,Davari,Total 2h,Total 2h_rep1,Total 2h,Th1 effector cell (CD4+ T cell),DO11.10,total RNA,2h,total RNA,,GSM2200051
SRR3666758,58006966,11717407132,101,4279,SRX1845163,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP076551,PRJNA325659,28423325,"",SRS1504002,SAMN05249069,simple,10090,Mus musculus,GSM2200052,GEO,SRA433945,04,2017,Davari,Total 4h,Total 4h_rep1,Total 4h,Th1 effector cell (CD4+ T cell),DO11.10,total RNA,4h,total RNA,,GSM2200052
SRR3666759,57354387,11585586174,101,4035,SRX1845164,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP076551,PRJNA325659,28423325,"",SRS1504005,SAMN05249073,simple,10090,Mus musculus,GSM2200053,GEO,SRA433945,04,2017,Davari,NT 0h,NT 0h_rep2,NT 0h,Th1 effector cell (CD4+ T cell),DO11.10,metabolic labeling of newly transcribed RNA with 4sU,0h,4sU RNA,,GSM2200053
SRR3666760,49227440,9943942880,101,3475,SRX1845166,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP076551,PRJNA325659,28423325,"",SRS1504006,SAMN05249077,simple,10090,Mus musculus,GSM2200054,GEO,SRA433945,04,2017,Davari,NT 1h,NT 1h_rep2,NT 1h,Th1 effector cell (CD4+ T cell),DO11.10,metabolic labeling of newly transcribed RNA with 4sU,1h,4sU RNA,,GSM2200054
