Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,developemental age,tissue,cell type,cultured in,molecule subtype,GEO Accession
SRR3726644,50902331,2036093240,40,1214,SRX1883485,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP077522,PRJNA327113,27899360,"",SRS1529765,SAMN05301563,simple,10090,Mus musculus,GSM2219142,GEO,SRA436779,12,2016,Alvarez-Dominguez,Erythroid progenitors_Ribo-seq_0h,Ribo-seq_0h_rep1,Erythroid progenitors_Ribo-seq_0h,C57BL/6,E14.5,fetal liver,Erythroid progenitors,erythropoietin-containing media for 0hr,ribosome-protected RNA,GSM2219142
SRR3726645,43087918,1723516720,40,1043,SRX1883486,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP077522,PRJNA327113,27899360,"",SRS1529766,SAMN05301564,simple,10090,Mus musculus,GSM2219143,GEO,SRA436779,12,2016,Alvarez-Dominguez,Erythroid progenitors_Ribo-seq_0h,Ribo-seq_0h_rep2,Erythroid progenitors_Ribo-seq_0h,C57BL/6,E14.5,fetal liver,Erythroid progenitors,erythropoietin-containing media for 0hr,ribosome-protected RNA,GSM2219143
SRR3726646,60441316,2417652640,40,1441,SRX1883487,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP077522,PRJNA327113,27899360,"",SRS1529767,SAMN05301565,simple,10090,Mus musculus,GSM2219144,GEO,SRA436779,12,2016,Alvarez-Dominguez,Erythroid progenitors_Ribo-seq_24h,Ribo-seq_24h_rep1,Erythroid progenitors_Ribo-seq_24h,C57BL/6,E14.5,fetal liver,Erythroid progenitors,erythropoietin-containing media for 24hrs,ribosome-protected RNA,GSM2219144
SRR3726647,42587722,1703508880,40,1021,SRX1883488,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP077522,PRJNA327113,27899360,"",SRS1529768,SAMN05301566,simple,10090,Mus musculus,GSM2219145,GEO,SRA436779,12,2016,Alvarez-Dominguez,Erythroid progenitors_Ribo-seq_24h,Ribo-seq_24h_rep2,Erythroid progenitors_Ribo-seq_24h,C57BL/6,E14.5,fetal liver,Erythroid progenitors,erythropoietin-containing media for 24hrs,ribosome-protected RNA,GSM2219145
SRR3726648,49923346,1996933840,40,1188,SRX1883489,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP077522,PRJNA327113,27899360,"",SRS1529769,SAMN05301567,simple,10090,Mus musculus,GSM2219146,GEO,SRA436779,12,2016,Alvarez-Dominguez,Erythroid progenitors_Ribo-seq_33h,Ribo-seq_33h_rep1,Erythroid progenitors_Ribo-seq_33h,C57BL/6,E14.5,fetal liver,Erythroid progenitors,erythropoietin-containing media for 33hrs,ribosome-protected RNA,GSM2219146
SRR3726649,35037219,1401488760,40,844,SRX1883490,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP077522,PRJNA327113,27899360,"",SRS1529770,SAMN05301568,simple,10090,Mus musculus,GSM2219147,GEO,SRA436779,12,2016,Alvarez-Dominguez,Erythroid progenitors_Ribo-seq_33h,Ribo-seq_33h_rep2,Erythroid progenitors_Ribo-seq_33h,C57BL/6,E14.5,fetal liver,Erythroid progenitors,erythropoietin-containing media for 33hrs,ribosome-protected RNA,GSM2219147
SRR3726650,50902710,2036108400,40,1230,SRX1883491,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP077522,PRJNA327113,27899360,"",SRS1529771,SAMN05301569,simple,10090,Mus musculus,GSM2219148,GEO,SRA436779,12,2016,Alvarez-Dominguez,Erythroid progenitors_Ribo-seq_48h,Ribo-seq_48h_rep1,Erythroid progenitors_Ribo-seq_48h,C57BL/6,E14.5,fetal liver,Erythroid progenitors,erythropoietin-containing media for 48hrs,ribosome-protected RNA,GSM2219148
SRR3726651,35641132,1425645280,40,856,SRX1883492,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP077522,PRJNA327113,27899360,"",SRS1529772,SAMN05301570,simple,10090,Mus musculus,GSM2219149,GEO,SRA436779,12,2016,Alvarez-Dominguez,Erythroid progenitors_Ribo-seq_48h,Ribo-seq_48h_rep2,Erythroid progenitors_Ribo-seq_48h,C57BL/6,E14.5,fetal liver,Erythroid progenitors,erythropoietin-containing media for 48hrs,ribosome-protected RNA,GSM2219149
SRR3726652,49545792,1981831680,40,1194,SRX1883493,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP077522,PRJNA327113,27899360,"",SRS1529773,SAMN05301571,simple,10090,Mus musculus,GSM2219150,GEO,SRA436779,12,2016,Alvarez-Dominguez,Erythroid progenitors_RNA-seq_0h,RNA-seq_0h_rep1,Erythroid progenitors_RNA-seq_0h,C57BL/6,E14.5,fetal liver,Erythroid progenitors,erythropoietin-containing media for 0hr,total RNA minus rRNA,GSM2219150
SRR3726653,35707178,1428287120,40,886,SRX1883494,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP077522,PRJNA327113,27899360,"",SRS1529774,SAMN05301572,simple,10090,Mus musculus,GSM2219151,GEO,SRA436779,12,2016,Alvarez-Dominguez,Erythroid progenitors_RNA-seq_0h,RNA-seq_0h_rep2,Erythroid progenitors_RNA-seq_0h,C57BL/6,E14.5,fetal liver,Erythroid progenitors,erythropoietin-containing media for 0hr,total RNA minus rRNA,GSM2219151
SRR3726654,53524330,2140973200,40,1295,SRX1883495,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP077522,PRJNA327113,27899360,"",SRS1529775,SAMN05301573,simple,10090,Mus musculus,GSM2219152,GEO,SRA436779,12,2016,Alvarez-Dominguez,Erythroid progenitors_RNA-seq_24h,RNA-seq_24h_rep1,Erythroid progenitors_RNA-seq_24h,C57BL/6,E14.5,fetal liver,Erythroid progenitors,erythropoietin-containing media for 24hrs,total RNA minus rRNA,GSM2219152
SRR3726655,67867176,2714687040,40,1679,SRX1883496,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP077522,PRJNA327113,27899360,"",SRS1529776,SAMN05301574,simple,10090,Mus musculus,GSM2219153,GEO,SRA436779,12,2016,Alvarez-Dominguez,Erythroid progenitors_RNA-seq_24h,RNA-seq_24h_rep2,Erythroid progenitors_RNA-seq_24h,C57BL/6,E14.5,fetal liver,Erythroid progenitors,erythropoietin-containing media for 24hrs,total RNA minus rRNA,GSM2219153
SRR3726656,70705480,2828219200,40,1717,SRX1883497,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP077522,PRJNA327113,27899360,"",SRS1529777,SAMN05301575,simple,10090,Mus musculus,GSM2219154,GEO,SRA436779,12,2016,Alvarez-Dominguez,Erythroid progenitors_RNA-seq_33h,RNA-seq_33h_rep1,Erythroid progenitors_RNA-seq_33h,C57BL/6,E14.5,fetal liver,Erythroid progenitors,erythropoietin-containing media for 33hrs,total RNA minus rRNA,GSM2219154
SRR3726657,61494055,2459762200,40,1532,SRX1883498,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP077522,PRJNA327113,27899360,"",SRS1529778,SAMN05301576,simple,10090,Mus musculus,GSM2219155,GEO,SRA436779,12,2016,Alvarez-Dominguez,Erythroid progenitors_RNA-seq_33h,RNA-seq_33h_rep2,Erythroid progenitors_RNA-seq_33h,C57BL/6,E14.5,fetal liver,Erythroid progenitors,erythropoietin-containing media for 33hrs,total RNA minus rRNA,GSM2219155
SRR3726658,54635855,2185434200,40,1343,SRX1883499,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP077522,PRJNA327113,27899360,"",SRS1529779,SAMN05301577,simple,10090,Mus musculus,GSM2219156,GEO,SRA436779,12,2016,Alvarez-Dominguez,Erythroid progenitors_RNA-seq_48h,RNA-seq_48h_rep1,Erythroid progenitors_RNA-seq_48h,C57BL/6,E14.5,fetal liver,Erythroid progenitors,erythropoietin-containing media for 48hrs,total RNA minus rRNA,GSM2219156
SRR3726659,78424111,3136964440,40,1941,SRX1883500,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP077522,PRJNA327113,27899360,"",SRS1529780,SAMN05301578,simple,10090,Mus musculus,GSM2219157,GEO,SRA436779,12,2016,Alvarez-Dominguez,Erythroid progenitors_RNA-seq_48h,RNA-seq_48h_rep2,Erythroid progenitors_RNA-seq_48h,C57BL/6,E14.5,fetal liver,Erythroid progenitors,erythropoietin-containing media for 48hrs,total RNA minus rRNA,GSM2219157
