Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain background,genotype/variation,replicate,GEO Accession
SRR3945920,13107868,655393400,50,404,SRX1971805,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP079402,PRJNA330982,27450428,"",SRS1580544,SAMN05433384,simple,4932,Saccharomyces cerevisiae,GSM2249616,GEO,SRA443465,08,2016,Lecanda,DualLigation_RibosomeProfiling,DualLigation_RibosomeProfiling_rep1,DualLigation_RibosomeProfiling,BY4741,wild-type,1,GSM2249616
SRR3945921,25665535,1283276750,50,796,SRX1971806,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP079402,PRJNA330982,27450428,"",SRS1580546,SAMN05433383,simple,4932,Saccharomyces cerevisiae,GSM2249617,GEO,SRA443465,08,2016,Lecanda,DualLigation_RibosomeProfiling,DualLigation_RibosomeProfiling_rep2,DualLigation_RibosomeProfiling,BY4741,wild-type,2,GSM2249617
SRR3945922,26443593,1322179650,50,823,SRX1971807,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP079402,PRJNA330982,27450428,"",SRS1580545,SAMN05433382,simple,4932,Saccharomyces cerevisiae,GSM2249618,GEO,SRA443465,08,2016,Lecanda,DualLigation_RibosomeProfiling,DualLigation_RibosomeProfiling_rep3,DualLigation_RibosomeProfiling,BY4741,wild-type,3,GSM2249618
SRR3945923,28428350,1279275750,45,818,SRX1971808,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP079402,PRJNA330982,27450428,"",SRS1580547,SAMN05433381,simple,4932,Saccharomyces cerevisiae,GSM2249619,GEO,SRA443465,08,2016,Lecanda,RibosomeProfiling_rep1,4N_RibosomeProfiling_rep1,RibosomeProfiling_rep1,BY4741,wild-type,1,GSM2249619
SRR3945924,28176334,1267935030,45,811,SRX1971809,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP079402,PRJNA330982,27450428,"",SRS1580548,SAMN05433380,simple,4932,Saccharomyces cerevisiae,GSM2249620,GEO,SRA443465,08,2016,Lecanda,RibosomeProfiling_rep2,4N_RibosomeProfiling_rep2,RibosomeProfiling_rep2,BY4741,wild-type,2,GSM2249620
SRR3945925,4000937,240056220,60,91,SRX1971810,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP079402,PRJNA330982,27450428,"",SRS1580549,SAMN05433379,simple,4932,Saccharomyces cerevisiae,GSM2249621,GEO,SRA443465,08,2016,Lecanda,RibosomeProfiling_rep1,Nonrandom_RibosomeProfiling_rep1_low,RibosomeProfiling_rep1,BY4741,wild-type,1,GSM2249621
SRR3945926,28658776,1289644920,45,829,SRX1971811,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP079402,PRJNA330982,27450428,"",SRS1580550,SAMN05433378,simple,4932,Saccharomyces cerevisiae,GSM2249622,GEO,SRA443465,08,2016,Lecanda,RibosomeProfiling_rep1,Nonrandom_RibosomeProfiling_rep1,RibosomeProfiling_rep1,BY4741,wild-type,1,GSM2249622
SRR3945927,6006798,360407880,60,136,SRX1971812,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP079402,PRJNA330982,27450428,"",SRS1580552,SAMN05433396,simple,4932,Saccharomyces cerevisiae,GSM2249623,GEO,SRA443465,08,2016,Lecanda,RibosomeProfiling_rep2,Nonrandom_RibosomeProfiling_rep2_low,RibosomeProfiling_rep2,BY4741,wild-type,2,GSM2249623
SRR3945928,26362552,1186314840,45,755,SRX1971813,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP079402,PRJNA330982,27450428,"",SRS1580551,SAMN05433395,simple,4932,Saccharomyces cerevisiae,GSM2249624,GEO,SRA443465,08,2016,Lecanda,RibosomeProfiling_rep2,Nonrandom_RibosomeProfiling_rep2,RibosomeProfiling_rep2,BY4741,wild-type,2,GSM2249624
SRR3945929,2324116,139446960,60,53,SRX1971814,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP079402,PRJNA330982,27450428,"",SRS1580554,SAMN05433394,simple,4932,Saccharomyces cerevisiae,GSM2249625,GEO,SRA443465,08,2016,Lecanda,RibosomeProfiling_rep1,4+3N_RibosomeProfiling_rep1_low,RibosomeProfiling_rep1,BY4741,wild-type,1,GSM2249625
SRR3945930,22850775,1028284875,45,671,SRX1971815,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP079402,PRJNA330982,27450428,"",SRS1580553,SAMN05433393,simple,4932,Saccharomyces cerevisiae,GSM2249626,GEO,SRA443465,08,2016,Lecanda,RibosomeProfiling_rep1,4+3N_RibosomeProfiling_rep1,RibosomeProfiling_rep1,BY4741,wild-type,1,GSM2249626
SRR3945931,24559108,1105159860,45,718,SRX1971816,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP079402,PRJNA330982,27450428,"",SRS1580555,SAMN05433392,simple,4932,Saccharomyces cerevisiae,GSM2249627,GEO,SRA443465,08,2016,Lecanda,RibosomeProfiling_rep1,4+3N_RibosomeProfiling_rep2,RibosomeProfiling_rep1,BY4741,wild-type,1,GSM2249627
SRR3945932,3525194,211511640,60,80,SRX1971817,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP079402,PRJNA330982,27450428,"",SRS1580556,SAMN05433391,simple,4932,Saccharomyces cerevisiae,GSM2249628,GEO,SRA443465,08,2016,Lecanda,RibosomeProfiling_rep2,4+3N_RibosomeProfiling+3_rep2_low,RibosomeProfiling_rep2,BY4741,wild-type,2,GSM2249628
SRR3945933,3851928,481491000,125,214,SRX1971818,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP079402,PRJNA330982,27450428,"",SRS1580557,SAMN05433390,simple,4932,Saccharomyces cerevisiae,GSM2249629,GEO,SRA443465,08,2016,Lecanda,mRNA-seq_rep1,Nonrandom_mRNA-seq_rep1,mRNA-seq_rep1,BY4741,wild-type,1,GSM2249629
SRR3945934,4992893,624111625,125,275,SRX1971819,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP079402,PRJNA330982,27450428,"",SRS1580558,SAMN05433389,simple,4932,Saccharomyces cerevisiae,GSM2249630,GEO,SRA443465,08,2016,Lecanda,mRNA-seq_rep1,4N_mRNA-seq_rep1,mRNA-seq_rep1,BY4741,wild-type,1,GSM2249630
SRR3945935,3372695,421586875,125,186,SRX1971820,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP079402,PRJNA330982,27450428,"",SRS1580560,SAMN05433388,simple,4932,Saccharomyces cerevisiae,GSM2249631,GEO,SRA443465,08,2016,Lecanda,mRNA-seq_rep1,4+3N_mRNA-seq_rep1,mRNA-seq_rep1,BY4741,wild-type,1,GSM2249631
SRR3945936,6101911,762738875,125,338,SRX1971821,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP079402,PRJNA330982,27450428,"",SRS1580559,SAMN05433387,simple,4932,Saccharomyces cerevisiae,GSM2249632,GEO,SRA443465,08,2016,Lecanda,mRNA-seq_rep2,Nonrandom_mRNA-seq_rep2,mRNA-seq_rep2,BY4741,wild-type,2,GSM2249632
SRR3945937,2837938,354742250,125,157,SRX1971822,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP079402,PRJNA330982,27450428,"",SRS1580561,SAMN05433386,simple,4932,Saccharomyces cerevisiae,GSM2249633,GEO,SRA443465,08,2016,Lecanda,mRNA-seq_rep2,4N_mRNA-seq_rep2,mRNA-seq_rep2,BY4741,wild-type,2,GSM2249633
SRR3945938,4108524,513565500,125,225,SRX1971823,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP079402,PRJNA330982,27450428,"",SRS1580562,SAMN05433385,simple,4932,Saccharomyces cerevisiae,GSM2249634,GEO,SRA443465,08,2016,Lecanda,mRNA-seq_rep2,4+3N_mRNA-seq_rep2,mRNA-seq_rep2,BY4741,wild-type,2,GSM2249634
