Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,day,modulation,GEO Accession
SRR4450319,21649217,1082460850,50,422,SRX2268396,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP092068,PRJNA350543,29551269,"",SRS1759602,SAMN05941853,simple,9606,Homo sapiens,GSM2360167,GEO,SRA486943,02,2018,Khajuria,CD34+ hematopoietic cells,CD34_shRPL5_RNA_1,CD34+ hematopoietic cells,Erythroid cells,7,RPL5 knockdown,GSM2360167
SRR4450320,17848234,892411700,50,346,SRX2268397,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP092068,PRJNA350543,29551269,"",SRS1759603,SAMN05941852,simple,9606,Homo sapiens,GSM2360168,GEO,SRA486943,02,2018,Khajuria,CD34+ hematopoietic cells,CD34_shRPL5_RNA_2,CD34+ hematopoietic cells,Erythroid cells,7,RPL5 knockdown,GSM2360168
SRR4450321,18774518,938725900,50,364,SRX2268398,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP092068,PRJNA350543,29551269,"",SRS1759604,SAMN05941865,simple,9606,Homo sapiens,GSM2360169,GEO,SRA486943,02,2018,Khajuria,CD34+ hematopoietic cells,CD34_shRPS19_RNA_1,CD34+ hematopoietic cells,Erythroid cells,7,RPS19 knockdown,GSM2360169
SRR4450322,18070942,903547100,50,349,SRX2268399,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP092068,PRJNA350543,29551269,"",SRS1759605,SAMN05941864,simple,9606,Homo sapiens,GSM2360170,GEO,SRA486943,02,2018,Khajuria,CD34+ hematopoietic cells,CD34_shRPS19_RNA_2,CD34+ hematopoietic cells,Erythroid cells,7,RPS19 knockdown,GSM2360170
SRR4450323,20537929,1026896450,50,397,SRX2268400,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP092068,PRJNA350543,29551269,"",SRS1759606,SAMN05941863,simple,9606,Homo sapiens,GSM2360171,GEO,SRA486943,02,2018,Khajuria,CD34+ hematopoietic cells,CD34_shTSR2_RNA_1,CD34+ hematopoietic cells,Erythroid cells,7,TSR2 knockdown,GSM2360171
SRR4450324,15726811,786340550,50,303,SRX2268401,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP092068,PRJNA350543,29551269,"",SRS1759607,SAMN05941862,simple,9606,Homo sapiens,GSM2360172,GEO,SRA486943,02,2018,Khajuria,CD34+ hematopoietic cells,CD34_shTSR2_RNA_2,CD34+ hematopoietic cells,Erythroid cells,7,TSR2 knockdown,GSM2360172
SRR4450325,19314131,965706550,50,372,SRX2268402,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP092068,PRJNA350543,29551269,"",SRS1759608,SAMN05941861,simple,9606,Homo sapiens,GSM2360173,GEO,SRA486943,02,2018,Khajuria,CD34+ hematopoietic cells,CD34_shLuc_RNA_1,CD34+ hematopoietic cells,Erythroid cells,7,Luc knockdown (control),GSM2360173
SRR4450326,21576398,1078819900,50,414,SRX2268403,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP092068,PRJNA350543,29551269,"",SRS1759609,SAMN05941860,simple,9606,Homo sapiens,GSM2360174,GEO,SRA486943,02,2018,Khajuria,CD34+ hematopoietic cells,CD34_shLuc_RNA_2,CD34+ hematopoietic cells,Erythroid cells,7,Luc knockdown (control),GSM2360174
SRR4450327,17327060,866353000,50,344,SRX2268404,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP092068,PRJNA350543,29551269,"",SRS1759610,SAMN05941859,simple,9606,Homo sapiens,GSM2360175,GEO,SRA486943,02,2018,Khajuria,CD34+ hematopoietic cells,CD34_shRPL5_RPF_1,CD34+ hematopoietic cells,Erythroid cells,7,RPL5 knockdown,GSM2360175
SRR4450328,17060413,853020650,50,342,SRX2268405,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP092068,PRJNA350543,29551269,"",SRS1759611,SAMN05941858,simple,9606,Homo sapiens,GSM2360176,GEO,SRA486943,02,2018,Khajuria,CD34+ hematopoietic cells,CD34_shRPL5_RPF_2,CD34+ hematopoietic cells,Erythroid cells,7,RPL5 knockdown,GSM2360176
SRR4450329,16690379,834518950,50,338,SRX2268406,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP092068,PRJNA350543,29551269,"",SRS1759612,SAMN05941857,simple,9606,Homo sapiens,GSM2360177,GEO,SRA486943,02,2018,Khajuria,CD34+ hematopoietic cells,CD34_shRPS19_RPF_1,CD34+ hematopoietic cells,Erythroid cells,7,RPS19 knockdown,GSM2360177
SRR4450330,14372274,718613700,50,289,SRX2268407,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP092068,PRJNA350543,29551269,"",SRS1759613,SAMN05941856,simple,9606,Homo sapiens,GSM2360178,GEO,SRA486943,02,2018,Khajuria,CD34+ hematopoietic cells,CD34_shRPS19_RPF_2,CD34+ hematopoietic cells,Erythroid cells,7,RPS19 knockdown,GSM2360178
SRR4450331,16282240,814112000,50,330,SRX2268408,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP092068,PRJNA350543,29551269,"",SRS1759614,SAMN05941855,simple,9606,Homo sapiens,GSM2360179,GEO,SRA486943,02,2018,Khajuria,CD34+ hematopoietic cells,CD34_shLuc_RPF_1,CD34+ hematopoietic cells,Erythroid cells,7,Luc knockdown (control),GSM2360179
SRR4450332,16020153,801007650,50,325,SRX2268409,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP092068,PRJNA350543,29551269,"",SRS1759615,SAMN05941854,simple,9606,Homo sapiens,GSM2360180,GEO,SRA486943,02,2018,Khajuria,CD34+ hematopoietic cells,CD34_shLuc_RPF_2,CD34+ hematopoietic cells,Erythroid cells,7,Luc knockdown (control),GSM2360180
