Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,strain/genotype,drug treatment,GEO Accession
SRR4450333,70091906,7009190600,100,4579,SRX2268410,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP092069,PRJNA350544,28383283,"",SRS1759616,SAMN05941911,simple,10090,Mus musculus,GSM2360181,GEO,SRA486944,03,2017,Barry,Bone Marrow Macrophages,RVKB005A_uninf_WT_RNA,Bone Marrow Macrophages,Bone Marrow Macrophages,C57Bl/6 (WT),none,GSM2360181
SRR4450334,64134959,6413495900,100,4206,SRX2268411,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP092069,PRJNA350544,28383283,"",SRS1759618,SAMN05941910,simple,10090,Mus musculus,GSM2360182,GEO,SRA486944,03,2017,Barry,Bone Marrow Macrophages,RVKB005B_flaA_WT_RNA,Bone Marrow Macrophages,Bone Marrow Macrophages,C57Bl/6 (WT),none,GSM2360182
SRR4450335,82141005,8214100500,100,5347,SRX2268412,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP092069,PRJNA350544,28383283,"",SRS1759617,SAMN05941909,simple,10090,Mus musculus,GSM2360183,GEO,SRA486944,03,2017,Barry,Bone Marrow Macrophages,RVKB005C_dotflaA_WT_RNA,Bone Marrow Macrophages,Bone Marrow Macrophages,C57Bl/6 (WT),none,GSM2360183
SRR4450336,80564010,8056401000,100,5200,SRX2268413,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP092069,PRJNA350544,28383283,"",SRS1759619,SAMN05941908,simple,10090,Mus musculus,GSM2360184,GEO,SRA486944,03,2017,Barry,Bone Marrow Macrophages,RVKB006A_uninf_Myd88_RNA,Bone Marrow Macrophages,Bone Marrow Macrophages,Myd88-/-,none,GSM2360184
SRR4450337,81017454,8101745400,100,5216,SRX2268414,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP092069,PRJNA350544,28383283,"",SRS1759620,SAMN05941907,simple,10090,Mus musculus,GSM2360185,GEO,SRA486944,03,2017,Barry,Bone Marrow Macrophages,RVKB006B_flaA_Myd88_RNA,Bone Marrow Macrophages,Bone Marrow Macrophages,Myd88-/-,none,GSM2360185
SRR4450338,48705066,4002777189,82,2623,SRX2268415,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP092069,PRJNA350544,28383283,"",SRS1759621,SAMN05941906,simple,10090,Mus musculus,GSM2360186,GEO,SRA486944,03,2017,Barry,Bone Marrow Macrophages,RVKB006C_dotflaA_Myd88_RNA,Bone Marrow Macrophages,Bone Marrow Macrophages,Myd88-/-,none,GSM2360186
SRR4450339,56625420,2831271000,50,1628,SRX2268416,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP092069,PRJNA350544,28383283,"",SRS1759622,SAMN05941905,simple,10090,Mus musculus,GSM2360187,GEO,SRA486944,03,2017,Barry,Bone Marrow Macrophages,RVKB007A_flaA,Bone Marrow Macrophages,Bone Marrow Macrophages,C57Bl/6 (WT),none,GSM2360187
SRR4450340,40363837,2018191850,50,1184,SRX2268417,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP092069,PRJNA350544,28383283,"",SRS1759623,SAMN05941904,simple,10090,Mus musculus,GSM2360188,GEO,SRA486944,03,2017,Barry,Bone Marrow Macrophages,RVKB007B_dotflaA,Bone Marrow Macrophages,Bone Marrow Macrophages,C57Bl/6 (WT),none,GSM2360188
SRR4450341,56621769,2831088450,50,1648,SRX2268418,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP092069,PRJNA350544,28383283,"",SRS1759624,SAMN05941903,simple,10090,Mus musculus,GSM2360189,GEO,SRA486944,03,2017,Barry,Bone Marrow Macrophages,RVKB007C_7flaA,Bone Marrow Macrophages,Bone Marrow Macrophages,C57Bl/6 (WT),none,GSM2360189
SRR4450342,49561313,2478065650,50,1484,SRX2268419,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP092069,PRJNA350544,28383283,"",SRS1759625,SAMN05941902,simple,10090,Mus musculus,GSM2360190,GEO,SRA486944,03,2017,Barry,Bone Marrow Macrophages,RVKB008A_flaA_WT,Bone Marrow Macrophages,Bone Marrow Macrophages,C57Bl/6 (WT),none,GSM2360190
