Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genetic background,cell line,treated with,GEO Accession
SRR5078084,83275343,2190976522,26,981,SRX2396720,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP094671,PRJNA356354,28757607,"",SRS1837831,SAMN06111901,simple,4932,Saccharomyces cerevisiae,GSM2417507,GEO,SRA500906,07,2017,Matsuo,wt_R12,wt_R12_1,wt_R12,MATa ade2 his3 leu2 trp1 ura3 can1,W303-1a,p416GPDp-GFP-R12-FLAG-HIS3,GSM2417507
SRR5078085,68653666,1754605704,25,799,SRX2396721,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP094671,PRJNA356354,28757607,"",SRS1837832,SAMN06111900,simple,4932,Saccharomyces cerevisiae,GSM2417508,GEO,SRA500906,07,2017,Matsuo,rqt1_R12,rqt1_R12_1,rqt1_R12,"MATa ade2 his3 leu2 trp1 ura3 can1, hel2<delta>::natMX4",hel2<delta>,p416GPDp-GFP-R12-FLAG-HIS3,GSM2417508
SRR5078086,47048069,1234958050,26,557,SRX2396722,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP094671,PRJNA356354,28757607,"",SRS1837833,SAMN06111899,simple,4932,Saccharomyces cerevisiae,GSM2417509,GEO,SRA500906,07,2017,Matsuo,rqt2_R12,rqt2_R12_1,rqt2_R12,"MATa ade2 his3 leu2 trp1 ura3 can1, rqt2<delta>::natMX4",rqt2<delta>,p416GPDp-GFP-R12-FLAG-HIS3,GSM2417509
SRR5078087,74402316,1980165332,26,883,SRX2396723,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP094671,PRJNA356354,28757607,"",SRS1837834,SAMN06111903,simple,4932,Saccharomyces cerevisiae,GSM2417510,GEO,SRA500906,07,2017,Matsuo,us10kr_R12,us10kr_R12_1,us10kr_R12,"MATa ade2 his3 leu2 trp1 ura3 can1, rps20::natMX4, p415-rps20K6/8R","rps20<delta>, p415-RpS20K6/8R",p416GPDp-GFP-R12-FLAG-HIS3,GSM2417510
SRR5078088,60801183,1592435317,26,720,SRX2396724,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP094671,PRJNA356354,28757607,"",SRS1837835,SAMN06111902,simple,4932,Saccharomyces cerevisiae,GSM2417511,GEO,SRA500906,07,2017,Matsuo,DeltaRing_R12,DeltaRing_R12_1,DeltaRing_R12,"MATa ade2 his3 leu2 trp1 ura3 can1, hel2<delta>::natMX4, p415-HEL2<delta>RING","hel2<delta>, p415-HEL2<delta>RING",p416GPDp-GFP-R12-FLAG-HIS3,GSM2417511
SRR5078089,49466784,1252012687,25,640,SRX2396725,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP094671,PRJNA356354,28757607,"",SRS1837836,SAMN06111906,simple,4932,Saccharomyces cerevisiae,GSM2417512,GEO,SRA500906,07,2017,Matsuo,wt_R12,wt_R12_2,wt_R12,MATa ade2 his3 leu2 trp1 ura3 can1,W303-1a,p416GPDp-GFP-R12-FLAG-HIS3,GSM2417512
SRR5078090,40247745,1011097284,25,519,SRX2396726,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP094671,PRJNA356354,28757607,"",SRS1837837,SAMN06111898,simple,4932,Saccharomyces cerevisiae,GSM2417513,GEO,SRA500906,07,2017,Matsuo,rqt1_R12,rqt1_R12_2,rqt1_R12,"MATa ade2 his3 leu2 trp1 ura3 can1, hel2<delta>::natMX4",hel2<delta>,p416GPDp-GFP-R12-FLAG-HIS3,GSM2417513
SRR5078091,29633293,762681871,25,386,SRX2396727,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP094671,PRJNA356354,28757607,"",SRS1837838,SAMN06111907,simple,4932,Saccharomyces cerevisiae,GSM2417514,GEO,SRA500906,07,2017,Matsuo,rqt2_R12,rqt2_R12_2,rqt2_R12,"MATa ade2 his3 leu2 trp1 ura3 can1, rqt2<delta>::natMX4",rqt2<delta>,p416GPDp-GFP-R12-FLAG-HIS3,GSM2417514
SRR5078092,54789852,1435398830,26,715,SRX2396728,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP094671,PRJNA356354,28757607,"",SRS1837839,SAMN06111904,simple,4932,Saccharomyces cerevisiae,GSM2417515,GEO,SRA500906,07,2017,Matsuo,us10kr_R12,us10kr_R12_2,us10kr_R12,"MATa ade2 his3 leu2 trp1 ura3 can1, rps20::natMX4, p415-rps20K6/8R","rps20<delta>, p415-RpS20K6/8R",p416GPDp-GFP-R12-FLAG-HIS3,GSM2417515
SRR5078093,40500349,1050683975,25,530,SRX2396729,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP094671,PRJNA356354,28757607,"",SRS1837840,SAMN06111905,simple,4932,Saccharomyces cerevisiae,GSM2417516,GEO,SRA500906,07,2017,Matsuo,DeltaRing_R12,DeltaRing_R12_2,DeltaRing_R12,"MATa ade2 his3 leu2 trp1 ura3 can1, hel2<delta>::natMX4, p415-HEL2<delta>RING","hel2<delta>, p415-HEL2<delta>RING",p416GPDp-GFP-R12-FLAG-HIS3,GSM2417516
