Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,treatment,cell line,cell type,GEO Accession
SRR5137678,12140626,291137248,23,212,SRX2457063,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP095901,PRJNA359690,1,"",SRS1890303,SAMN06196961,simple,9606,Homo sapiens,GSM2443016,GEO,SRA517490,01,2020,Makar,HEK293 cells,Wildtype_HRN_CHX 1,HEK293 cells,Harringtonine-Chyclohexamide treated,HEK293,,GSM2443016
SRR5137679,6923796,162340995,23,118,SRX2457064,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP095901,PRJNA359690,1,"",SRS1890305,SAMN06196960,simple,9606,Homo sapiens,GSM2443017,GEO,SRA517490,01,2020,Makar,HEK293 cells,Wildtype_HRN_CHX 2,HEK293 cells,Harringtonine-Chyclohexamide treated,HEK293,,GSM2443017
SRR5137680,5904634,144332762,24,108,SRX2457065,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP095901,PRJNA359690,1,"",SRS1890304,SAMN06196958,simple,9606,Homo sapiens,GSM2443018,GEO,SRA517490,01,2020,Makar,HEK293 cells,Wildtype_HRN_CHX 3,HEK293 cells,Harringtonine-Chyclohexamide treated,HEK293,,GSM2443018
SRR5137681,13118939,310652250,23,227,SRX2457066,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP095901,PRJNA359690,1,"",SRS1890306,SAMN06196959,simple,9606,Homo sapiens,GSM2443019,GEO,SRA517490,01,2020,Makar,HEK293 cells,Wildtype_CHX 1,HEK293 cells,Cyclohexamide treated,HEK293,,GSM2443019
SRR5137682,20979612,495982696,23,367,SRX2457067,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP095901,PRJNA359690,1,"",SRS1890307,SAMN06196957,simple,9606,Homo sapiens,GSM2443020,GEO,SRA517490,01,2020,Makar,HEK293 cells,Wildtype_CHX 2,HEK293 cells,Cyclohexamide treated,HEK293,,GSM2443020
SRR5137683,7678314,188061755,24,138,SRX2457068,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP095901,PRJNA359690,1,"",SRS1890308,SAMN06196956,simple,9606,Homo sapiens,GSM2443021,GEO,SRA517490,01,2020,Makar,HEK293 cells,Wildtype_CHX 3,HEK293 cells,Cyclohexamide treated,HEK293,,GSM2443021
SRR5137684,11451083,281672186,24,206,SRX2457069,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP095901,PRJNA359690,1,"",SRS1890309,SAMN06196954,simple,9606,Homo sapiens,GSM2443022,GEO,SRA517490,01,2020,Makar,HEK293 cells,Wildtype_CHX 4,HEK293 cells,Cyclohexamide treated,HEK293,,GSM2443022
SRR5137685,13743678,338406399,24,249,SRX2457070,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP095901,PRJNA359690,1,"",SRS1890310,SAMN06196955,simple,9606,Homo sapiens,GSM2443023,GEO,SRA517490,01,2020,Makar,HEK293 cells,Wildtype_CHX 5,HEK293 cells,Cyclohexamide treated,HEK293,,GSM2443023
SRR5137686,13668531,327067108,23,242,SRX2457071,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP095901,PRJNA359690,1,"",SRS1890311,SAMN06196953,simple,9606,Homo sapiens,GSM2443024,GEO,SRA517490,01,2020,Makar,HEK293 cells,CNBP-KO_HRN_CHX,HEK293 cells,Harringtonine-Chyclohexamide treated,HEK293,CRISPR-cas9 mediated CNBP knockout,GSM2443024
SRR5137687,15076091,359481591,23,263,SRX2457072,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP095901,PRJNA359690,1,"",SRS1890313,SAMN06196952,simple,9606,Homo sapiens,GSM2443025,GEO,SRA517490,01,2020,Makar,HEK293 cells,CNBP-KO_CHX 1,HEK293 cells,Cyclohexamide treated,HEK293,CRISPR-cas9 mediated CNBP knockout,GSM2443025
SRR5137688,6871584,162057483,23,119,SRX2457073,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP095901,PRJNA359690,1,"",SRS1890312,SAMN06196951,simple,9606,Homo sapiens,GSM2443026,GEO,SRA517490,01,2020,Makar,HEK293 cells,CNBP-KO_CHX 2,HEK293 cells,Cyclohexamide treated,HEK293,CRISPR-cas9 mediated CNBP knockout,GSM2443026
SRR5137689,11671215,285505331,24,211,SRX2457074,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP095901,PRJNA359690,1,"",SRS1890314,SAMN06196950,simple,9606,Homo sapiens,GSM2443027,GEO,SRA517490,01,2020,Makar,HEK293 cells,CNBP-KO_CHX 3,HEK293 cells,Cyclohexamide treated,HEK293,CRISPR-cas9 mediated CNBP knockout,GSM2443027
