Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,condition,GEO Accession
SRR5249562,32235869,3223586900,50,1089,SRX2555398,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP099436,PRJNA374537,28490664,"",SRS1972862,SAMN06327122,simple,9606,Homo sapiens,GSM2486191,GEO,SRA537390,05,2017,Manier,NCI-H929 cell line,NCI-H929_WT,NCI-H929 cell line,NCI-H929,Multiple Myeloma cell line,DMSO-treated,GSM2486191
SRR5249563,32686906,3268690600,50,1110,SRX2555399,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP099436,PRJNA374537,28490664,"",SRS1972863,SAMN06327121,simple,9606,Homo sapiens,GSM2486192,GEO,SRA537390,05,2017,Manier,NCI-H929 cell line,NCI-H929_10509,NCI-H929 cell line,NCI-H929,Multiple Myeloma cell line,CMLD010509-treated 50nM 6 hours,GSM2486192
SRR5249564,31838742,3183874200,50,1098,SRX2555400,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP099436,PRJNA374537,28490664,"",SRS1972864,SAMN06327120,simple,9606,Homo sapiens,GSM2486193,GEO,SRA537390,05,2017,Manier,NAMALWA cell line,NAMALWA_WT,NAMALWA cell line,NAMALWA,Burkitt Lymphoma cell line,DMSO-treated,GSM2486193
SRR5249565,32296861,3229686100,50,1086,SRX2555401,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP099436,PRJNA374537,28490664,"",SRS1972865,SAMN06327119,simple,9606,Homo sapiens,GSM2486194,GEO,SRA537390,05,2017,Manier,NAMALWA cell line,NAMALWA_10509,NAMALWA cell line,NAMALWA,Burkitt Lymphoma cell line,CMLD010509-treated 50nM 6 hours,GSM2486194
SRR5249566,36292605,3629260500,50,1273,SRX2555402,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP099436,PRJNA374537,28490664,"",SRS1972866,SAMN06327118,simple,9606,Homo sapiens,GSM2486195,GEO,SRA537390,05,2017,Manier,MM1S cell line,MM1S_WT,MM1S cell line,MM1S,Multiple Myeloma cell line,DMSO-treated,GSM2486195
SRR5249567,36165151,3616515100,50,1225,SRX2555403,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP099436,PRJNA374537,28490664,"",SRS1972867,SAMN06327117,simple,9606,Homo sapiens,GSM2486196,GEO,SRA537390,05,2017,Manier,MM1S cell line,MM1S_10509,MM1S cell line,MM1S,Multiple Myeloma cell line,CMLD010509-treated 50nM 6 hours,GSM2486196
SRR5249568,37717868,3771786800,50,1294,SRX2555404,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP099436,PRJNA374537,28490664,"",SRS1972868,SAMN06327116,simple,9606,Homo sapiens,GSM2486197,GEO,SRA537390,05,2017,Manier,OPM2 cell line,OPM2_WT,OPM2 cell line,OPM2,Multiple Myeloma cell line,DMSO-treated,GSM2486197
SRR5249569,31236236,3123623600,50,1053,SRX2555405,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP099436,PRJNA374537,28490664,"",SRS1972869,SAMN06327115,simple,9606,Homo sapiens,GSM2486198,GEO,SRA537390,05,2017,Manier,OPM2 cell line,OPM2_10509,OPM2 cell line,OPM2,Multiple Myeloma cell line,CMLD010509-treated 50nM 6 hours,GSM2486198
SRR5249570,18857353,1885735300,50,665,SRX2555406,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP099436,PRJNA374537,28490664,"",SRS1972870,SAMN06327114,simple,9606,Homo sapiens,GSM2486199,GEO,SRA537390,05,2017,Manier,U266 cell line,U266_WT,U266 cell line,U266,Multiple Myeloma cell line,DMSO-treated,GSM2486199
SRR5249571,38216239,3821623900,50,1302,SRX2555407,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP099436,PRJNA374537,28490664,"",SRS1972871,SAMN06327113,simple,9606,Homo sapiens,GSM2486200,GEO,SRA537390,05,2017,Manier,U266 cell line,U266_10509,U266 cell line,U266,Multiple Myeloma cell line,CMLD010509-treated 50nM 6 hours,GSM2486200
