Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,sub_species,type-material,substrain,growth medium,GEO Accession
SRR5278491,112774341,5638717050,50,3264,SRX2582341,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP100536,PRJNA376419,29606352,"",SRS1996364,SAMN06392645,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM2500125,GEO,SRA539512,03,2018,Lalanne,Bacteria,Bacillus_subtilis_ribosome_profiling_LB,Bacteria,subspecies 168,subtilis,,,,GSM2500125
SRR5278492,13903778,695188900,50,435,SRX2582341,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP100536,PRJNA376419,29606352,"",SRS1996364,SAMN06392645,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM2500125,GEO,SRA539512,03,2018,Lalanne,Bacteria,Bacillus_subtilis_ribosome_profiling_LB,Bacteria,NBRC 15636,,type strain of Beneckea natriegens,,,GSM2500126
SRR5278493,74864264,3743213200,50,2164,SRX2582341,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP100536,PRJNA376419,29606352,"",SRS1996364,SAMN06392645,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM2500125,GEO,SRA539512,03,2018,Lalanne,Bacteria,Bacillus_subtilis_ribosome_profiling_LB,Bacteria,subspecies 168,subtilis,,,,GSM2500127
SRR5278494,28072475,1403623750,50,880,SRX2582342,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP100536,PRJNA376419,29606352,"",SRS1996365,SAMN06392640,simple,1219067,Vibrio natriegens NBRC 15636 = ATCC 14048 = DSM 759,GSM2500126,GEO,SRA539512,03,2018,Lalanne,Bacteria,Vibrio_natriegens_ribosome_profiling_MOPS_comp_3NaCl,Bacteria,subspecies 168,subtilis,,,,GSM2500128
SRR5278495,32110825,1605541250,50,993,SRX2582343,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP100536,PRJNA376419,29606352,"",SRS1996366,SAMN06392642,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM2500127,GEO,SRA539512,03,2018,Lalanne,Bacteria,Bacillus_subtilis_WT_Rend_seq_LB_25s_frag_pooled,Bacteria,subspecies 168,subtilis,,,,GSM2500129
SRR5278496,37035970,1851798500,50,1104,SRX2582343,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP100536,PRJNA376419,29606352,"",SRS1996366,SAMN06392642,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM2500127,GEO,SRA539512,03,2018,Lalanne,Bacteria,Bacillus_subtilis_WT_Rend_seq_LB_25s_frag_pooled,Bacteria,subspecies 168,subtilis,,,,GSM2500130
SRR5278497,69075053,3453752650,50,1981,SRX2582343,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP100536,PRJNA376419,29606352,"",SRS1996366,SAMN06392642,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM2500127,GEO,SRA539512,03,2018,Lalanne,Bacteria,Bacillus_subtilis_WT_Rend_seq_LB_25s_frag_pooled,Bacteria,K-12 MG1655,,,MG1655,,GSM2500131
SRR5278498,29884090,1494204500,50,929,SRX2582344,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP100536,PRJNA376419,29606352,"",SRS1996367,SAMN06392641,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM2500128,GEO,SRA539512,03,2018,Lalanne,Bacteria,Bacillus_subtilis_WT_Rend_seq_LB_50s_frag,Bacteria,"subspecies 168, rho::lox72",subtilis,,,,GSM2500132
SRR5278499,24363728,1218186400,50,750,SRX2582345,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP100536,PRJNA376419,29606352,"",SRS1996368,SAMN06392643,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM2500129,GEO,SRA539512,03,2018,Lalanne,Bacteria,Bacillus_subtilis_WT_Rend_seq_LB_100s_frag,Bacteria,"subspecies 168, pnpA::kan",subtilis,,,,GSM2500133
SRR5278500,28347588,1417379400,50,872,SRX2582346,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP100536,PRJNA376419,29606352,"",SRS1996369,SAMN06392644,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM2500130,GEO,SRA539512,03,2018,Lalanne,Bacteria,Bacillus_subtilis_WT_Rend_seq_LB_200s_frag,Bacteria,"subspecies 168, pnpA::lox72",subtilis,,,,GSM2500134
