Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genotype,strain,condition,time point,GEO Accession
SRR5335818,3091319,231848925,75,109,SRX2633244,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP101720,PRJNA378770,29848443,"",SRS2042481,SAMN06561709,simple,10090,Mus musculus,GSM2532797,GEO,SRA544433,03,2018,Moore,CD4+ T-cells,WT_4h_1,CD4+ T-cells,WT,C57BL6/J,Th1,4 hours,GSM2532797
SRR5335819,3162863,237214725,75,114,SRX2633245,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP101720,PRJNA378770,29848443,"",SRS2042482,SAMN06561708,simple,10090,Mus musculus,GSM2532798,GEO,SRA544433,03,2018,Moore,CD4+ T-cells,WT_4h_2,CD4+ T-cells,WT,C57BL6/J,Th1,4 hours,GSM2532798
SRR5335820,4629089,347181675,75,192,SRX2633246,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP101720,PRJNA378770,29848443,"",SRS2042483,SAMN06561720,simple,10090,Mus musculus,GSM2532799,GEO,SRA544433,03,2018,Moore,CD4+ T-cells,WT_4h_3,CD4+ T-cells,WT,C57BL6/J,Th1,4 hours,GSM2532799
SRR5335821,2081285,156096375,75,77,SRX2633247,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP101720,PRJNA378770,29848443,"",SRS2042484,SAMN06561719,simple,10090,Mus musculus,GSM2532800,GEO,SRA544433,03,2018,Moore,CD4+ T-cells,WT_4h_4,CD4+ T-cells,WT,C57BL6/J,Th1,4 hours,GSM2532800
SRR5335822,3909576,293218200,75,145,SRX2633248,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP101720,PRJNA378770,29848443,"",SRS2042485,SAMN06561718,simple,10090,Mus musculus,GSM2532801,GEO,SRA544433,03,2018,Moore,CD4+ T-cells,WT_4h_5,CD4+ T-cells,WT,C57BL6/J,Th1,4 hours,GSM2532801
SRR5335823,9347189,701039175,75,396,SRX2633249,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP101720,PRJNA378770,29848443,"",SRS2042486,SAMN06561717,simple,10090,Mus musculus,GSM2532802,GEO,SRA544433,03,2018,Moore,CD4+ T-cells,ZFP36_KO_4h_1,CD4+ T-cells,ZFP36 KO,C57BL6/J,Th1,4 hours,GSM2532802
SRR5335824,4699819,352486425,75,169,SRX2633250,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP101720,PRJNA378770,29848443,"",SRS2042487,SAMN06561716,simple,10090,Mus musculus,GSM2532803,GEO,SRA544433,03,2018,Moore,CD4+ T-cells,ZFP36_KO_4h_2,CD4+ T-cells,ZFP36 KO,C57BL6/J,Th1,4 hours,GSM2532803
SRR5335825,2231511,167363325,75,80,SRX2633251,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP101720,PRJNA378770,29848443,"",SRS2042488,SAMN06561715,simple,10090,Mus musculus,GSM2532804,GEO,SRA544433,03,2018,Moore,CD4+ T-cells,ZFP36_KO_4h_3,CD4+ T-cells,ZFP36 KO,C57BL6/J,Th1,4 hours,GSM2532804
SRR5335826,8785130,658884750,75,368,SRX2633252,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP101720,PRJNA378770,29848443,"",SRS2042489,SAMN06561714,simple,10090,Mus musculus,GSM2532805,GEO,SRA544433,03,2018,Moore,CD4+ T-cells,WT_3d_1,CD4+ T-cells,WT,C57BL6/J,Th1,3 days,GSM2532805
SRR5335827,3475725,260679375,75,146,SRX2633253,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP101720,PRJNA378770,29848443,"",SRS2042490,SAMN06561713,simple,10090,Mus musculus,GSM2532806,GEO,SRA544433,03,2018,Moore,CD4+ T-cells,WT_3d_2,CD4+ T-cells,WT,C57BL6/J,Th1,3 days,GSM2532806
SRR5335828,1959567,146967525,75,70,SRX2633254,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP101720,PRJNA378770,29848443,"",SRS2042491,SAMN06561712,simple,10090,Mus musculus,GSM2532807,GEO,SRA544433,03,2018,Moore,CD4+ T-cells,WT_3d_3,CD4+ T-cells,WT,C57BL6/J,Th1,3 days,GSM2532807
SRR5335829,1943006,145725450,75,69,SRX2633255,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP101720,PRJNA378770,29848443,"",SRS2042492,SAMN06561711,simple,10090,Mus musculus,GSM2532808,GEO,SRA544433,03,2018,Moore,CD4+ T-cells,WT_3d_4,CD4+ T-cells,WT,C57BL6/J,Th1,3 days,GSM2532808
SRR5335830,2256101,169207575,75,82,SRX2633256,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP101720,PRJNA378770,29848443,"",SRS2042493,SAMN06561710,simple,10090,Mus musculus,GSM2532809,GEO,SRA544433,03,2018,Moore,CD4+ T-cells,ZFP36_KO_3d_1,CD4+ T-cells,WT,C57BL6/J,Th1,3 days,GSM2532809
