Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,strain,isolation_source,collection_date,geo_loc_name,sample_type,biomaterial_provider,culture_collection,replicate,carbon source,taxid,BioSampleModel
SRR5356885,92012581,4600629050,50,2235,SRX2652914,11836X24,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP102099,PRJNA379630,1,"",SRS2058105,SAMN06617379,simple,287,Pseudomonas aeruginosa,33988_alk_3,Lawrence Livermore National Laboratory,SRA547049,03,2017,Makar,"",Pseudomonas aeruginosa ATCC 33988 replicate 3 grown in n-alkanes,ATCC 33988,fuel storage tank,1984-01-04,"USA: Ponca City, OK",monoisolate,"Oscar N. Ruiz, AFRL, Wright-Patterson AFB, Dayton, OH 45433",ATCC:33988,replicate = biological replicate 3,carbon source = n-alkanes,taxid = 287,"Microbe, viral or environmental"
SRR5356886,94572638,4728631900,50,2562,SRX2652915,11836X23,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP102099,PRJNA379630,1,"",SRS2058105,SAMN06617379,simple,287,Pseudomonas aeruginosa,33988_alk_3,Lawrence Livermore National Laboratory,SRA547049,03,2017,Makar,"",Pseudomonas aeruginosa ATCC 33988 replicate 3 grown in n-alkanes,ATCC 33988,fuel storage tank,1984-01-04,"USA: Ponca City, OK",monoisolate,"Oscar N. Ruiz, AFRL, Wright-Patterson AFB, Dayton, OH 45433",ATCC:33988,replicate = biological replicate 3,carbon source = n-alkanes,taxid = 287,"Microbe, viral or environmental"
SRR5356887,62093655,3104682750,50,1702,SRX2652916,11836X22,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP102099,PRJNA379630,1,"",SRS2058106,SAMN06617378,simple,287,Pseudomonas aeruginosa,33988_alk_2,Lawrence Livermore National Laboratory,SRA547049,03,2017,Makar,"",Pseudomonas aeruginosa ATCC 33988 replicate 2 grown in n-alkanes,ATCC 33988,fuel storage tank,1984-01-04,"USA: Ponca City, OK",monoisolate,"Oscar N. Ruiz, AFRL, Wright-Patterson AFB, Dayton, OH 45433",ATCC:33988,replicate = biological replicate 2,carbon source = n-alkanes,taxid = 287,"Microbe, viral or environmental"
SRR5356888,65592402,3279620100,50,1864,SRX2652917,11836X21,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP102099,PRJNA379630,1,"",SRS2058106,SAMN06617378,simple,287,Pseudomonas aeruginosa,33988_alk_2,Lawrence Livermore National Laboratory,SRA547049,03,2017,Makar,"",Pseudomonas aeruginosa ATCC 33988 replicate 2 grown in n-alkanes,ATCC 33988,fuel storage tank,1984-01-04,"USA: Ponca City, OK",monoisolate,"Oscar N. Ruiz, AFRL, Wright-Patterson AFB, Dayton, OH 45433",ATCC:33988,replicate = biological replicate 2,carbon source = n-alkanes,taxid = 287,"Microbe, viral or environmental"
SRR5356889,100563944,5028197200,50,2168,SRX2652918,11836X20,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP102099,PRJNA379630,1,"",SRS2058107,SAMN06617377,simple,287,Pseudomonas aeruginosa,33988_alk_1,Lawrence Livermore National Laboratory,SRA547049,03,2017,Makar,"",Pseudomonas aeruginosa ATCC 33988 replicate 1 grown in n-alkanes,ATCC 33988,fuel storage tank,1984-01-04,"USA: Ponca City, OK",monoisolate,"Oscar N. Ruiz, AFRL, Wright-Patterson AFB, Dayton, OH 45433",ATCC:33988,replicate = biological replicate 1,carbon source = n-alkanes,taxid = 287,"Microbe, viral or environmental"
SRR5356890,136181328,6809066400,50,3223,SRX2652919,11836X19,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP102099,PRJNA379630,1,"",SRS2058107,SAMN06617377,simple,287,Pseudomonas aeruginosa,33988_alk_1,Lawrence Livermore National Laboratory,SRA547049,03,2017,Makar,"",Pseudomonas aeruginosa ATCC 33988 replicate 1 grown in n-alkanes,ATCC 33988,fuel storage tank,1984-01-04,"USA: Ponca City, OK",monoisolate,"Oscar N. Ruiz, AFRL, Wright-Patterson AFB, Dayton, OH 45433",ATCC:33988,replicate = biological replicate 1,carbon source = n-alkanes,taxid = 287,"Microbe, viral or environmental"
SRR5356891,83809807,4190490350,50,2044,SRX2652920,11836X18,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP102099,PRJNA379630,1,"",SRS2058108,SAMN06617376,simple,287,Pseudomonas aeruginosa,33988_gly_3,Lawrence Livermore National Laboratory,SRA547049,03,2017,Makar,"",Pseudomonas aeruginosa ATCC 33988 replicate 3 grown in Glycerol,ATCC 33988,fuel storage tank,1984-01-04,"USA: Ponca City, OK",monoisolate,"Oscar N. Ruiz, AFRL, Wright-Patterson AFB, Dayton, OH 45433",ATCC:33988,replicate = biological replicate 3,carbon source = Glycerol,taxid = 287,"Microbe, viral or environmental"
SRR5356892,111201922,5560096100,50,2912,SRX2652921,11836X17,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP102099,PRJNA379630,1,"",SRS2058108,SAMN06617376,simple,287,Pseudomonas aeruginosa,33988_gly_3,Lawrence Livermore National Laboratory,SRA547049,03,2017,Makar,"",Pseudomonas aeruginosa ATCC 33988 replicate 3 grown in Glycerol,ATCC 33988,fuel storage tank,1984-01-04,"USA: Ponca City, OK",monoisolate,"Oscar N. Ruiz, AFRL, Wright-Patterson AFB, Dayton, OH 45433",ATCC:33988,replicate = biological replicate 3,carbon source = Glycerol,taxid = 287,"Microbe, viral or environmental"
SRR5356893,90928652,4546432600,50,2083,SRX2652922,11836X16,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP102099,PRJNA379630,1,"",SRS2058109,SAMN06617375,simple,287,Pseudomonas aeruginosa,33988_gly_2,Lawrence Livermore National Laboratory,SRA547049,03,2017,Makar,"",Pseudomonas aeruginosa ATCC 33988 replicate 2 grown in Glycerol,ATCC 33988,fuel storage tank,1984-01-04,"USA: Ponca City, OK",monoisolate,"Oscar N. Ruiz, AFRL, Wright-Patterson AFB, Dayton, OH 45433",ATCC:33988,replicate = biological replicate 2,carbon source = Glycerol,taxid = 287,"Microbe, viral or environmental"
SRR5356894,85720972,4286048600,50,2388,SRX2652923,11836X15,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP102099,PRJNA379630,1,"",SRS2058109,SAMN06617375,simple,287,Pseudomonas aeruginosa,33988_gly_2,Lawrence Livermore National Laboratory,SRA547049,03,2017,Makar,"",Pseudomonas aeruginosa ATCC 33988 replicate 2 grown in Glycerol,ATCC 33988,fuel storage tank,1984-01-04,"USA: Ponca City, OK",monoisolate,"Oscar N. Ruiz, AFRL, Wright-Patterson AFB, Dayton, OH 45433",ATCC:33988,replicate = biological replicate 2,carbon source = Glycerol,taxid = 287,"Microbe, viral or environmental"
SRR5356895,106331232,5316561600,50,2601,SRX2652924,11836X14,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP102099,PRJNA379630,1,"",SRS2058110,SAMN06617374,simple,287,Pseudomonas aeruginosa,33988_gly_1,Lawrence Livermore National Laboratory,SRA547049,03,2017,Makar,"",Pseudomonas aeruginosa ATCC 33988 replicate 1 grown in Glycerol,ATCC 33988,fuel storage tank,1984-01-04,"USA: Ponca City, OK",monoisolate,"Oscar N. Ruiz, AFRL, Wright-Patterson AFB, Dayton, OH 45433",ATCC:33988,replicate = biological replicate 1,carbon source = Glycerol,taxid = 287,"Microbe, viral or environmental"
