Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,commercial name,cell line,genotype,GEO Accession
SRR5382420,16584922,526400685,31,357,SRX2677571,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP102616,PRJNA380795,28520920,"",SRS2075704,SAMN06648042,simple,9606,Homo sapiens,GSM2552191,GEO,SRA549841,05,2017,Jakobsson,HAP-1 EEF1AKMT4_ribosomal profiling,KO1_RPF,HAP-1 EEF1AKMT4_ribosomal profiling,"Horizon Genomics, HZGHC000530c010",HAP-1,EEF1AKMT4 KO,GSM2552191
SRR5382421,24643006,789293894,32,526,SRX2677572,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP102616,PRJNA380795,28520920,"",SRS2075705,SAMN06648041,simple,9606,Homo sapiens,GSM2552192,GEO,SRA549841,05,2017,Jakobsson,HAP-1 EEF1AKMT4_ribosomal profiling,KO2_RPF,HAP-1 EEF1AKMT4_ribosomal profiling,"Horizon Genomics, HZGHC000530c011",HAP-1,EEF1AKMT4 KO,GSM2552192
SRR5382422,21695005,694382914,32,455,SRX2677573,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP102616,PRJNA380795,28520920,"",SRS2075706,SAMN06648051,simple,9606,Homo sapiens,GSM2552193,GEO,SRA549841,05,2017,Jakobsson,HAP-1 EEF1AKMT4_ribosomal profiling,KO3_RPF,HAP-1 EEF1AKMT4_ribosomal profiling,"Horizon Genomics, HZGHC000530c012",HAP-1,EEF1AKMT4 KO,GSM2552193
SRR5382423,8197726,250870771,30,148,SRX2677574,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP102616,PRJNA380795,28520920,"",SRS2075707,SAMN06648050,simple,9606,Homo sapiens,GSM2552194,GEO,SRA549841,05,2017,Jakobsson,Flp-In T-REx-293 wild-type_ribosomal profiling,WT1_RPF,Flp-In T-REx-293 wild-type_ribosomal profiling,,Flp-In T-REx-293,wildtype,GSM2552194
SRR5382424,6868226,210269969,30,124,SRX2677575,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP102616,PRJNA380795,28520920,"",SRS2075708,SAMN06648049,simple,9606,Homo sapiens,GSM2552195,GEO,SRA549841,05,2017,Jakobsson,Flp-In T-REx-293 wild-type_ribosomal profiling,WT2_RPF,Flp-In T-REx-293 wild-type_ribosomal profiling,,Flp-In T-REx-293,wildtype,GSM2552195
SRR5382425,24616732,1230836600,50,875,SRX2677576,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP102616,PRJNA380795,28520920,"",SRS2075709,SAMN06648048,simple,9606,Homo sapiens,GSM2552196,GEO,SRA549841,05,2017,Jakobsson,HAP-1 EEF1AKMT4_RNA-seq,KO1_mRNA,HAP-1 EEF1AKMT4_RNA-seq,"Horizon Genomics, HZGHC000530c013",HAP-1,EEF1AKMT4 KO,GSM2552196
SRR5382426,12880358,644017900,50,462,SRX2677577,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP102616,PRJNA380795,28520920,"",SRS2075710,SAMN06648047,simple,9606,Homo sapiens,GSM2552197,GEO,SRA549841,05,2017,Jakobsson,HAP-1 EEF1AKMT4_RNA-seq,KO2_mRNA,HAP-1 EEF1AKMT4_RNA-seq,"Horizon Genomics, HZGHC000530c014",HAP-1,EEF1AKMT4 KO,GSM2552197
SRR5382427,12898792,644939600,50,460,SRX2677578,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP102616,PRJNA380795,28520920,"",SRS2075711,SAMN06648046,simple,9606,Homo sapiens,GSM2552198,GEO,SRA549841,05,2017,Jakobsson,HAP-1 EEF1AKMT4_RNA-seq,KO3_mRNA,HAP-1 EEF1AKMT4_RNA-seq,"Horizon Genomics, HZGHC000530c015",HAP-1,EEF1AKMT4 KO,GSM2552198
SRR5382428,9698285,484914250,50,347,SRX2677579,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP102616,PRJNA380795,28520920,"",SRS2075712,SAMN06648045,simple,9606,Homo sapiens,GSM2552199,GEO,SRA549841,05,2017,Jakobsson,HAP-1 wild-type_RNA-seq,WT1_mRNA,HAP-1 wild-type_RNA-seq,"Horizon Genomics, HAP1",HAP-1,wildtype,GSM2552199
SRR5382429,16240612,812030600,50,578,SRX2677580,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP102616,PRJNA380795,28520920,"",SRS2075713,SAMN06648044,simple,9606,Homo sapiens,GSM2552200,GEO,SRA549841,05,2017,Jakobsson,HAP-1 wild-type_RNA-seq,WT2_mRNA,HAP-1 wild-type_RNA-seq,"Horizon Genomics, HAP1",HAP-1,wildtype,GSM2552200
