Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,source,library protocol,GEO Accession
SRR5413155,36121521,2745235596,76,1736,SRX2705106,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP103009,PRJNA381596,28494858,"",SRS2098810,SAMN06681236,simple,9606,Homo sapiens,GSM2563629,GEO,SRA551465,04,2017,Park,HEK293T cells,"RPF, 293T control-treated Rep1",HEK293T cells,cell culture,adapter ligation,GSM2563629
SRR5413156,23836959,1811608884,76,1127,SRX2705107,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP103009,PRJNA381596,28494858,"",SRS2098811,SAMN06681235,simple,9606,Homo sapiens,GSM2563630,GEO,SRA551465,04,2017,Park,HEK293T cells,"RPF, 293T control-treated Rep2",HEK293T cells,cell culture,adapter ligation,GSM2563630
SRR5413157,22312568,1695755168,76,1066,SRX2705108,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP103009,PRJNA381596,28494858,"",SRS2098812,SAMN06681234,simple,9606,Homo sapiens,GSM2563631,GEO,SRA551465,04,2017,Park,HEK293T cells,"RPF, 293T torin 1-treated Rep1",HEK293T cells,cell culture,adapter ligation,GSM2563631
SRR5413158,31591231,2400933556,76,1480,SRX2705109,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP103009,PRJNA381596,28494858,"",SRS2098813,SAMN06681233,simple,9606,Homo sapiens,GSM2563632,GEO,SRA551465,04,2017,Park,HEK293T cells,"RPF, 293T torin 1-treated Rep2",HEK293T cells,cell culture,adapter ligation,GSM2563632
SRR5413159,20616338,1566841688,76,985,SRX2705110,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP103009,PRJNA381596,28494858,"",SRS2098814,SAMN06681232,simple,9606,Homo sapiens,GSM2563633,GEO,SRA551465,04,2017,Park,HEK293T cells,"RNA, 293T control-treated Rep1",HEK293T cells,cell culture,adapter ligation,GSM2563633
SRR5413160,18193224,1382685024,76,873,SRX2705111,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP103009,PRJNA381596,28494858,"",SRS2098815,SAMN06681231,simple,9606,Homo sapiens,GSM2563634,GEO,SRA551465,04,2017,Park,HEK293T cells,"RNA, 293T control-treated Rep2",HEK293T cells,cell culture,adapter ligation,GSM2563634
SRR5413161,16963337,1289213612,76,818,SRX2705112,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP103009,PRJNA381596,28494858,"",SRS2098816,SAMN06681230,simple,9606,Homo sapiens,GSM2563635,GEO,SRA551465,04,2017,Park,HEK293T cells,"RNA, 293T torin 1-treated Rep1",HEK293T cells,cell culture,adapter ligation,GSM2563635
SRR5413162,18086408,1374567008,76,871,SRX2705113,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP103009,PRJNA381596,28494858,"",SRS2098817,SAMN06681229,simple,9606,Homo sapiens,GSM2563636,GEO,SRA551465,04,2017,Park,HEK293T cells,"RNA, 293T torin 1-treated Rep2",HEK293T cells,cell culture,adapter ligation,GSM2563636
SRR5413163,12716248,966434848,76,536,SRX2705114,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP103009,PRJNA381596,28494858,"",SRS2098818,SAMN06681228,simple,9606,Homo sapiens,GSM2563637,GEO,SRA551465,04,2017,Park,HEK293T cells,"RNA-seq, 293T, control-treated 6 h Rep1",HEK293T cells,cell culture,Clontech SMARTer RNA-seq kit,GSM2563637
SRR5413164,9816879,746082804,76,417,SRX2705115,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP103009,PRJNA381596,28494858,"",SRS2098819,SAMN06681227,simple,9606,Homo sapiens,GSM2563638,GEO,SRA551465,04,2017,Park,HEK293T cells,"RNA-seq, 293T, control-treated 6 h Rep2",HEK293T cells,cell culture,Clontech SMARTer RNA-seq kit,GSM2563638
SRR5413165,10180281,773701356,76,448,SRX2705116,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP103009,PRJNA381596,28494858,"",SRS2098820,SAMN06681226,simple,9606,Homo sapiens,GSM2563639,GEO,SRA551465,04,2017,Park,HEK293T cells,"RNA-seq, 293T, torin 1-treated 6 h Rep1",HEK293T cells,cell culture,Clontech SMARTer RNA-seq kit,GSM2563639
SRR5413166,10610485,806396860,76,449,SRX2705117,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP103009,PRJNA381596,28494858,"",SRS2098821,SAMN06681225,simple,9606,Homo sapiens,GSM2563640,GEO,SRA551465,04,2017,Park,HEK293T cells,"RNA-seq, 293T, torin 1-treated 6 h Rep2",HEK293T cells,cell culture,Clontech SMARTer RNA-seq kit,GSM2563640
SRR5413167,11382590,865076840,76,484,SRX2705118,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP103009,PRJNA381596,28494858,"",SRS2098822,SAMN06681224,simple,9606,Homo sapiens,GSM2563641,GEO,SRA551465,04,2017,Park,HEK293T cells,"RNA-seq, 293T, tunicamycin-treated 6 h Rep1",HEK293T cells,cell culture,Clontech SMARTer RNA-seq kit,GSM2563641
SRR5413168,13641219,1036732644,76,579,SRX2705119,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP103009,PRJNA381596,28494858,"",SRS2098823,SAMN06681223,simple,9606,Homo sapiens,GSM2563642,GEO,SRA551465,04,2017,Park,HEK293T cells,"RNA-seq, 293T, tunicamycinl-treated 6 h Rep2",HEK293T cells,cell culture,Clontech SMARTer RNA-seq kit,GSM2563642
SRR5413169,11075878,841766728,76,468,SRX2705120,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP103009,PRJNA381596,28494858,"",SRS2098824,SAMN06681222,simple,9606,Homo sapiens,GSM2563643,GEO,SRA551465,04,2017,Park,ATF4 -/- HEK293T cells,"RNA-seq, ATF4 -/- 293T, control-treated 6 h Rep1",ATF4 -/- HEK293T cells,cell culture,Clontech SMARTer RNA-seq kit,GSM2563643
SRR5413170,11426374,868404424,76,483,SRX2705121,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP103009,PRJNA381596,28494858,"",SRS2098825,SAMN06681221,simple,9606,Homo sapiens,GSM2563644,GEO,SRA551465,04,2017,Park,ATF4 -/- HEK293T cells,"RNA-seq, ATF4 -/- 293T, control-treated 6 h Rep2",ATF4 -/- HEK293T cells,cell culture,Clontech SMARTer RNA-seq kit,GSM2563644
