Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,growth phase,GEO Accession
SRR5443317,41652947,2124300297,51,1022,SRX2732704,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP103795,PRJNA382534,32385251,"",SRS2120602,SAMN06707242,simple,83656,Streptomyces tsukubensis,GSM2574047,GEO,SRA553901,10,2019,Kim,Cell culture,RNA_E1,Cell culture,NRRL 18488,early exponential,GSM2574047
SRR5443318,35398840,1805340840,51,869,SRX2732705,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP103795,PRJNA382534,32385251,"",SRS2120603,SAMN06707241,simple,83656,Streptomyces tsukubensis,GSM2574048,GEO,SRA553901,10,2019,Kim,Cell culture,RNA_E2,Cell culture,NRRL 18488,early exponential,GSM2574048
SRR5443319,53758514,2741684214,51,1320,SRX2732706,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP103795,PRJNA382534,32385251,"",SRS2120604,SAMN06707258,simple,83656,Streptomyces tsukubensis,GSM2574049,GEO,SRA553901,10,2019,Kim,Cell culture,RNA_T1,Cell culture,NRRL 18488,transitional,GSM2574049
SRR5443320,25432836,1297074636,51,627,SRX2732707,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP103795,PRJNA382534,32385251,"",SRS2120606,SAMN06707257,simple,83656,Streptomyces tsukubensis,GSM2574050,GEO,SRA553901,10,2019,Kim,Cell culture,RNA_T2,Cell culture,NRRL 18488,transitional,GSM2574050
SRR5443321,83469019,4256919969,51,2592,SRX2732708,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP103795,PRJNA382534,32385251,"",SRS2120605,SAMN06707256,simple,83656,Streptomyces tsukubensis,GSM2574051,GEO,SRA553901,10,2019,Kim,Cell culture,RNA_L1,Cell culture,NRRL 18488,late exponential,GSM2574051
SRR5443322,39371004,2007921204,51,978,SRX2732709,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP103795,PRJNA382534,32385251,"",SRS2120607,SAMN06707251,simple,83656,Streptomyces tsukubensis,GSM2574052,GEO,SRA553901,10,2019,Kim,Cell culture,RNA_L2,Cell culture,NRRL 18488,late exponential,GSM2574052
SRR5443323,78596694,4008431394,51,2420,SRX2732710,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP103795,PRJNA382534,32385251,"",SRS2120608,SAMN06707255,simple,83656,Streptomyces tsukubensis,GSM2574053,GEO,SRA553901,10,2019,Kim,Cell culture,RNA_S1,Cell culture,NRRL 18488,stationary,GSM2574053
SRR5443324,51475167,2625233517,51,1262,SRX2732711,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP103795,PRJNA382534,32385251,"",SRS2120609,SAMN06707254,simple,83656,Streptomyces tsukubensis,GSM2574054,GEO,SRA553901,10,2019,Kim,Cell culture,RNA_S2,Cell culture,NRRL 18488,stationary,GSM2574054
SRR5443325,125024824,6376266024,51,2839,SRX2732712,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP103795,PRJNA382534,32385251,"",SRS2120611,SAMN06707253,simple,83656,Streptomyces tsukubensis,GSM2574055,GEO,SRA553901,10,2019,Kim,Cell culture,Ribo_E1,Cell culture,NRRL 18488,early exponential,GSM2574055
SRR5443326,124524054,6350726754,51,2873,SRX2732713,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP103795,PRJNA382534,32385251,"",SRS2120610,SAMN06707252,simple,83656,Streptomyces tsukubensis,GSM2574056,GEO,SRA553901,10,2019,Kim,Cell culture,Ribo_E2,Cell culture,NRRL 18488,early exponential,GSM2574056
