Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,media,strain,treatment,GEO Accession
SRR5766382,16303074,1092674263,67,396,SRX2965777,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110707,PRJNA392312,29198561,"",SRS2322806,SAMN07291124,simple,4932,Saccharomyces cerevisiae,GSM2689477,GEO,SRA582294,06,2017,Chou,Yeast,Ribo_BY4741_1,Yeast,YPD,BY4741,Cycloheximide,GSM2689477
SRR5766383,15131686,1010770684,66,373,SRX2965778,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110707,PRJNA392312,29198561,"",SRS2322807,SAMN07291123,simple,4932,Saccharomyces cerevisiae,GSM2689478,GEO,SRA582294,06,2017,Chou,Yeast,Ribo_trm4D_1,Yeast,YPD,BY4741 with trm4D::kanMX,Cycloheximide,GSM2689478
SRR5766384,14515649,967700428,66,361,SRX2965779,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110707,PRJNA392312,29198561,"",SRS2322808,SAMN07291125,simple,4932,Saccharomyces cerevisiae,GSM2689479,GEO,SRA582294,06,2017,Chou,Yeast,Ribo_trm7D_1,Yeast,YPD,BY4741 with trm7D::kanMX,Cycloheximide,GSM2689479
SRR5766385,14953283,1006673910,67,368,SRX2965780,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110707,PRJNA392312,29198561,"",SRS2322809,SAMN07291242,simple,4932,Saccharomyces cerevisiae,GSM2689480,GEO,SRA582294,06,2017,Chou,Yeast,Ribo_trm732D_1,Yeast,YPD,BY4741 with trm732D::kanMX,Cycloheximide,GSM2689480
SRR5766386,14097474,948888367,67,347,SRX2965781,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110707,PRJNA392312,29198561,"",SRS2322810,SAMN07291084,simple,4932,Saccharomyces cerevisiae,GSM2689481,GEO,SRA582294,06,2017,Chou,Yeast,Ribo_rtt10D_1,Yeast,YPD,BY4741 with rtt10D::kanMX,Cycloheximide,GSM2689481
SRR5766387,12164770,812704664,66,297,SRX2965782,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110707,PRJNA392312,29198561,"",SRS2322811,SAMN07291083,simple,4932,Saccharomyces cerevisiae,GSM2689482,GEO,SRA582294,06,2017,Chou,Yeast,Ribo_BY4741_2,Yeast,YPD,BY4741,Cycloheximide,GSM2689482
SRR5766388,11718884,787513994,67,292,SRX2965783,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110707,PRJNA392312,29198561,"",SRS2322812,SAMN07291243,simple,4932,Saccharomyces cerevisiae,GSM2689483,GEO,SRA582294,06,2017,Chou,Yeast,Ribo_elp1D_1,Yeast,YPD,BY4741 with elp1D::kanMX,Cycloheximide,GSM2689483
SRR5766389,12158856,811793656,66,297,SRX2965784,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110707,PRJNA392312,29198561,"",SRS2322813,SAMN07291241,simple,4932,Saccharomyces cerevisiae,GSM2689484,GEO,SRA582294,06,2017,Chou,Yeast,Ribo_elp3D_1,Yeast,YPD,BY4741 with elp3D::kanMX,Cycloheximide,GSM2689484
SRR5766390,13129984,879443011,66,329,SRX2965785,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110707,PRJNA392312,29198561,"",SRS2322814,SAMN07291128,simple,4932,Saccharomyces cerevisiae,GSM2689485,GEO,SRA582294,06,2017,Chou,Yeast,Ribo_kti11D_1,Yeast,YPD,BY4741 with kti11D::kanMX,Cycloheximide,GSM2689485
SRR5766391,12580808,835325949,66,310,SRX2965786,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110707,PRJNA392312,29198561,"",SRS2322815,SAMN07291136,simple,4932,Saccharomyces cerevisiae,GSM2689486,GEO,SRA582294,06,2017,Chou,Yeast,Ribo_pus1D_1,Yeast,YPD,BY4741 with pus1D::kanMX,Cycloheximide,GSM2689486
