Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,treatment,cell line,genetic modification,GEO Accession
SRR5806761,90052053,4502602650,50,1595,SRX2985745,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP111133,PRJNA393189,29622725,"",SRS2338320,SAMN07322745,simple,9606,Homo sapiens,GSM2691848,GEO,SRA584228,04,2018,Muhar,K562_DMSO_exp-1,K562_DMSO_exp-1,K562_DMSO_exp-1,"DMSO, 60 min",K562,,GSM2691848
SRR5806762,98806409,4940320450,50,1751,SRX2985746,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP111133,PRJNA393189,29622725,"",SRS2338319,SAMN07322744,simple,9606,Homo sapiens,GSM2691849,GEO,SRA584228,04,2018,Muhar,K562_flavopiridol_exp-1,K562_flavopiridol_exp-1,K562_flavopiridol_exp-1,"300nM flavopiridol, 60 min",K562,,GSM2691849
SRR5806763,47661514,4766151400,100,1631,SRX2985747,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP111133,PRJNA393189,29622725,"",SRS2338322,SAMN07322743,simple,9606,Homo sapiens,GSM2691850,GEO,SRA584228,04,2018,Muhar,K562_DMSO_exp-2,K562_DMSO_exp-2,K562_DMSO_exp-2,"DMSO (1:1000), 90 min",K562,,GSM2691850
SRR5806764,48882149,4888214900,100,1683,SRX2985748,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP111133,PRJNA393189,29622725,"",SRS2338321,SAMN07322742,simple,9606,Homo sapiens,GSM2691851,GEO,SRA584228,04,2018,Muhar,K562_mk2206_exp-2,K562_mk2206_exp-2,K562_mk2206_exp-2,"200nM mk2206, 90 min",K562,,GSM2691851
SRR5806765,44784469,4478446900,100,1529,SRX2985749,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP111133,PRJNA393189,29622725,"",SRS2338323,SAMN07322741,simple,9606,Homo sapiens,GSM2691852,GEO,SRA584228,04,2018,Muhar,K562_trametinib_exp-2,K562_trametinib_exp-2,K562_trametinib_exp-2,"10nM trametinib, 90 min",K562,,GSM2691852
SRR5806766,45722256,4572225600,100,1563,SRX2985750,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP111133,PRJNA393189,29622725,"",SRS2338324,SAMN07322740,simple,9606,Homo sapiens,GSM2691853,GEO,SRA584228,04,2018,Muhar,K562_mk2206+trametinib_exp-2,K562_mk2206+trametinib_exp-2,K562_mk2206+trametinib_exp-2,"300nM mk2206 + 10 nM trametinib, 90 min",K562,,GSM2691853
SRR5806767,55015827,5501582700,100,1886,SRX2985751,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP111133,PRJNA393189,29622725,"",SRS2338325,SAMN07322739,simple,9606,Homo sapiens,GSM2691854,GEO,SRA584228,04,2018,Muhar,K562_nilotinib_exp-2,K562_nilotinib_exp-2,K562_nilotinib_exp-2,"100nM nilotinib, 90 min",K562,,GSM2691854
SRR5806768,31176509,3117650900,100,1032,SRX2985752,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP111133,PRJNA393189,29622725,"",SRS2338326,SAMN07322738,simple,9606,Homo sapiens,GSM2691855,GEO,SRA584228,04,2018,Muhar,K562_AID-BRD4_clone-2_DMSO_rep-1,K562_AID-BRD4_clone-2_DMSO_rep-1,K562_AID-BRD4_clone-2_DMSO_rep-1,"DMSO (1:5000), 90 min",K562,AID-BRD4 / SFFV-OsTir1-T2A-BlastR,GSM2691855
SRR5806769,37663038,3766303800,100,1247,SRX2985753,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP111133,PRJNA393189,29622725,"",SRS2338327,SAMN07322737,simple,9606,Homo sapiens,GSM2691856,GEO,SRA584228,04,2018,Muhar,K562_AID-BRD4_clone-2_DMSO_rep-2,K562_AID-BRD4_clone-2_DMSO_rep-2,K562_AID-BRD4_clone-2_DMSO_rep-2,"DMSO (1:5000), 90 min",K562,AID-BRD4 / SFFV-OsTir1-T2A-BlastR,GSM2691856
SRR5806770,50813541,5081354100,100,1670,SRX2985754,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP111133,PRJNA393189,29622725,"",SRS2338328,SAMN07322736,simple,9606,Homo sapiens,GSM2691857,GEO,SRA584228,04,2018,Muhar,K562_AID-BRD4_clone-2_DMSO_rep-3,K562_AID-BRD4_clone-2_DMSO_rep-3,K562_AID-BRD4_clone-2_DMSO_rep-3,"DMSO (1:5000), 90 min",K562,AID-BRD4 / SFFV-OsTir1-T2A-BlastR,GSM2691857
