Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,strain,GEO Accession
SRR5865792,63161402,3094908698,49,1588,SRX3033787,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP113540,PRJNA395723,29107534,"",SRS2382513,SAMN07414067,simple,10090,Mus musculus,GSM2717358,GEO,SRA591747,07,2017,Coots,mammalian cells,Ribo_seq_Scram_rep1,mammalian cells,mouse embryonic fibroblast,C57BL/6J,GSM2717358
SRR5865793,40933422,2087604522,51,987,SRX3033789,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP113540,PRJNA395723,29107534,"",SRS2382514,SAMN07414066,simple,10090,Mus musculus,GSM2717359,GEO,SRA591747,07,2017,Coots,mammalian cells,Ribo_seq_Scram_rep2,mammalian cells,mouse embryonic fibroblast,C57BL/6J,GSM2717359
SRR5865794,53234814,2608505886,49,1335,SRX3033790,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP113540,PRJNA395723,29107534,"",SRS2382515,SAMN07414068,simple,10090,Mus musculus,GSM2717360,GEO,SRA591747,07,2017,Coots,mammalian cells,Ribo_seq_shMETTL3_rep1,mammalian cells,mouse embryonic fibroblast,C57BL/6J,GSM2717360
SRR5865795,42247545,2154624795,51,1021,SRX3033791,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP113540,PRJNA395723,29107534,"",SRS2382516,SAMN07414061,simple,10090,Mus musculus,GSM2717361,GEO,SRA591747,07,2017,Coots,mammalian cells,Ribo_seq_shMETTL3_rep2,mammalian cells,mouse embryonic fibroblast,C57BL/6J,GSM2717361
SRR5865796,66301023,3248750127,49,1756,SRX3033792,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP113540,PRJNA395723,29107534,"",SRS2382517,SAMN07414060,simple,10090,Mus musculus,GSM2717362,GEO,SRA591747,07,2017,Coots,mammalian cells,Ribo_seq_shABCF1_rep1,mammalian cells,mouse embryonic fibroblast,C57BL/6J,GSM2717362
SRR5865797,40077991,2043977541,51,977,SRX3033793,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP113540,PRJNA395723,29107534,"",SRS2382518,SAMN07414077,simple,10090,Mus musculus,GSM2717363,GEO,SRA591747,07,2017,Coots,mammalian cells,Ribo_seq_shABCF1_rep2,mammalian cells,mouse embryonic fibroblast,C57BL/6J,GSM2717363
SRR5865798,56736423,2893557573,51,1385,SRX3033794,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP113540,PRJNA395723,29107534,"",SRS2382519,SAMN07414076,simple,10090,Mus musculus,GSM2717364,GEO,SRA591747,07,2017,Coots,mammalian cells,Ribo_seq_Torin,mammalian cells,mouse embryonic fibroblast,C57BL/6J,GSM2717364
SRR5865799,58154117,2849551733,49,1608,SRX3033795,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP113540,PRJNA395723,29107534,"",SRS2382521,SAMN07414075,simple,10090,Mus musculus,GSM2717365,GEO,SRA591747,07,2017,Coots,mammalian cells,RNA_seq_Scram_rep1,mammalian cells,mouse embryonic fibroblast,C57BL/6J,GSM2717365
SRR5865800,76322711,3892458261,51,1692,SRX3033796,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP113540,PRJNA395723,29107534,"",SRS2382522,SAMN07414074,simple,10090,Mus musculus,GSM2717366,GEO,SRA591747,07,2017,Coots,mammalian cells,RNA_seq_Scram_rep2,mammalian cells,mouse embryonic fibroblast,C57BL/6J,GSM2717366
SRR5865801,49130057,2407372793,49,1353,SRX3033797,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP113540,PRJNA395723,29107534,"",SRS2382520,SAMN07414069,simple,10090,Mus musculus,GSM2717367,GEO,SRA591747,07,2017,Coots,mammalian cells,RNA_seq_shMETTL3_rep1,mammalian cells,mouse embryonic fibroblast,C57BL/6J,GSM2717367
