Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,infected with,GEO Accession
SRR5912164,19116213,936694437,49,603,SRX3073164,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP115045,PRJNA397587,1,"",SRS2415474,SAMN07462279,simple,10090,Mus musculus,GSM2735636,GEO,SRA597608,08,2020,Makar,uninfected cells,RP Mock Rep. 1,uninfected cells,NIH-3T3,nothing (mock),GSM2735636
SRR5912165,12086068,592217332,49,401,SRX3073164,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP115045,PRJNA397587,1,"",SRS2415474,SAMN07462279,simple,10090,Mus musculus,GSM2735636,GEO,SRA597608,08,2020,Makar,uninfected cells,RP Mock Rep. 1,uninfected cells,NIH-3T3,nothing (mock),GSM2735637
SRR5912166,28340106,1388665194,49,1017,SRX3073165,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP115045,PRJNA397587,1,"",SRS2415473,SAMN07462278,simple,10090,Mus musculus,GSM2735637,GEO,SRA597608,08,2020,Makar,uninfected cells,RP Mock Rep. 2,MCMV infected cells 48hpi,NIH-3T3,wildtype MCMV,GSM2735638
SRR5912167,26217805,1284672445,49,871,SRX3073165,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP115045,PRJNA397587,1,"",SRS2415473,SAMN07462278,simple,10090,Mus musculus,GSM2735637,GEO,SRA597608,08,2020,Makar,uninfected cells,RP Mock Rep. 2,MCMV infected cells 48hpi,NIH-3T3,wildtype MCMV,GSM2735639
SRR5912168,25815490,1264959010,49,854,SRX3073165,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP115045,PRJNA397587,1,"",SRS2415473,SAMN07462278,simple,10090,Mus musculus,GSM2735637,GEO,SRA597608,08,2020,Makar,uninfected cells,RP Mock Rep. 2,uninfected cells,NIH-3T3,nothing (mock),GSM2735636
SRR5912169,17947625,879433625,49,577,SRX3073166,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP115045,PRJNA397587,1,"",SRS2415472,SAMN07462277,simple,10090,Mus musculus,GSM2735638,GEO,SRA597608,08,2020,Makar,MCMV infected cells 48hpi,RP 48hpi Rep. 1,uninfected cells,NIH-3T3,nothing (mock),GSM2735637
SRR5912170,12702508,622422892,49,429,SRX3073166,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP115045,PRJNA397587,1,"",SRS2415472,SAMN07462277,simple,10090,Mus musculus,GSM2735638,GEO,SRA597608,08,2020,Makar,MCMV infected cells 48hpi,RP 48hpi Rep. 1,MCMV infected cells 48hpi,NIH-3T3,wildtype MCMV,GSM2735638
SRR5912171,28616111,1402189439,49,1026,SRX3073167,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP115045,PRJNA397587,1,"",SRS2415471,SAMN07462276,simple,10090,Mus musculus,GSM2735639,GEO,SRA597608,08,2020,Makar,MCMV infected cells 48hpi,RP 48hpi Rep. 2,MCMV infected cells 48hpi,NIH-3T3,wildtype MCMV,GSM2735639
SRR5912172,24103020,1181047980,49,799,SRX3073167,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP115045,PRJNA397587,1,"",SRS2415471,SAMN07462276,simple,10090,Mus musculus,GSM2735639,GEO,SRA597608,08,2020,Makar,MCMV infected cells 48hpi,RP 48hpi Rep. 2,uninfected cells,NIH-3T3,nothing (mock),GSM2735636
SRR5912173,23748049,1163654401,49,784,SRX3073167,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP115045,PRJNA397587,1,"",SRS2415471,SAMN07462276,simple,10090,Mus musculus,GSM2735639,GEO,SRA597608,08,2020,Makar,MCMV infected cells 48hpi,RP 48hpi Rep. 2,uninfected cells,NIH-3T3,nothing (mock),GSM2735637
