Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,molecule,strain,stress,chip antibody,genotype/variation,tissue,GEO Accession
SRR5933662,41149263,2016313887,49,906,SRX3093802,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP115436,PRJNA398285,29429926,"",SRS2431133,SAMN07507525,simple,10090,Mus musculus,GSM2742544,GEO,SRA599211,08,2017,Zhou,mammalian cells,m6A_seq_normal_condition,mammalian cells,mouse embryonic fibroblast,m6A-modified RNA,C57BL/6J,normal,Anti-N6-methyladenosine (m6A) Antibody,,,GSM2742544
SRR5933663,183120448,8972901952,49,3951,SRX3093803,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP115436,PRJNA398285,29429926,"",SRS2431132,SAMN07507524,simple,10090,Mus musculus,GSM2742545,GEO,SRA599211,08,2017,Zhou,mammalian cells,m6A_seq_AA_starvation,mammalian cells,mouse embryonic fibroblast,m6A-modified RNA,C57BL/6J,starvation,Anti-N6-methyladenosine (m6A) Antibody,,,GSM2742545
SRR5933664,22080621,1081950429,49,448,SRX3093804,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP115436,PRJNA398285,29429926,"",SRS2431134,SAMN07507523,simple,10090,Mus musculus,GSM2742546,GEO,SRA599211,08,2017,Zhou,mammalian cells,RNA_seq_normal_condition,mammalian cells,mouse embryonic fibroblast,total RNA,C57BL/6J,normal,,,,GSM2742546
SRR5933665,34380241,1684631809,49,660,SRX3093805,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP115436,PRJNA398285,29429926,"",SRS2431135,SAMN07507522,simple,10090,Mus musculus,GSM2742547,GEO,SRA599211,08,2017,Zhou,mammalian cells,RNA_seq_AA_starvation,mammalian cells,mouse embryonic fibroblast,total RNA,C57BL/6J,starvation,,,,GSM2742547
SRR5933666,42845149,2099412301,49,923,SRX3093806,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP115436,PRJNA398285,29429926,"",SRS2431136,SAMN07507521,simple,10090,Mus musculus,GSM2742548,GEO,SRA599211,08,2017,Zhou,mammalian cells,m6A_seq_shScram_AA_suff,mammalian cells,mouse embryonic fibroblast,m6A-modified RNA,C57BL/6J,,Anti-N6-methyladenosine (m6A) Antibody,shScramble,,GSM2742548
SRR5933667,63687440,3120684560,49,1325,SRX3093807,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP115436,PRJNA398285,29429926,"",SRS2431137,SAMN07507520,simple,10090,Mus musculus,GSM2742549,GEO,SRA599211,08,2017,Zhou,mammalian cells,m6A_seq_shScram_AA_starvation,mammalian cells,mouse embryonic fibroblast,m6A-modified RNA,C57BL/6J,starvation,Anti-N6-methyladenosine (m6A) Antibody,shScramble,,GSM2742549
SRR5933668,38719182,1897239918,49,828,SRX3093808,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP115436,PRJNA398285,29429926,"",SRS2431139,SAMN07507519,simple,10090,Mus musculus,GSM2742550,GEO,SRA599211,08,2017,Zhou,mammalian cells,m6A_seq_shALKBH5_AA_suff,mammalian cells,mouse embryonic fibroblast,m6A-modified RNA,C57BL/6J,,Anti-N6-methyladenosine (m6A) Antibody,shALKBH5,,GSM2742550
SRR5933669,32311535,1583265215,49,700,SRX3093809,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP115436,PRJNA398285,29429926,"",SRS2431138,SAMN07507518,simple,10090,Mus musculus,GSM2742551,GEO,SRA599211,08,2017,Zhou,mammalian cells,m6A_seq_shALKBH5_AA_starvation,mammalian cells,mouse embryonic fibroblast,m6A-modified RNA,C57BL/6J,starvation,Anti-N6-methyladenosine (m6A) Antibody,shALKBH5,,GSM2742551
SRR5933670,67548409,3444968859,51,1337,SRX3093810,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP115436,PRJNA398285,29429926,"",SRS2431140,SAMN07507517,simple,10090,Mus musculus,GSM2742552,GEO,SRA599211,08,2017,Zhou,mammalian cells,Ribo_seq_shScram_AA_suff,mammalian cells,mouse embryonic fibroblast,Ribo-associated RNA,C57BL/6J,,,shScramble,,GSM2742552
SRR5933671,31428224,1602839424,51,633,SRX3093811,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP115436,PRJNA398285,29429926,"",SRS2431141,SAMN07507516,simple,10090,Mus musculus,GSM2742553,GEO,SRA599211,08,2017,Zhou,mammalian cells,Ribo_seq_shALKBH5_AA_suff,mammalian cells,mouse embryonic fibroblast,Ribo-associated RNA,C57BL/6J,,,shALKBH5,,GSM2742553
