Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,strain,isolate,host,isolation_source,collection_date,geo_loc_name,sample_type,collected_by,genotype,BioSampleModel
SRR5996803,232389689,11619484450,50,4789,SRX3152401,YPS128_RPF_rep1,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP116654,PRJNA400476,1,"",SRS2484277,SAMN07571678,simple,4932,Saccharomyces cerevisiae,YPS128,Laval University,SRA604657,02,2019,Makar,"","",YPS128,Missing,Missing,Missing,Missing,USA,Diploid strain,P. D. Sniegowski et al. 2002,not applicable,"Microbe, viral or environmental"
SRR5996802,133914492,6695724600,50,2940,SRX3152402,YPS128_RPF_rep2,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP116654,PRJNA400476,1,"",SRS2484277,SAMN07571678,simple,4932,Saccharomyces cerevisiae,YPS128,Laval University,SRA604657,02,2019,Makar,"","",YPS128,Missing,Missing,Missing,Missing,USA,Diploid strain,P. D. Sniegowski et al. 2002,not applicable,"Microbe, viral or environmental"
SRR5996801,202909291,10145464550,50,4243,SRX3152403,MSH-587-1_RPF_rep1,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP116654,PRJNA400476,1,"",SRS2484278,SAMN07571677,simple,27291,Saccharomyces paradoxus,MSH-587-1_HO,Laval University,SRA604657,02,2019,Makar,"","",MSH_587-1,Missing,Missing,Missing,Missing,Canada: Quebec,Diploid strain,J. B. Leducq et al. 2014,SpC,"Microbe, viral or environmental"
SRR5996800,140794709,7039735450,50,3109,SRX3152404,MSH-587-1_RPF_rep2,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP116654,PRJNA400476,1,"",SRS2484278,SAMN07571677,simple,27291,Saccharomyces paradoxus,MSH-587-1_HO,Laval University,SRA604657,02,2019,Makar,"","",MSH_587-1,Missing,Missing,Missing,Missing,Canada: Quebec,Diploid strain,J. B. Leducq et al. 2014,SpC,"Microbe, viral or environmental"
SRR5996799,180688189,9034409450,50,3419,SRX3152405,MSH-604_RPF_rep1,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP116654,PRJNA400476,1,"",SRS2484279,SAMN07571676,simple,27291,Saccharomyces paradoxus,MSH_604_HO,Laval University,SRA604657,02,2019,Makar,"","",MSH_604,Missing,Missing,Missing,Missing,Canada: Quebec,Diploid strain,J. B. Leducq et al. 2014,SpB,"Microbe, viral or environmental"
SRR5996798,156527954,7826397700,50,3363,SRX3152406,MSH-604_RPF_rep2,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP116654,PRJNA400476,1,"",SRS2484279,SAMN07571676,simple,27291,Saccharomyces paradoxus,MSH_604_HO,Laval University,SRA604657,02,2019,Makar,"","",MSH_604,Missing,Missing,Missing,Missing,Canada: Quebec,Diploid strain,J. B. Leducq et al. 2014,SpB,"Microbe, viral or environmental"
SRR5996797,248358225,12417911250,50,5161,SRX3152407,YPS744_RPF_rep1,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP116654,PRJNA400476,1,"",SRS2484280,SAMN07571675,simple,27291,Saccharomyces paradoxus,YPS744_HO,Laval University,SRA604657,02,2019,Makar,"","",YPS744,Missing,Missing,Missing,Missing,USA: New-York,Diploid strain,H. A. Kuehne et al. 2007,SpA,"Microbe, viral or environmental"
SRR5996796,156607069,7830353450,50,3331,SRX3152408,YPS744_RPF_rep2,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP116654,PRJNA400476,1,"",SRS2484280,SAMN07571675,simple,27291,Saccharomyces paradoxus,YPS744_HO,Laval University,SRA604657,02,2019,Makar,"","",YPS744,Missing,Missing,Missing,Missing,USA: New-York,Diploid strain,H. A. Kuehne et al. 2007,SpA,"Microbe, viral or environmental"
SRR6022785,125505530,6275276500,50,2871,SRX3173529,MSH-604_TOT_rep2,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP116654,PRJNA400476,1,"",SRS2484279,SAMN07571676,simple,27291,Saccharomyces paradoxus,MSH_604_HO,Laval University,SRA606696,02,2019,Makar,"","",MSH_604,Missing,Missing,Missing,Missing,Canada: Quebec,Diploid strain,J. B. Leducq et al. 2014,SpB,"Microbe, viral or environmental"
SRR6022784,93461634,4673081700,50,2142,SRX3173530,MSH-604_TOT_rep1,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP116654,PRJNA400476,1,"",SRS2484279,SAMN07571676,simple,27291,Saccharomyces paradoxus,MSH_604_HO,Laval University,SRA606696,02,2019,Makar,"","",MSH_604,Missing,Missing,Missing,Missing,Canada: Quebec,Diploid strain,J. B. Leducq et al. 2014,SpB,"Microbe, viral or environmental"
SRR6022783,101909840,5095492000,50,2333,SRX3173531,YPS744_TOT_rep2,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP116654,PRJNA400476,1,"",SRS2484280,SAMN07571675,simple,27291,Saccharomyces paradoxus,YPS744_HO,Laval University,SRA606696,02,2019,Makar,"","",YPS744,Missing,Missing,Missing,Missing,USA: New-York,Diploid strain,H. A. Kuehne et al. 2007,SpA,"Microbe, viral or environmental"
SRR6022782,103676814,5183840700,50,2374,SRX3173532,YPS744_TOT_rep1,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP116654,PRJNA400476,1,"",SRS2484280,SAMN07571675,simple,27291,Saccharomyces paradoxus,YPS744_HO,Laval University,SRA606696,02,2019,Makar,"","",YPS744,Missing,Missing,Missing,Missing,USA: New-York,Diploid strain,H. A. Kuehne et al. 2007,SpA,"Microbe, viral or environmental"
SRR6022781,165892050,8294602500,50,3804,SRX3173533,YPS128_TOT_rep2,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP116654,PRJNA400476,1,"",SRS2484277,SAMN07571678,simple,4932,Saccharomyces cerevisiae,YPS128,Laval University,SRA606696,02,2019,Makar,"","",YPS128,Missing,Missing,Missing,Missing,USA,Diploid strain,P. D. Sniegowski et al. 2002,not applicable,"Microbe, viral or environmental"
SRR6022780,87816774,4390838700,50,2012,SRX3173534,YPS128_TOT_rep1,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP116654,PRJNA400476,1,"",SRS2484277,SAMN07571678,simple,4932,Saccharomyces cerevisiae,YPS128,Laval University,SRA606696,02,2019,Makar,"","",YPS128,Missing,Missing,Missing,Missing,USA,Diploid strain,P. D. Sniegowski et al. 2002,not applicable,"Microbe, viral or environmental"
