Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,tissue,age,biological replicate,reperfusion time point,library type,GEO Accession
SRR6053474,8282319,410550950,49,243,SRX3200413,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP118295,PRJNA408093,1,"",SRS2527411,SAMN07674680,simple,10090,Mus musculus,GSM2788272,GEO,SRA610675,06,2019,Makar,anesthesized and sham surgery performed,"sham RPF, replicate 1",anesthesized and sham surgery performed,C57BL6,cortex,7-8 weeks,replicate 1,n/a,small RNAseq,GSM2788272
SRR6053475,5924856,293475474,49,156,SRX3200414,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP118295,PRJNA408093,1,"",SRS2527413,SAMN07674679,simple,10090,Mus musculus,GSM2788273,GEO,SRA610675,06,2019,Makar,anesthesized and sham surgery performed,"sham RPF, replicate 2",anesthesized and sham surgery performed,C57BL6,cortex,7-8 weeks,replicate 2,n/a,small RNAseq,GSM2788273
SRR6053476,5040198,250231621,49,147,SRX3200415,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP118295,PRJNA408093,1,"",SRS2527412,SAMN07674678,simple,10090,Mus musculus,GSM2788274,GEO,SRA610675,06,2019,Makar,anesthesized and sham surgery performed,"sham RPF, replicate 5",anesthesized and sham surgery performed,C57BL6,cortex,7-8 weeks,replicate 5,n/a,small RNAseq,GSM2788274
SRR6053477,5675996,281012462,49,155,SRX3200416,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP118295,PRJNA408093,1,"",SRS2527414,SAMN07674677,simple,10090,Mus musculus,GSM2788275,GEO,SRA610675,06,2019,Makar,anesthesized and MCAO surgery performed,"MCAO contralateral RPF, replicate 1",anesthesized and MCAO surgery performed,C57BL6,cortex - contralateral hemisphere,7-8 weeks,replicate 1,3hr,small RNAseq,GSM2788275
SRR6053478,6618749,328090885,49,183,SRX3200417,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP118295,PRJNA408093,1,"",SRS2527415,SAMN07674676,simple,10090,Mus musculus,GSM2788276,GEO,SRA610675,06,2019,Makar,anesthesized and MCAO surgery performed,"MCAO contralateral RPF, replicate 4",anesthesized and MCAO surgery performed,C57BL6,cortex - contralateral hemisphere,7-8 weeks,replicate 4,3hr,small RNAseq,GSM2788276
SRR6053479,3899688,193582564,49,114,SRX3200418,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP118295,PRJNA408093,1,"",SRS2527418,SAMN07674687,simple,10090,Mus musculus,GSM2788277,GEO,SRA610675,06,2019,Makar,anesthesized and MCAO surgery performed,"MCAO contralateral RPF, replicate 5",anesthesized and MCAO surgery performed,C57BL6,cortex - contralateral hemisphere,7-8 weeks,replicate 5,3hr,small RNAseq,GSM2788277
SRR6053480,6899202,341576676,49,190,SRX3200419,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP118295,PRJNA408093,1,"",SRS2527417,SAMN07674688,simple,10090,Mus musculus,GSM2788278,GEO,SRA610675,06,2019,Makar,anesthesized and MCAO surgery performed,"MCAO contralateral RPF, replicate 6",anesthesized and MCAO surgery performed,C57BL6,cortex - contralateral hemisphere,7-8 weeks,replicate 6,3hr,small RNAseq,GSM2788278
SRR6053481,3216002,159453170,49,84,SRX3200420,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP118295,PRJNA408093,1,"",SRS2527416,SAMN07674672,simple,10090,Mus musculus,GSM2788279,GEO,SRA610675,06,2019,Makar,anesthesized and MCAO surgery performed,"MCAO ipsilateral RPF, replicate 2",anesthesized and MCAO surgery performed,C57BL6,cortex - contralateral hemisphere,7-8 weeks,replicate 2,3hr,small RNAseq,GSM2788279
SRR6053482,2404665,119307460,49,66,SRX3200421,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP118295,PRJNA408093,1,"",SRS2527419,SAMN07674673,simple,10090,Mus musculus,GSM2788280,GEO,SRA610675,06,2019,Makar,anesthesized and MCAO surgery performed,"MCAO ipsilateral RPF, replicate 4",anesthesized and MCAO surgery performed,C57BL6,cortex - contralateral hemisphere,7-8 weeks,replicate 4,3hr,small RNAseq,GSM2788280
SRR6053483,2772996,137670080,49,82,SRX3200422,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP118295,PRJNA408093,1,"",SRS2527420,SAMN07674674,simple,10090,Mus musculus,GSM2788281,GEO,SRA610675,06,2019,Makar,anesthesized and MCAO surgery performed,"MCAO ipsilateral RPF, replicate 5",anesthesized and MCAO surgery performed,C57BL6,cortex - contralateral hemisphere,7-8 weeks,replicate 5,3hr,small RNAseq,GSM2788281
