Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,age,strain,GEO Accession
SRR6125803,39874137,6060868824,76,2419,SRX3238456,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP119264,PRJNA412874,30117416,"",SRS2562177,SAMN07731237,simple,4932,Saccharomyces cerevisiae,GSM2802568,GEO,SRA616389,08,2018,Hu,yeast,old15h_rep1_RNA-seq,yeast,15h,ZYH2,GSM2802568
SRR6125804,38108465,4590574496,76,1869,SRX3238457,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP119264,PRJNA412874,30117416,"",SRS2562178,SAMN07731236,simple,4932,Saccharomyces cerevisiae,GSM2802569,GEO,SRA616389,08,2018,Hu,yeast,old15h_rep2_RNA-seq,yeast,15h,ZYH2,GSM2802569
SRR6125805,44412317,6458266820,76,2577,SRX3238458,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP119264,PRJNA412874,30117416,"",SRS2562179,SAMN07731235,simple,4932,Saccharomyces cerevisiae,GSM2802570,GEO,SRA616389,08,2018,Hu,yeast,old15h_rep3_RNA-seq,yeast,15h,ZYH2,GSM2802570
SRR6125806,34803655,5290155560,76,2113,SRX3238459,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP119264,PRJNA412874,30117416,"",SRS2562181,SAMN07731234,simple,4932,Saccharomyces cerevisiae,GSM2802571,GEO,SRA616389,08,2018,Hu,yeast,old30h_rep1_RNA-seq,yeast,30h,ZYH2,GSM2802571
SRR6125807,42678178,6487083056,76,2584,SRX3238460,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP119264,PRJNA412874,30117416,"",SRS2562180,SAMN07731233,simple,4932,Saccharomyces cerevisiae,GSM2802572,GEO,SRA616389,08,2018,Hu,yeast,old30h_rep2_RNA-seq,yeast,30h,ZYH2,GSM2802572
SRR6125808,40506742,6157024784,76,2483,SRX3238461,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP119264,PRJNA412874,30117416,"",SRS2562182,SAMN07731232,simple,4932,Saccharomyces cerevisiae,GSM2802573,GEO,SRA616389,08,2018,Hu,yeast,old30h_rep3_RNA-seq,yeast,30h,ZYH2,GSM2802573
SRR6125809,34240556,5204564512,76,2256,SRX3238462,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP119264,PRJNA412874,30117416,"",SRS2562184,SAMN07731231,simple,4932,Saccharomyces cerevisiae,GSM2802574,GEO,SRA616389,08,2018,Hu,yeast,young_rep1_RNA-seq,yeast,0h,ZYH2,GSM2802574
SRR6125810,36940581,5614968312,76,2232,SRX3238463,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP119264,PRJNA412874,30117416,"",SRS2562183,SAMN07731230,simple,4932,Saccharomyces cerevisiae,GSM2802575,GEO,SRA616389,08,2018,Hu,yeast,young_rep2_RNA-seq,yeast,0h,ZYH2,GSM2802575
SRR6125811,39931336,6069563072,76,2423,SRX3238464,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP119264,PRJNA412874,30117416,"",SRS2562185,SAMN07731229,simple,4932,Saccharomyces cerevisiae,GSM2802576,GEO,SRA616389,08,2018,Hu,yeast,young_rep3_RNA-seq,yeast,0h,ZYH2,GSM2802576
SRR6125812,45170142,1671295254,37,1251,SRX3238465,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP119264,PRJNA412874,30117416,"",SRS2562186,SAMN07731228,simple,4932,Saccharomyces cerevisiae,GSM2802577,GEO,SRA616389,08,2018,Hu,yeast,old15h_rep1_Ribo-seq,yeast,15h,ZYH2,GSM2802577
