Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,fraction,GEO Accession
SRR6202813,19327594,548577682,28,288,SRX3312735,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP120964,PRJNA415390,31601799,"",SRS2618692,SAMN07822287,simple,9606,Homo sapiens,GSM2828165,GEO,SRA622650,08,2019,Kuppers,Ribosome protected RNA library from NTC sgRNA HEL cells,NTCribo_1,Ribosome protected RNA library from NTC sgRNA HEL cells,HEL cells,RPF RNA,GSM2828165
SRR6202814,16824093,478142205,28,252,SRX3312736,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP120964,PRJNA415390,31601799,"",SRS2618691,SAMN07822286,simple,9606,Homo sapiens,GSM2828166,GEO,SRA622650,08,2019,Kuppers,Ribosome protected RNA library from NTC sgRNA HEL cells,NTCribo_2,Ribosome protected RNA library from NTC sgRNA HEL cells,HEL cells,RPF RNA,GSM2828166
SRR6202815,14413701,423510522,29,222,SRX3312737,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP120964,PRJNA415390,31601799,"",SRS2618693,SAMN07822288,simple,9606,Homo sapiens,GSM2828167,GEO,SRA622650,08,2019,Kuppers,Ribosome protected RNA library from NTC sgRNA HEL cells,NTCribo_3,Ribosome protected RNA library from NTC sgRNA HEL cells,HEL cells,RPF RNA,GSM2828167
SRR6202816,23405972,934792305,39,459,SRX3312738,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP120964,PRJNA415390,31601799,"",SRS2618695,SAMN07822277,simple,9606,Homo sapiens,GSM2828168,GEO,SRA622650,08,2019,Kuppers,Total RNA library from NTC sgRNA HEL cells,NTCtot_1,Total RNA library from NTC sgRNA HEL cells,HEL cells,total RNA,GSM2828168
SRR6202817,71688278,2609179822,36,1356,SRX3312739,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP120964,PRJNA415390,31601799,"",SRS2618696,SAMN07822278,simple,9606,Homo sapiens,GSM2828169,GEO,SRA622650,08,2019,Kuppers,Total RNA library from NTC sgRNA HEL cells,NTCtot_2,Total RNA library from NTC sgRNA HEL cells,HEL cells,total RNA,GSM2828169
SRR6202818,32183894,1167963207,36,606,SRX3312740,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP120964,PRJNA415390,31601799,"",SRS2618694,SAMN07822285,simple,9606,Homo sapiens,GSM2828170,GEO,SRA622650,08,2019,Kuppers,Total RNA library from NTC sgRNA HEL cells,NTCtot_3,Total RNA library from NTC sgRNA HEL cells,HEL cells,total RNA,GSM2828170
SRR6202819,25421605,712492804,28,373,SRX3312741,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP120964,PRJNA415390,31601799,"",SRS2618697,SAMN07822281,simple,9606,Homo sapiens,GSM2828171,GEO,SRA622650,08,2019,Kuppers,Ribosome protected RNA library from WTAP sgRNA HEL cells,WTAPribo_1,Ribosome protected RNA library from WTAP sgRNA HEL cells,HEL cells,RPF RNA,GSM2828171
SRR6202820,21311324,598772218,28,315,SRX3312742,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP120964,PRJNA415390,31601799,"",SRS2618698,SAMN07822279,simple,9606,Homo sapiens,GSM2828172,GEO,SRA622650,08,2019,Kuppers,Ribosome protected RNA library from WTAP sgRNA HEL cells,WTAPribo_2,Ribosome protected RNA library from WTAP sgRNA HEL cells,HEL cells,RPF RNA,GSM2828172
SRR6202821,15986081,449332854,28,236,SRX3312743,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP120964,PRJNA415390,31601799,"",SRS2618699,SAMN07822280,simple,9606,Homo sapiens,GSM2828173,GEO,SRA622650,08,2019,Kuppers,Ribosome protected RNA library from WTAP sgRNA HEL cells,WTAPribo_3,Ribosome protected RNA library from WTAP sgRNA HEL cells,HEL cells,RPF RNA,GSM2828173
SRR6202822,31593688,1134604069,35,590,SRX3312744,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP120964,PRJNA415390,31601799,"",SRS2618700,SAMN07822284,simple,9606,Homo sapiens,GSM2828174,GEO,SRA622650,08,2019,Kuppers,Total RNA library from WTAP sgRNA HEL cells,WTAPtot_1,Total RNA library from WTAP sgRNA HEL cells,HEL cells,total RNA,GSM2828174
SRR6202823,40820278,1500227813,36,777,SRX3312745,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP120964,PRJNA415390,31601799,"",SRS2618701,SAMN07822283,simple,9606,Homo sapiens,GSM2828175,GEO,SRA622650,08,2019,Kuppers,Total RNA library from WTAP sgRNA HEL cells,WTAPtot_2,Total RNA library from WTAP sgRNA HEL cells,HEL cells,total RNA,GSM2828175
