Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,strain,antibody,molecule type,lentiviral transfuction,GEO Accession
SRR6240169,24910941,1071170463,43,831,SRX3347542,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP123232,PRJNA416661,30349096,"",SRS2647414,SAMN07960439,simple,10090,Mus musculus,GSM2836995,GEO,SRA626829,11,2017,Nakaya,Neurons,mmu_FUS_CLIP_hFUSR495X_1,Neurons,ES cell derived neurons,E14Tg2A.4,"anti-FLAG antibody (CellSignaling, #2368)",FUSR495X bound RNA,,GSM2836995
SRR6240170,33155198,1425673514,43,1108,SRX3347543,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP123232,PRJNA416661,30349096,"",SRS2647415,SAMN07960438,simple,10090,Mus musculus,GSM2836996,GEO,SRA626829,11,2017,Nakaya,Neurons,mmu_FUS_CLIP_hFUSWT_1,Neurons,ES cell derived neurons,E14Tg2A.4,"anti-FLAG antibody (CellSignaling, #2368)",FUSWT bound RNA,,GSM2836996
SRR6240171,28446082,1223181526,43,760,SRX3347544,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP123232,PRJNA416661,30349096,"",SRS2647416,SAMN07960437,simple,10090,Mus musculus,GSM2836997,GEO,SRA626829,11,2017,Nakaya,Neurons,mmu_FUS_RiboProf_CTRL_1,Neurons,ES cell derived neurons,E14Tg2A.4,,ribosome protected RNA fragment,wild type FUS,GSM2836997
SRR6240172,27861409,1225901996,44,754,SRX3347545,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP123232,PRJNA416661,30349096,"",SRS2647417,SAMN07960436,simple,10090,Mus musculus,GSM2836998,GEO,SRA626829,11,2017,Nakaya,Neurons,mmu_FUS_RiboProf_hFUSR495X_1,Neurons,ES cell derived neurons,E14Tg2A.4,,ribosome protected RNA fragment,FLAG-tagged human R495X,GSM2836998
SRR6240173,29195323,1255398889,43,763,SRX3347546,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP123232,PRJNA416661,30349096,"",SRS2647418,SAMN07960435,simple,10090,Mus musculus,GSM2836999,GEO,SRA626829,11,2017,Nakaya,Neurons,mmu_FUS_RiboProf_hFUSWT_1,Neurons,ES cell derived neurons,E14Tg2A.4,,ribosome protected RNA fragment,FLAG-tagged human R495X,GSM2836999
SRR6240174,21980096,4439979392,101,2002,SRX3347547,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP123232,PRJNA416661,30349096,"",SRS2647419,SAMN07960434,simple,10090,Mus musculus,GSM2837000,GEO,SRA626829,11,2017,Nakaya,Neurons,mmu_FUS_RNASeq_Ctrl_1,Neurons,ES cell derived neurons,E14Tg2A.4,,total RNA,wild type FUS,GSM2837000
SRR6240175,21729098,4389277796,101,1953,SRX3347548,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP123232,PRJNA416661,30349096,"",SRS2647420,SAMN07960433,simple,10090,Mus musculus,GSM2837001,GEO,SRA626829,11,2017,Nakaya,Neurons,mmu_FUS_RNASeq_Ctrl_2,Neurons,ES cell derived neurons,E14Tg2A.4,,total RNA,wild type FUS,GSM2837001
SRR6240176,22919654,4629770108,101,2063,SRX3347549,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP123232,PRJNA416661,30349096,"",SRS2647421,SAMN07960432,simple,10090,Mus musculus,GSM2837002,GEO,SRA626829,11,2017,Nakaya,Neurons,mmu_FUS_RNASeq_hFUSR495X_2,Neurons,ES cell derived neurons,E14Tg2A.4,,total RNA,FLAG-tagged human R495X,GSM2837002
SRR6240177,22683357,4582038114,101,2011,SRX3347550,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP123232,PRJNA416661,30349096,"",SRS2647422,SAMN07960431,simple,10090,Mus musculus,GSM2837003,GEO,SRA626829,11,2017,Nakaya,Neurons,mmu_FUS_RNASeq_hFUSR495X_3,Neurons,ES cell derived neurons,E14Tg2A.4,,total RNA,FLAG-tagged human R495X,GSM2837003
SRR6240178,21482406,4339446012,101,1948,SRX3347551,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP123232,PRJNA416661,30349096,"",SRS2647423,SAMN07960430,simple,10090,Mus musculus,GSM2837004,GEO,SRA626829,11,2017,Nakaya,Neurons,mmu_FUS_RNASeq_hFUSWT_2,Neurons,ES cell derived neurons,E14Tg2A.4,,total RNA,FLAG-tagged human R495X,GSM2837004
