Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,rpl10 form,clone,GEO Accession
SRR6255560,41779468,2506768080,60,753,SRX3362051,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP123624,PRJNA417116,31186416,"",SRS2660733,SAMN07977216,simple,10090,Mus musculus,GSM2840012,GEO,SRA628382,04,2019,Kampen,isogenic Ba/F3_R98S mutant form of human RPL10_RiboSeq,R98S11_RiboSeq,isogenic Ba/F3_R98S mutant form of human RPL10_RiboSeq,mouse lymphoid Ba/F3 cells,isogenic Ba/F3 cells engineered to express the R98S mutant form of human RPL10,RPL10 R98S clone #11,GSM2840012
SRR6255561,33774909,1722520359,51,566,SRX3362051,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP123624,PRJNA417116,31186416,"",SRS2660733,SAMN07977216,simple,10090,Mus musculus,GSM2840012,GEO,SRA628382,04,2019,Kampen,isogenic Ba/F3_R98S mutant form of human RPL10_RiboSeq,R98S11_RiboSeq,isogenic Ba/F3_R98S mutant form of human RPL10_RiboSeq,mouse lymphoid Ba/F3 cells,isogenic Ba/F3 cells engineered to express the R98S mutant form of human RPL10,RPL10 R98S clone #13,GSM2840013
SRR6255562,98862335,5041979085,51,2254,SRX3362051,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP123624,PRJNA417116,31186416,"",SRS2660733,SAMN07977216,simple,10090,Mus musculus,GSM2840012,GEO,SRA628382,04,2019,Kampen,isogenic Ba/F3_R98S mutant form of human RPL10_RiboSeq,R98S11_RiboSeq,isogenic Ba/F3_R98S mutant form of human RPL10_RiboSeq,mouse lymphoid Ba/F3 cells,isogenic Ba/F3 cells engineered to express the R98S mutant form of human RPL10,RPL10 R98S clone #35,GSM2840014
SRR6255563,39160588,2349635280,60,696,SRX3362052,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP123624,PRJNA417116,31186416,"",SRS2660734,SAMN07977215,simple,10090,Mus musculus,GSM2840013,GEO,SRA628382,04,2019,Kampen,isogenic Ba/F3_R98S mutant form of human RPL10_RiboSeq,R98S13_RiboSeq,isogenic Ba/F3_WT form of human RPL10_RiboSeq,mouse lymphoid Ba/F3 cells,isogenic Ba/F3 cells engineered to express the WT form of human RPL10,RPL10 WT clone #28,GSM2840015
SRR6255564,33926943,1730274093,51,560,SRX3362052,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP123624,PRJNA417116,31186416,"",SRS2660734,SAMN07977215,simple,10090,Mus musculus,GSM2840013,GEO,SRA628382,04,2019,Kampen,isogenic Ba/F3_R98S mutant form of human RPL10_RiboSeq,R98S13_RiboSeq,isogenic Ba/F3_WT form of human RPL10_RiboSeq,mouse lymphoid Ba/F3 cells,isogenic Ba/F3 cells engineered to express the WT form of human RPL10,RPL10 WT clone #29,GSM2840016
SRR6255565,99691197,5084251047,51,2240,SRX3362052,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP123624,PRJNA417116,31186416,"",SRS2660734,SAMN07977215,simple,10090,Mus musculus,GSM2840013,GEO,SRA628382,04,2019,Kampen,isogenic Ba/F3_R98S mutant form of human RPL10_RiboSeq,R98S13_RiboSeq,isogenic Ba/F3_WT form of human RPL10_RiboSeq,mouse lymphoid Ba/F3 cells,isogenic Ba/F3 cells engineered to express the WT form of human RPL10,RPL10 WT clone #36,GSM2840017
SRR6255566,36704618,2202277080,60,654,SRX3362053,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP123624,PRJNA417116,31186416,"",SRS2660735,SAMN07977210,simple,10090,Mus musculus,GSM2840014,GEO,SRA628382,04,2019,Kampen,isogenic Ba/F3_R98S mutant form of human RPL10_RiboSeq,R98S35_RiboSeq,isogenic Ba/F3_R98S mutant form of human RPL10_RNAseq,mouse lymphoid Ba/F3 cells,isogenic Ba/F3 cells engineered to express the R98S mutant form of human RPL10,RPL10 R98S clone #11,GSM2840018
SRR6255567,37596260,1917409260,51,626,SRX3362053,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP123624,PRJNA417116,31186416,"",SRS2660735,SAMN07977210,simple,10090,Mus musculus,GSM2840014,GEO,SRA628382,04,2019,Kampen,isogenic Ba/F3_R98S mutant form of human RPL10_RiboSeq,R98S35_RiboSeq,isogenic Ba/F3_R98S mutant form of human RPL10_RNAseq,mouse lymphoid Ba/F3 cells,isogenic Ba/F3 cells engineered to express the R98S mutant form of human RPL10,RPL10 R98S clone #13,GSM2840019
SRR6255568,110537980,5637436980,51,2514,SRX3362053,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP123624,PRJNA417116,31186416,"",SRS2660735,SAMN07977210,simple,10090,Mus musculus,GSM2840014,GEO,SRA628382,04,2019,Kampen,isogenic Ba/F3_R98S mutant form of human RPL10_RiboSeq,R98S35_RiboSeq,isogenic Ba/F3_R98S mutant form of human RPL10_RNAseq,mouse lymphoid Ba/F3 cells,isogenic Ba/F3 cells engineered to express the R98S mutant form of human RPL10,RPL10 R98S clone #35,GSM2840020
SRR6255569,36387616,2183256960,60,653,SRX3362054,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP123624,PRJNA417116,31186416,"",SRS2660738,SAMN07977209,simple,10090,Mus musculus,GSM2840015,GEO,SRA628382,04,2019,Kampen,isogenic Ba/F3_WT form of human RPL10_RiboSeq,WT28_RiboSeq,isogenic Ba/F3_WT form of human RPL10_RNAseq,mouse lymphoid Ba/F3 cells,isogenic Ba/F3 cells engineered to express the WT form of human RPL10,RPL10 WT clone #28,GSM2840021
