Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,genotype/variation,replicate,molecule subtype,GEO Accession
SRR6255529,38734363,2920522343,75,1019,SRX3362020,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP123623,PRJNA417117,31186416,"",SRS2660704,SAMN07977177,simple,10090,Mus musculus,GSM2839981,GEO,SRA628381,04,2019,Kampen,isogenic Ba/F3_R98S mutant form of human RPL10_polyRNAseq,1.R98S11_PolyRNASeq,isogenic Ba/F3_R98S mutant form of human RPL10_polyRNAseq,mouse lymphoid Ba/F3 cells,isogenic Ba/F3 cells engineered to express the R98S mutant form of human RPL10,"Replicate 1, RPL10 R98S clone #11",polysome associated mRNA,GSM2839981
SRR6255530,46928015,3542093943,75,1227,SRX3362021,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP123623,PRJNA417117,31186416,"",SRS2660707,SAMN07977176,simple,10090,Mus musculus,GSM2839982,GEO,SRA628381,04,2019,Kampen,isogenic Ba/F3_R98S mutant form of human RPL10_polyRNAseq,1.R98S13_PolyRNASeq,isogenic Ba/F3_R98S mutant form of human RPL10_polyRNAseq,mouse lymphoid Ba/F3 cells,isogenic Ba/F3 cells engineered to express the R98S mutant form of human RPL10,"Replicate 1, RPL10 R98S clone #13",polysome associated mRNA,GSM2839982
SRR6255531,23389775,1746208322,74,606,SRX3362022,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP123623,PRJNA417117,31186416,"",SRS2660705,SAMN07977175,simple,10090,Mus musculus,GSM2839983,GEO,SRA628381,04,2019,Kampen,isogenic Ba/F3_R98S mutant form of human RPL10_polyRNAseq,1.R98S35_PolyRNASeq,isogenic Ba/F3_R98S mutant form of human RPL10_polyRNAseq,mouse lymphoid Ba/F3 cells,isogenic Ba/F3 cells engineered to express the R98S mutant form of human RPL10,"Replicate 1, RPL10 R98S clone #35",polysome associated mRNA,GSM2839983
SRR6255532,36298386,2734379035,75,961,SRX3362023,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP123623,PRJNA417117,31186416,"",SRS2660706,SAMN07977174,simple,10090,Mus musculus,GSM2839984,GEO,SRA628381,04,2019,Kampen,isogenic Ba/F3_WT form of human RPL10_polyRNAseq,1.WT29_PolyRNASeq,isogenic Ba/F3_WT form of human RPL10_polyRNAseq,mouse lymphoid Ba/F3 cells,isogenic Ba/F3 cells engineered to express the WT form of human RPL10,"Replicate 1, RPL10 WT clone #29",polysome associated mRNA,GSM2839984
SRR6255533,34928842,2621742800,75,903,SRX3362024,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP123623,PRJNA417117,31186416,"",SRS2660709,SAMN07977173,simple,10090,Mus musculus,GSM2839985,GEO,SRA628381,04,2019,Kampen,isogenic Ba/F3_R98S mutant form of human RPL10_polyRNAseq,2.R98S13_PolyRNASeq,isogenic Ba/F3_R98S mutant form of human RPL10_polyRNAseq,mouse lymphoid Ba/F3 cells,isogenic Ba/F3 cells engineered to express the R98S mutant form of human RPL10,"Replicate 2, RPL10 R98S clone #13",polysome associated mRNA,GSM2839985
SRR6255534,53377530,4029770870,75,1408,SRX3362025,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP123623,PRJNA417117,31186416,"",SRS2660708,SAMN07977185,simple,10090,Mus musculus,GSM2839986,GEO,SRA628381,04,2019,Kampen,isogenic Ba/F3_R98S mutant form of human RPL10_polyRNAseq,2.R98S35_PolyRNASeq,isogenic Ba/F3_R98S mutant form of human RPL10_polyRNAseq,mouse lymphoid Ba/F3 cells,isogenic Ba/F3 cells engineered to express the R98S mutant form of human RPL10,"Replicate 2, RPL10 R98S clone #35",polysome associated mRNA,GSM2839986
SRR6255535,44150537,3330527831,75,1149,SRX3362026,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP123623,PRJNA417117,31186416,"",SRS2660710,SAMN07977184,simple,10090,Mus musculus,GSM2839987,GEO,SRA628381,04,2019,Kampen,isogenic Ba/F3_WT form of human RPL10_polyRNAseq,2.WT28_PolyRNASeq,isogenic Ba/F3_WT form of human RPL10_polyRNAseq,mouse lymphoid Ba/F3 cells,isogenic Ba/F3 cells engineered to express the WT form of human RPL10,"Replicate 2, RPL10 WT clone #28",polysome associated mRNA,GSM2839987
SRR6255536,43895870,3310074486,75,1140,SRX3362027,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP123623,PRJNA417117,31186416,"",SRS2660712,SAMN07977198,simple,10090,Mus musculus,GSM2839988,GEO,SRA628381,04,2019,Kampen,isogenic Ba/F3_WT form of human RPL10_polyRNAseq,2.WT29_PolyRNASeq,isogenic Ba/F3_WT form of human RPL10_polyRNAseq,mouse lymphoid Ba/F3 cells,isogenic Ba/F3 cells engineered to express the WT form of human RPL10,"Replicate 2, RPL10 WT clone #29",polysome associated mRNA,GSM2839988
SRR6255537,38426352,2902418256,75,1003,SRX3362028,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP123623,PRJNA417117,31186416,"",SRS2660711,SAMN07977197,simple,10090,Mus musculus,GSM2839989,GEO,SRA628381,04,2019,Kampen,isogenic Ba/F3_R98S mutant form of human RPL10_polyRNAseq,3.R98S11_PolyRNASeq,isogenic Ba/F3_R98S mutant form of human RPL10_polyRNAseq,mouse lymphoid Ba/F3 cells,isogenic Ba/F3 cells engineered to express the R98S mutant form of human RPL10,"Replicate 3, RPL10 R98S clone #11",polysome associated mRNA,GSM2839989
SRR6255538,32862621,2480289283,75,859,SRX3362029,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP123623,PRJNA417117,31186416,"",SRS2660714,SAMN07977196,simple,10090,Mus musculus,GSM2839990,GEO,SRA628381,04,2019,Kampen,isogenic Ba/F3_R98S mutant form of human RPL10_polyRNAseq,3.R98S13_PolyRNASeq,isogenic Ba/F3_R98S mutant form of human RPL10_polyRNAseq,mouse lymphoid Ba/F3 cells,isogenic Ba/F3 cells engineered to express the R98S mutant form of human RPL10,"Replicate 3, RPL10 R98S clone #13",polysome associated mRNA,GSM2839990
