Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain background,cellular state,molecule subtype,GEO Accession
SRR6441591,20512123,1025606150,50,395,SRX3532852,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP128065,PRJNA428526,29474919,"",SRS2808286,SAMN08294581,simple,4932,Saccharomyces cerevisiae,GSM2913137,GEO,SRA644031,02,2018,Cheng,yeast cells,vegetative exponential fps,yeast cells,SK1,vegetative exponential OD600=0.6,ribosome footprints,GSM2913137
SRR6441592,1124476,56223800,50,21,SRX3532852,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP128065,PRJNA428526,29474919,"",SRS2808286,SAMN08294581,simple,4932,Saccharomyces cerevisiae,GSM2913137,GEO,SRA644031,02,2018,Cheng,yeast cells,vegetative exponential fps,yeast cells,SK1,meiotic cells in sporulation medium,ribosome footprints,GSM2913138
SRR6441593,1804354,92022054,51,38,SRX3532852,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP128065,PRJNA428526,29474919,"",SRS2808286,SAMN08294581,simple,4932,Saccharomyces cerevisiae,GSM2913137,GEO,SRA644031,02,2018,Cheng,yeast cells,vegetative exponential fps,yeast cells,SK1,meiotic cells in sporulation medium,ribosome footprints,GSM2913139
SRR6441594,1825842,93117942,51,39,SRX3532852,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP128065,PRJNA428526,29474919,"",SRS2808286,SAMN08294581,simple,4932,Saccharomyces cerevisiae,GSM2913137,GEO,SRA644031,02,2018,Cheng,yeast cells,vegetative exponential fps,yeast cells,SK1,meiotic cells in sporulation medium,ribosome footprints,GSM2913140
SRR6441595,12387336,631754136,51,302,SRX3532852,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP128065,PRJNA428526,29474919,"",SRS2808286,SAMN08294581,simple,4932,Saccharomyces cerevisiae,GSM2913137,GEO,SRA644031,02,2018,Cheng,yeast cells,vegetative exponential fps,yeast cells,SK1,meiotic cells in sporulation medium,ribosome footprints,GSM2913141
SRR6441596,12605123,642861273,51,308,SRX3532852,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP128065,PRJNA428526,29474919,"",SRS2808286,SAMN08294581,simple,4932,Saccharomyces cerevisiae,GSM2913137,GEO,SRA644031,02,2018,Cheng,yeast cells,vegetative exponential fps,yeast cells,SK1,meiotic cells in sporulation medium,ribosome footprints,GSM2913142
SRR6441597,16828365,858246615,51,355,SRX3532853,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP128065,PRJNA428526,29474919,"",SRS2808287,SAMN08294580,simple,4932,Saccharomyces cerevisiae,GSM2913138,GEO,SRA644031,02,2018,Cheng,yeast cells,0hr fps,yeast cells,SK1,meiotic cells in sporulation medium,ribosome footprints,GSM2913143
SRR6441598,17005621,867286671,51,361,SRX3532853,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP128065,PRJNA428526,29474919,"",SRS2808287,SAMN08294580,simple,4932,Saccharomyces cerevisiae,GSM2913138,GEO,SRA644031,02,2018,Cheng,yeast cells,0hr fps,yeast cells,SK1,meiotic cells in sporulation medium,ribosome footprints,GSM2913144
SRR6441599,926750,47264250,51,26,SRX3532853,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP128065,PRJNA428526,29474919,"",SRS2808287,SAMN08294580,simple,4932,Saccharomyces cerevisiae,GSM2913138,GEO,SRA644031,02,2018,Cheng,yeast cells,0hr fps,yeast cells,SK1,meiotic cells in sporulation medium,ribosome footprints,GSM2913145
SRR6441600,925769,47214219,51,27,SRX3532853,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP128065,PRJNA428526,29474919,"",SRS2808287,SAMN08294580,simple,4932,Saccharomyces cerevisiae,GSM2913138,GEO,SRA644031,02,2018,Cheng,yeast cells,0hr fps,yeast cells,SK1,non-meiotic cells in sporulation medium,ribosome footprints,GSM2913146
