Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,genotype,treatment,GEO Accession
SRR6496027,72525242,3191110648,44,1065,SRX3585291,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP131013,PRJNA430238,1,"",SRS2854128,SAMN08367758,simple,10090,Mus musculus,GSM2935901,GEO,SRA650332,01,2021,Makar,mouse embryonnic stem cells (mES),mES WT preHS_1,mouse embryonnic stem cells (mES),mouse embryonnic stem cells (mES) V6.5,wild type,No heat shock,GSM2935901
SRR6496028,41302818,1817323992,44,588,SRX3585292,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP131013,PRJNA430238,1,"",SRS2854133,SAMN08367757,simple,10090,Mus musculus,GSM2935902,GEO,SRA650332,01,2021,Makar,mouse embryonnic stem cells (mES),mES WT preHS_2,mouse embryonnic stem cells (mES),mouse embryonnic stem cells (mES) V6.5,wild type,No heat shock,GSM2935902
SRR6496029,36289907,1596755908,44,529,SRX3585293,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP131013,PRJNA430238,1,"",SRS2854134,SAMN08367756,simple,10090,Mus musculus,GSM2935903,GEO,SRA650332,01,2021,Makar,mouse embryonnic stem cells (mES),mES KO preHS_1,mouse embryonnic stem cells (mES),mouse embryonnic stem cells (mES) V6.5,Mettl14 -/-,No heat shock,GSM2935903
SRR6496030,26253347,1155147268,44,379,SRX3585294,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP131013,PRJNA430238,1,"",SRS2854135,SAMN08367755,simple,10090,Mus musculus,GSM2935904,GEO,SRA650332,01,2021,Makar,mouse embryonnic stem cells (mES),mES KO preHS_2,mouse embryonnic stem cells (mES),mouse embryonnic stem cells (mES) V6.5,Mettl14 -/-,No heat shock,GSM2935904
SRR6496031,36203927,1592972788,44,539,SRX3585295,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP131013,PRJNA430238,1,"",SRS2854130,SAMN08367754,simple,10090,Mus musculus,GSM2935905,GEO,SRA650332,01,2021,Makar,mouse embryonnic stem cells (mES),mES WT HS_1,mouse embryonnic stem cells (mES),mouse embryonnic stem cells (mES) V6.5,wild type,heat shock 30min at 42°C,GSM2935905
SRR6496032,31134720,1369927680,44,466,SRX3585296,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP131013,PRJNA430238,1,"",SRS2854138,SAMN08367753,simple,10090,Mus musculus,GSM2935906,GEO,SRA650332,01,2021,Makar,mouse embryonnic stem cells (mES),mES WT HS_2,mouse embryonnic stem cells (mES),mouse embryonnic stem cells (mES) V6.5,wild type,heat shock 30min at 42°C,GSM2935906
SRR6496033,42955717,1890051548,44,633,SRX3585297,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP131013,PRJNA430238,1,"",SRS2854141,SAMN08367752,simple,10090,Mus musculus,GSM2935907,GEO,SRA650332,01,2021,Makar,mouse embryonnic stem cells (mES),mES KO HS_1,mouse embryonnic stem cells (mES),mouse embryonnic stem cells (mES) V6.5,Mettl14 -/-,heat shock 30min at 42°C,GSM2935907
SRR6496034,17816422,783922568,44,259,SRX3585298,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP131013,PRJNA430238,1,"",SRS2854142,SAMN08367751,simple,10090,Mus musculus,GSM2935908,GEO,SRA650332,01,2021,Makar,mouse embryonnic stem cells (mES),mES KO HS_2,mouse embryonnic stem cells (mES),mouse embryonnic stem cells (mES) V6.5,Mettl14 -/-,heat shock 30min at 42°C,GSM2935908
SRR6496035,32657574,1436933256,44,472,SRX3585299,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP131013,PRJNA430238,1,"",SRS2854143,SAMN08367759,simple,10090,Mus musculus,GSM2935909,GEO,SRA650332,01,2021,Makar,mouse embryonnic stem cells (mES),mES WT postHS_1,mouse embryonnic stem cells (mES),mouse embryonnic stem cells (mES) V6.5,wild type,heat shock 30min at 42°C + 1h recovery at 37°C,GSM2935909
SRR6496036,18805055,827422420,44,276,SRX3585300,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP131013,PRJNA430238,1,"",SRS2854146,SAMN08367750,simple,10090,Mus musculus,GSM2935910,GEO,SRA650332,01,2021,Makar,mouse embryonnic stem cells (mES),mES WT postHS_2,mouse embryonnic stem cells (mES),mouse embryonnic stem cells (mES) V6.5,wild type,heat shock 30min at 42°C + 1h recovery at 37°C,GSM2935910
SRR6496037,53536767,2355617748,44,792,SRX3585301,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP131013,PRJNA430238,1,"",SRS2854144,SAMN08367761,simple,10090,Mus musculus,GSM2935911,GEO,SRA650332,01,2021,Makar,mouse embryonnic stem cells (mES),mES KO postHS_1,mouse embryonnic stem cells (mES),mouse embryonnic stem cells (mES) V6.5,Mettl14 -/-,heat shock 30min at 42°C + 1h recovery at 37°C,GSM2935911
SRR6496038,32957827,1450144388,44,499,SRX3585302,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP131013,PRJNA430238,1,"",SRS2854140,SAMN08367760,simple,10090,Mus musculus,GSM2935912,GEO,SRA650332,01,2021,Makar,mouse embryonnic stem cells (mES),mES KO postHS_2,mouse embryonnic stem cells (mES),mouse embryonnic stem cells (mES) V6.5,Mettl14 -/-,heat shock 30min at 42°C + 1h recovery at 37°C,GSM2935912
