Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genotype,clip antibody,developmental stage,tissue,ecotype background,treatment,GEO Accession
SRR6687539,15031562,751578100,50,525,SRX3663695,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP132472,PRJNA433501,31481099,"",SRS2926324,SAMN08498492,simple,3702,Arabidopsis thaliana,GSM2987679,GEO,SRA657369,08,2019,Zhao,2-week seedlings,control_CLIP-seq,2-week seedlings,wild type,"anti-HA (sigma, H6908)",2-week seedlings,seedling,,,GSM2987679
SRR6687540,16920678,846033900,50,495,SRX3663696,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP132472,PRJNA433501,31481099,"",SRS2926326,SAMN08498503,simple,3702,Arabidopsis thaliana,GSM2987680,GEO,SRA657369,08,2019,Zhao,2-week seedlings,PAB2_CLIP-seq,2-week seedlings,PAB2 complementary line,"anti-HA (sigma, H6908)",2-week seedlings,seedling,,,GSM2987680
SRR6687541,21583503,777006108,36,546,SRX3663697,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP132472,PRJNA433501,31481099,"",SRS2926325,SAMN08498502,simple,3702,Arabidopsis thaliana,GSM2987681,GEO,SRA657369,08,2019,Zhao,2-week seedlings,PAB4_CLIP-seq,2-week seedlings,PAB4 complementary line,"anti-HA (sigma, H6908)",2-week seedlings,seedling,,,GSM2987681
SRR6687542,16985860,849293000,50,574,SRX3663698,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP132472,PRJNA433501,31481099,"",SRS2926327,SAMN08498501,simple,3702,Arabidopsis thaliana,GSM2987682,GEO,SRA657369,08,2019,Zhao,2-week seedlings,PAB8_CLIP-seq,2-week seedlings,PAB8 complementary line,"anti-HA (sigma, H6908)",2-week seedlings,seedling,,,GSM2987682
SRR6687543,66296086,3314804300,50,1109,SRX3663699,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP132472,PRJNA433501,31481099,"",SRS2926328,SAMN08498500,simple,3702,Arabidopsis thaliana,GSM2987683,GEO,SRA657369,08,2019,Zhao,2-week seedlings,col_RF_rep1,2-week seedlings,wild type,,2-week seedlings,seedling,,,GSM2987683
SRR6687544,74821007,3741050350,50,1247,SRX3663700,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP132472,PRJNA433501,31481099,"",SRS2926329,SAMN08498499,simple,3702,Arabidopsis thaliana,GSM2987684,GEO,SRA657369,08,2019,Zhao,2-week seedlings,col_RF_rep2,2-week seedlings,wild type,,2-week seedlings,seedling,,,GSM2987684
SRR6687545,78412994,3920649700,50,1302,SRX3663701,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP132472,PRJNA433501,31481099,"",SRS2926330,SAMN08498498,simple,3702,Arabidopsis thaliana,GSM2987685,GEO,SRA657369,08,2019,Zhao,2-week seedlings,atpabs_RF_rep1,2-week seedlings,atpabs mutant,,2-week seedlings,seedling,,,GSM2987685
SRR6687546,71967900,3598395000,50,1191,SRX3663702,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP132472,PRJNA433501,31481099,"",SRS2926331,SAMN08498497,simple,3702,Arabidopsis thaliana,GSM2987686,GEO,SRA657369,08,2019,Zhao,2-week seedlings,atpabs_RF_rep2,2-week seedlings,atpabs mutant,,2-week seedlings,seedling,,,GSM2987686
SRR6687547,7779688,1944922000,125,719,SRX3663703,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP132472,PRJNA433501,31481099,"",SRS2926332,SAMN08498496,simple,3702,Arabidopsis thaliana,GSM2987687,GEO,SRA657369,08,2019,Zhao,2-week seedlings,col_RNA-seq_rep1,2-week seedlings,wild type,,2-week seedlings,seedling,,,GSM2987687
SRR6687548,6223549,1555887250,125,581,SRX3663704,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP132472,PRJNA433501,31481099,"",SRS2926334,SAMN08498495,simple,3702,Arabidopsis thaliana,GSM2987688,GEO,SRA657369,08,2019,Zhao,2-week seedlings,col_RNA-seq_rep2,2-week seedlings,wild type,,2-week seedlings,seedling,,,GSM2987688
