Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,treatment,cell line,genetic modification,antibody,GEO Accession
SRR6809399,37278753,3727875300,100,1358,SRX3767611,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP134016,PRJNA437112,1,"",SRS3022134,SAMN08639033,simple,9606,Homo sapiens,GSM3031505,GEO,SRA664498,04,2018,Makar,K562_AID-BRD4_input_DMSO,K562_AID-BRD4_input_DMSO,K562_AID-BRD4_input_DMSO,"DMSO (1:5000), 60 min",K562,AID-BRD4 / SFFV-OsTir1-T2A-BlastR,,GSM3031505
SRR6809400,33701784,3370178400,100,1230,SRX3767612,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP134016,PRJNA437112,1,"",SRS3022133,SAMN08639034,simple,9606,Homo sapiens,GSM3031506,GEO,SRA664498,04,2018,Makar,K562_AID-BRD4_input_IAA,K562_AID-BRD4_input_IAA,K562_AID-BRD4_input_IAA,"100µM indole-3-acetic acid, 60 min",K562,AID-BRD4 / SFFV-OsTir1-T2A-BlastR,,GSM3031506
SRR6809401,29464214,2946421400,100,1115,SRX3767613,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP134016,PRJNA437112,1,"",SRS3022132,SAMN08639035,simple,9606,Homo sapiens,GSM3031507,GEO,SRA664498,04,2018,Makar,K562_AID-BRD4_Pol2_DMSO,K562_AID-BRD4_Pol2_DMSO,K562_AID-BRD4_Pol2_DMSO,"DMSO (1:5000), 60 min",K562,AID-BRD4 / SFFV-OsTir1-T2A-BlastR,Pol2,GSM3031507
SRR6809402,23397227,2339722700,100,888,SRX3767614,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP134016,PRJNA437112,1,"",SRS3022131,SAMN08639075,simple,9606,Homo sapiens,GSM3031508,GEO,SRA664498,04,2018,Makar,K562_AID-BRD4_Pol2_IAA,K562_AID-BRD4_Pol2_IAA,K562_AID-BRD4_Pol2_IAA,"100µM indole-3-acetic acid, 60 min",K562,AID-BRD4 / SFFV-OsTir1-T2A-BlastR,Pol2,GSM3031508
SRR6809403,29865175,2986517500,100,1129,SRX3767615,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP134016,PRJNA437112,1,"",SRS3022138,SAMN08639026,simple,9606,Homo sapiens,GSM3031509,GEO,SRA664498,04,2018,Makar,K562_AID-BRD4_Pol2-S5P_DMSO,K562_AID-BRD4_Pol2-S5P_DMSO,K562_AID-BRD4_Pol2-S5P_DMSO,"DMSO (1:5000), 60 min",K562,AID-BRD4 / SFFV-OsTir1-T2A-BlastR,S5-phosphorylated Pol2,GSM3031509
SRR6809404,26270226,2627022600,100,988,SRX3767616,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP134016,PRJNA437112,1,"",SRS3022140,SAMN08639025,simple,9606,Homo sapiens,GSM3031510,GEO,SRA664498,04,2018,Makar,K562_AID-BRD4_Pol2-S5P_IAA,K562_AID-BRD4_Pol2-S5P_IAA,K562_AID-BRD4_Pol2-S5P_IAA,"100µM indole-3-acetic acid, 60 min",K562,AID-BRD4 / SFFV-OsTir1-T2A-BlastR,S5-phosphorylated Pol2,GSM3031510
SRR6809405,33356657,3335665700,100,1240,SRX3767617,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP134016,PRJNA437112,1,"",SRS3022135,SAMN08639023,simple,9606,Homo sapiens,GSM3031511,GEO,SRA664498,04,2018,Makar,K562_AID-BRD4_Pol2-S2P_DMSO,K562_AID-BRD4_Pol2-S2P_DMSO,K562_AID-BRD4_Pol2-S2P_DMSO,"DMSO (1:5000), 60 min",K562,AID-BRD4 / SFFV-OsTir1-T2A-BlastR,S2-phosphorylated Pol2,GSM3031511
SRR6809406,33430414,3343041400,100,1238,SRX3767618,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP134016,PRJNA437112,1,"",SRS3022136,SAMN08639027,simple,9606,Homo sapiens,GSM3031512,GEO,SRA664498,04,2018,Makar,K562_AID-BRD4_Pol2-S2P_IAA,K562_AID-BRD4_Pol2-S2P_IAA,K562_AID-BRD4_Pol2-S2P_IAA,"100µM indole-3-acetic acid, 60 min",K562,AID-BRD4 / SFFV-OsTir1-T2A-BlastR,S2-phosphorylated Pol2,GSM3031512
SRR6809407,53975020,5397502000,100,2002,SRX3767619,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP134016,PRJNA437112,1,"",SRS3022137,SAMN08639031,simple,9606,Homo sapiens,GSM3031513,GEO,SRA664498,04,2018,Makar,K562_AID-BRD4_clone-2_input_DMSO,K562_AID-BRD4_clone-2_input_DMSO,K562_AID-BRD4_clone-2_input_DMSO,"DMSO (1:5000), 60 min",K562,AID-BRD4 / SFFV-OsTir1-T2A-BlastR,,GSM3031513
SRR6809408,52292597,5229259700,100,1931,SRX3767620,,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP134016,PRJNA437112,1,"",SRS3022139,SAMN08639030,simple,9606,Homo sapiens,GSM3031514,GEO,SRA664498,04,2018,Makar,K562_AID-BRD4_clone-2_input_IAA,K562_AID-BRD4_clone-2_input_IAA,K562_AID-BRD4_clone-2_input_IAA,"100µM indole-3-acetic acid, 60 min",K562,AID-BRD4 / SFFV-OsTir1-T2A-BlastR,,GSM3031514
