Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,GEO Accession
SRR6869735,19783026,4945756500,125,2117,SRX3823997,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP136094,PRJNA439265,31174582,"",SRS3073328,SAMN08743005,simple,9606,Homo sapiens,GSM3057200,GEO,SRA668547,05,2019,Bornelöv,H9 cells,RNAseq self-renewing rep1,H9 cells,human embryonic stem cells,GSM3057200
SRR6869736,19805726,4951431500,125,2116,SRX3823997,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP136094,PRJNA439265,31174582,"",SRS3073328,SAMN08743005,simple,9606,Homo sapiens,GSM3057200,GEO,SRA668547,05,2019,Bornelöv,H9 cells,RNAseq self-renewing rep1,H9 cells,human embryonic stem cells,GSM3057201
SRR6869737,27698641,6924660250,125,2822,SRX3823998,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP136094,PRJNA439265,31174582,"",SRS3073327,SAMN08743004,simple,9606,Homo sapiens,GSM3057201,GEO,SRA668547,05,2019,Bornelöv,H9 cells,RNAseq self-renewing rep2,H9 cells,human embryonic stem cells,GSM3057202
SRR6869738,27755116,6938779000,125,2831,SRX3823998,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP136094,PRJNA439265,31174582,"",SRS3073327,SAMN08743004,simple,9606,Homo sapiens,GSM3057201,GEO,SRA668547,05,2019,Bornelöv,H9 cells,RNAseq self-renewing rep2,H9 cells,human embryonic stem cells,GSM3057203
SRR6869739,26251671,6562917750,125,2709,SRX3824000,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP136094,PRJNA439265,31174582,"",SRS3073329,SAMN08743003,simple,9606,Homo sapiens,GSM3057202,GEO,SRA668547,05,2019,Bornelöv,H9 cells,RNAseq self-renewing rep3,H9 cells,human embryonic stem cells,GSM3057204
SRR6869740,26294302,6573575500,125,2715,SRX3824000,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP136094,PRJNA439265,31174582,"",SRS3073329,SAMN08743003,simple,9606,Homo sapiens,GSM3057202,GEO,SRA668547,05,2019,Bornelöv,H9 cells,RNAseq self-renewing rep3,H9 cells,human embryonic stem cells,GSM3057205
SRR6869741,25406457,6351614250,125,2608,SRX3824001,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP136094,PRJNA439265,31174582,"",SRS3073330,SAMN08743002,simple,9606,Homo sapiens,GSM3057203,GEO,SRA668547,05,2019,Bornelöv,H9 cells,RNAseq self-renewing rep4,H9 cells,human embryonic stem cells,GSM3057206
SRR6869742,25467576,6366894000,125,2613,SRX3824001,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP136094,PRJNA439265,31174582,"",SRS3073330,SAMN08743002,simple,9606,Homo sapiens,GSM3057203,GEO,SRA668547,05,2019,Bornelöv,H9 cells,RNAseq self-renewing rep4,H9 cells,human embryonic stem cells,GSM3057207
SRR6869743,22324692,5581173000,125,2312,SRX3824002,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP136094,PRJNA439265,31174582,"",SRS3073331,SAMN08743001,simple,9606,Homo sapiens,GSM3057204,GEO,SRA668547,05,2019,Bornelöv,H9 cells,RNAseq differentiating rep1,H9 cells,human embryonic stem cells,GSM3057208
SRR6869744,22343017,5585754250,125,2315,SRX3824002,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP136094,PRJNA439265,31174582,"",SRS3073331,SAMN08743001,simple,9606,Homo sapiens,GSM3057204,GEO,SRA668547,05,2019,Bornelöv,H9 cells,RNAseq differentiating rep1,H9 cells,human embryonic stem cells,GSM3057209
