Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,developmental stage,treatment,Sex,GEO Accession
SRR6874832,35597681,1752519361,49,643,SRX3828053,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP136174,PRJNA439433,30651069,"",SRS3076439,SAMN08766063,simple,7227,Drosophila melanogaster,GSM3058506,GEO,SRA669705,01,2019,Huang,Oenocyte,Young_H2O_rep1,Oenocyte,14 days after eclosion,"Control, water",female,GSM3058506
SRR6874833,36396868,1798385319,49,659,SRX3828054,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP136174,PRJNA439433,30651069,"",SRS3076437,SAMN08765838,simple,7227,Drosophila melanogaster,GSM3058507,GEO,SRA669705,01,2019,Huang,Oenocyte,Young_H2O_rep2,Oenocyte,14 days after eclosion,"Control, water",female,GSM3058507
SRR6874834,30716861,1521285861,49,556,SRX3828055,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP136174,PRJNA439433,30651069,"",SRS3076438,SAMN08765837,simple,7227,Drosophila melanogaster,GSM3058508,GEO,SRA669705,01,2019,Huang,Oenocyte,Young_H2O_rep3,Oenocyte,14 days after eclosion,"Control, water",female,GSM3058508
SRR6874835,36458364,1783992736,48,655,SRX3828056,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP136174,PRJNA439433,30651069,"",SRS3076441,SAMN08765836,simple,7227,Drosophila melanogaster,GSM3058509,GEO,SRA669705,01,2019,Huang,Oenocyte,Young_PQ_rep1,Oenocyte,14 days after eclosion,Paraquat fed,female,GSM3058509
SRR6874836,27781773,1374043536,49,503,SRX3828057,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP136174,PRJNA439433,30651069,"",SRS3076436,SAMN08765835,simple,7227,Drosophila melanogaster,GSM3058510,GEO,SRA669705,01,2019,Huang,Oenocyte,Young_PQ_rep2,Oenocyte,14 days after eclosion,Paraquat fed,female,GSM3058510
SRR6874837,34435660,1706295892,49,624,SRX3828058,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP136174,PRJNA439433,30651069,"",SRS3076440,SAMN08765833,simple,7227,Drosophila melanogaster,GSM3058511,GEO,SRA669705,01,2019,Huang,Oenocyte,Young_PQ_rep3,Oenocyte,14 days after eclosion,Paraquat fed,female,GSM3058511
SRR6874838,19326659,956292186,49,350,SRX3828059,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP136174,PRJNA439433,30651069,"",SRS3076442,SAMN08765832,simple,7227,Drosophila melanogaster,GSM3058512,GEO,SRA669705,01,2019,Huang,Oenocyte,Aged_H2O_rep1,Oenocyte,28 days after eclosion,"Control, water",female,GSM3058512
SRR6874839,27738863,1374356205,49,500,SRX3828060,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP136174,PRJNA439433,30651069,"",SRS3076444,SAMN08765831,simple,7227,Drosophila melanogaster,GSM3058513,GEO,SRA669705,01,2019,Huang,Oenocyte,Aged_H2O_rep2,Oenocyte,28 days after eclosion,"Control, water",female,GSM3058513
SRR6874840,17819419,882447876,49,322,SRX3828061,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP136174,PRJNA439433,30651069,"",SRS3076443,SAMN08765830,simple,7227,Drosophila melanogaster,GSM3058514,GEO,SRA669705,01,2019,Huang,Oenocyte,Aged_H2O_rep3,Oenocyte,28 days after eclosion,"Control, water",female,GSM3058514
SRR6874841,39843227,1969810332,49,713,SRX3828062,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP136174,PRJNA439433,30651069,"",SRS3076445,SAMN08766066,simple,7227,Drosophila melanogaster,GSM3058515,GEO,SRA669705,01,2019,Huang,Oenocyte,Aged_PQ_rep1,Oenocyte,28 days after eclosion,Paraquat fed,female,GSM3058515
SRR6874842,32513508,1607583075,49,582,SRX3828063,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP136174,PRJNA439433,30651069,"",SRS3076446,SAMN08766065,simple,7227,Drosophila melanogaster,GSM3058516,GEO,SRA669705,01,2019,Huang,Oenocyte,Aged_PQ_rep2,Oenocyte,28 days after eclosion,Paraquat fed,female,GSM3058516
SRR6874843,63386276,3136077926,49,1138,SRX3828064,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP136174,PRJNA439433,30651069,"",SRS3076447,SAMN08766064,simple,7227,Drosophila melanogaster,GSM3058517,GEO,SRA669705,01,2019,Huang,Oenocyte,Aged_PQ_rep3,Oenocyte,28 days after eclosion,Paraquat fed,female,GSM3058517
