Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,age,strain,inhibitors,injection route,internal animal id,tissue,molecule subtype,GEO Accession
SRR12671761,35004024,5250603600,150,2095,SRX9152002,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP136268,PRJNA445295,33264395,"",SRS7392015,SAMN16212674,simple,10090,Mus musculus,GSM4795532,GEO,SRA671174,12,2020,Gerashchenko,liver,mouse106_liver_30sec_RiboSeq,liver,72 weeks old mouse,C57BL6,harringtonine 30 sec cycloheximide,tail-vein,106,,,GSM4795532
SRR12671762,36100849,5415127350,150,2153,SRX9152003,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP136268,PRJNA445295,33264395,"",SRS7392016,SAMN16212673,simple,10090,Mus musculus,GSM4795533,GEO,SRA671174,12,2020,Gerashchenko,liver,mouse107_liver_45sec_RiboSeq,liver,72 weeks old mouse,C57BL6,harringtonine 45 sec cycloheximide,tail-vein,107,,,GSM4795533
SRR12671763,48102432,7215364800,150,2985,SRX9152004,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP136268,PRJNA445295,33264395,"",SRS7392017,SAMN16212672,simple,10090,Mus musculus,GSM4795534,GEO,SRA671174,12,2020,Gerashchenko,liver,mouse108_liver_15sec_RiboSeq,liver,72 weeks old mouse,C57BL6,harringtonine 15 sec cycloheximide,tail-vein,108,,,GSM4795534
SRR12671764,35993109,5398966350,150,2164,SRX9152005,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP136268,PRJNA445295,33264395,"",SRS7392018,SAMN16212671,simple,10090,Mus musculus,GSM4795535,GEO,SRA671174,12,2020,Gerashchenko,liver,mouse109_liver_30sec_RiboSeq,liver,72 weeks old mouse,C57BL6,harringtonine 30 sec cycloheximide,tail-vein,109,,,GSM4795535
SRR12671765,29703171,4455475650,150,1793,SRX9152006,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP136268,PRJNA445295,33264395,"",SRS7392019,SAMN16212670,simple,10090,Mus musculus,GSM4795536,GEO,SRA671174,12,2020,Gerashchenko,liver,mouse111_liver_15sec_RiboSeq,liver,72 weeks old mouse,C57BL6,harringtonine 15 sec cycloheximide,tail-vein,111,,,GSM4795536
SRR12671766,35724001,5358600150,150,2188,SRX9152007,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP136268,PRJNA445295,33264395,"",SRS7392020,SAMN16212669,simple,10090,Mus musculus,GSM4795537,GEO,SRA671174,12,2020,Gerashchenko,liver,mouse113_liver_45sec_RiboSeq,liver,72 weeks old mouse,C57BL6,harringtonine 45 sec cycloheximide,tail-vein,113,,,GSM4795537
SRR12671767,36815892,5522383800,150,2195,SRX9152008,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP136268,PRJNA445295,33264395,"",SRS7392021,SAMN16212668,simple,10090,Mus musculus,GSM4795538,GEO,SRA671174,12,2020,Gerashchenko,liver,mouse118_liver_30sec_RiboSeq,liver,72 weeks old mouse,C57BL6,harringtonine 30 sec cycloheximide,tail-vein,118,,,GSM4795538
SRR12671768,50367003,7555050450,150,3096,SRX9152009,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP136268,PRJNA445295,33264395,"",SRS7392022,SAMN16212687,simple,10090,Mus musculus,GSM4795539,GEO,SRA671174,12,2020,Gerashchenko,liver,mouse119_liver_15sec_RiboSeq,liver,72 weeks old mouse,C57BL6,harringtonine 15 sec cycloheximide,tail-vein,119,,,GSM4795539
SRR12671769,38575732,5786359800,150,2327,SRX9152010,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP136268,PRJNA445295,33264395,"",SRS7392023,SAMN16212667,simple,10090,Mus musculus,GSM4795540,GEO,SRA671174,12,2020,Gerashchenko,liver,mouse120_liver_45sec_RiboSeq,liver,72 weeks old mouse,C57BL6,harringtonine 45 sec cycloheximide,tail-vein,120,,,GSM4795540
SRR12671770,41525992,6228898800,150,2554,SRX9152011,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP136268,PRJNA445295,33264395,"",SRS7392024,SAMN16212666,simple,10090,Mus musculus,GSM4795541,GEO,SRA671174,12,2020,Gerashchenko,liver,mouse122_liver_30sec_RiboSeq,liver,72 weeks old mouse,C57BL6,harringtonine 30 sec cycloheximide,tail-vein,122,,,GSM4795541
SRR12671771,49771387,7465708050,150,2971,SRX9152012,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP136268,PRJNA445295,33264395,"",SRS7392025,SAMN16212665,simple,10090,Mus musculus,GSM4795542,GEO,SRA671174,12,2020,Gerashchenko,liver,mouse125_liver_45sec_RiboSeq,liver,72 weeks old mouse,C57BL6,harringtonine 45 sec cycloheximide,tail-vein,125,,,GSM4795542
SRR12671772,36312081,5446812150,150,2199,SRX9152013,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP136268,PRJNA445295,33264395,"",SRS7392026,SAMN16212664,simple,10090,Mus musculus,GSM4795543,GEO,SRA671174,12,2020,Gerashchenko,liver,mouse127_liver_15sec_RiboSeq,liver,72 weeks old mouse,C57BL6,harringtonine 15 sec cycloheximide,tail-vein,127,,,GSM4795543
SRR6880547,40593381,12178014300,150,4483,SRX3833047,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP136268,PRJNA445295,33264395,"",SRS3080723,SAMN08773965,simple,10090,Mus musculus,GSM3061174,GEO,SRA671174,01,2019,Gerashchenko,liver_mRNAseq,mouse26_liver_mRNAseq,liver_mRNAseq,13 weeks old mouse,C57BL6,none,n/a,26,liver,,GSM3061174
SRR6880548,40107028,12032108400,150,4484,SRX3833048,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP136268,PRJNA445295,33264395,"",SRS3080731,SAMN08774025,simple,10090,Mus musculus,GSM3061175,GEO,SRA671174,01,2019,Gerashchenko,liver_mRNAseq,mouse27_liver_mRNAseq,liver_mRNAseq,13 weeks old mouse,C57BL6,none,n/a,27,liver,,GSM3061175
SRR6880549,42506840,12752052000,150,4657,SRX3833049,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP136268,PRJNA445295,33264395,"",SRS3080724,SAMN08774024,simple,10090,Mus musculus,GSM3061176,GEO,SRA671174,01,2019,Gerashchenko,liver_mRNAseq,mouse28_liver_mRNAseq,liver_mRNAseq,13 weeks old mouse,C57BL6,none,n/a,28,liver,,GSM3061176
SRR6880550,40140994,12042298200,150,4424,SRX3833050,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP136268,PRJNA445295,33264395,"",SRS3080726,SAMN08774023,simple,10090,Mus musculus,GSM3061177,GEO,SRA671174,01,2019,Gerashchenko,mouse26_kidney_mRNAseq,mouse26_kidney_mRNAseq,mouse26_kidney_mRNAseq,13 weeks old mouse,C57BL6,none,n/a,26,kidney,,GSM3061177
SRR6880551,38235038,11470511400,150,4216,SRX3833051,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP136268,PRJNA445295,33264395,"",SRS3080725,SAMN08774022,simple,10090,Mus musculus,GSM3061178,GEO,SRA671174,01,2019,Gerashchenko,mouse27_kidney_mRNAseq,mouse27_kidney_mRNAseq,mouse27_kidney_mRNAseq,13 weeks old mouse,C57BL6,none,n/a,27,kidney,,GSM3061178
SRR6880552,40314794,12094438200,150,4458,SRX3833052,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP136268,PRJNA445295,33264395,"",SRS3080727,SAMN08773996,simple,10090,Mus musculus,GSM3061179,GEO,SRA671174,01,2019,Gerashchenko,mouse28_kidney_mRNAseq,mouse28_kidney_mRNAseq,mouse28_kidney_mRNAseq,13 weeks old mouse,C57BL6,none,n/a,28,kidney,,GSM3061179
SRR6880553,37119723,11135916900,150,4142,SRX3833053,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP136268,PRJNA445295,33264395,"",SRS3080728,SAMN08773966,simple,10090,Mus musculus,GSM3061180,GEO,SRA671174,01,2019,Gerashchenko,skeletal_mRNAseq,mouse26_skeletal_mRNAseq,skeletal_mRNAseq,13 weeks old mouse,C57BL6,none,n/a,26,skeletal muscle,,GSM3061180
SRR6880554,40199020,12059706000,150,4482,SRX3833054,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP136268,PRJNA445295,33264395,"",SRS3080730,SAMN08773934,simple,10090,Mus musculus,GSM3061181,GEO,SRA671174,01,2019,Gerashchenko,skeletal_mRNAseq,mouse27_skeletal_mRNAseq,skeletal_mRNAseq,13 weeks old mouse,C57BL6,none,n/a,27,skeletal muscle,,GSM3061181
SRR6880555,36998064,11099419200,150,4111,SRX3833055,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP136268,PRJNA445295,33264395,"",SRS3080729,SAMN08773933,simple,10090,Mus musculus,GSM3061182,GEO,SRA671174,01,2019,Gerashchenko,skeletal_mRNAseq,mouse28_skeletal_mRNAseq,skeletal_mRNAseq,13 weeks old mouse,C57BL6,none,n/a,28,skeletal muscle,,GSM3061182
SRR6880556,37819894,11345968200,150,4158,SRX3833056,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP136268,PRJNA445295,33264395,"",SRS3080733,SAMN08774019,simple,10090,Mus musculus,GSM3061183,GEO,SRA671174,01,2019,Gerashchenko,heart_mRNAseq,mouse26_heart_mRNAseq,heart_mRNAseq,13 weeks old mouse,C57BL6,none,n/a,26,heart,,GSM3061183
SRR6880557,32484154,9745246200,150,3561,SRX3833057,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP136268,PRJNA445295,33264395,"",SRS3080745,SAMN08774021,simple,10090,Mus musculus,GSM3061184,GEO,SRA671174,01,2019,Gerashchenko,heart_mRNAseq,mouse28_heart_mRNAseq,heart_mRNAseq,13 weeks old mouse,C57BL6,none,n/a,28,heart,,GSM3061184
