Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,cell type,strain,genotype,Sex,age,GEO Accession
SRR6916500,38434502,1360997308,35,468,SRX3864132,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP136730,PRJNA448005,30373821,"",SRS3106183,SAMN08815608,simple,10090,Mus musculus,GSM3071471,GEO,SRA676488,11,2018,Liu,Dentate gyrus,ansc_wt_ribo_rep1,Dentate gyrus,Dentate gyrus,Adult neural stem cells,FVB/N,WT,male,8-10 weeks,GSM3071471
SRR6916501,41965015,1469470897,35,507,SRX3864133,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP136730,PRJNA448005,30373821,"",SRS3106184,SAMN08815607,simple,10090,Mus musculus,GSM3071472,GEO,SRA676488,11,2018,Liu,Dentate gyrus,ansc_wt_ribo_rep2,Dentate gyrus,Dentate gyrus,Adult neural stem cells,FVB/N,WT,male,8-10 weeks,GSM3071472
SRR6916502,28682589,952547080,33,365,SRX3864134,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP136730,PRJNA448005,30373821,"",SRS3106185,SAMN08815606,simple,10090,Mus musculus,GSM3071473,GEO,SRA676488,11,2018,Liu,Dentate gyrus,ansc_wt_ribo_rep3,Dentate gyrus,Dentate gyrus,Adult neural stem cells,FVB/N,WT,male,8-10 weeks,GSM3071473
SRR6916503,32881687,1089540403,33,416,SRX3864135,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP136730,PRJNA448005,30373821,"",SRS3106188,SAMN08815605,simple,10090,Mus musculus,GSM3071474,GEO,SRA676488,11,2018,Liu,Dentate gyrus,ansc_wt_ribo_rep4,Dentate gyrus,Dentate gyrus,Adult neural stem cells,FVB/N,WT,male,8-10 weeks,GSM3071474
SRR6916504,43517945,1520311558,34,528,SRX3864136,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP136730,PRJNA448005,30373821,"",SRS3106187,SAMN08815604,simple,10090,Mus musculus,GSM3071475,GEO,SRA676488,11,2018,Liu,Dentate gyrus,ansc_ko_ribo_rep1,Dentate gyrus,Dentate gyrus,Adult neural stem cells,FVB/N,Fmr1-/y,male,8-10 weeks,GSM3071475
SRR6916505,50977727,1758332879,34,608,SRX3864137,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP136730,PRJNA448005,30373821,"",SRS3106186,SAMN08815603,simple,10090,Mus musculus,GSM3071476,GEO,SRA676488,11,2018,Liu,Dentate gyrus,ansc_ko_ribo_rep2,Dentate gyrus,Dentate gyrus,Adult neural stem cells,FVB/N,Fmr1-/y,male,8-10 weeks,GSM3071476
SRR6916506,32529614,1068418094,32,415,SRX3864138,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP136730,PRJNA448005,30373821,"",SRS3106189,SAMN08815602,simple,10090,Mus musculus,GSM3071477,GEO,SRA676488,11,2018,Liu,Dentate gyrus,ansc_ko_ribo_rep3,Dentate gyrus,Dentate gyrus,Adult neural stem cells,FVB/N,Fmr1-/y,male,8-10 weeks,GSM3071477
SRR6916507,32817923,1095413585,33,419,SRX3864139,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP136730,PRJNA448005,30373821,"",SRS3106190,SAMN08815601,simple,10090,Mus musculus,GSM3071478,GEO,SRA676488,11,2018,Liu,Dentate gyrus,ansc_ko_ribo_rep4,Dentate gyrus,Dentate gyrus,Adult neural stem cells,FVB/N,Fmr1-/y,male,8-10 weeks,GSM3071478
SRR6916508,22116586,3294983778,74,1151,SRX3864140,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP136730,PRJNA448005,30373821,"",SRS3106191,SAMN08815600,simple,10090,Mus musculus,GSM3071479,GEO,SRA676488,11,2018,Liu,Dentate gyrus,ansc_wt_rna_rep1,Dentate gyrus,Dentate gyrus,Adult neural stem cells,FVB/N,WT,male,8-10 weeks,GSM3071479
SRR6916509,24356443,3629020319,74,1267,SRX3864141,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP136730,PRJNA448005,30373821,"",SRS3106194,SAMN08815599,simple,10090,Mus musculus,GSM3071480,GEO,SRA676488,11,2018,Liu,Dentate gyrus,ansc_wt_rna_rep2,Dentate gyrus,Dentate gyrus,Adult neural stem cells,FVB/N,WT,male,8-10 weeks,GSM3071480
