Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,molecule subtype,GEO Accession
SRR6949916,40765023,2079016173,51,617,SRX3893385,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP137758,PRJNA448921,30044225,"",SRS3131143,SAMN08872753,simple,10090,Mus musculus,GSM3083121,GEO,SRA682821,07,2018,Freimer,ESC_Ribosome Protected Fragments,ESC 1 Ribosome Protected Fragments,ESC_Ribosome Protected Fragments,embryonic stem cells,Ribosome protected fragments,GSM3083121
SRR6949917,19645239,1001907189,51,296,SRX3893386,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP137758,PRJNA448921,30044225,"",SRS3131145,SAMN08872752,simple,10090,Mus musculus,GSM3083122,GEO,SRA682821,07,2018,Freimer,ESC_Ribosome Protected Fragments,ESC 2 Ribosome Protected Fragments,ESC_Ribosome Protected Fragments,embryonic stem cells,Ribosome protected fragments,GSM3083122
SRR6949918,37268847,1900711197,51,565,SRX3893387,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP137758,PRJNA448921,30044225,"",SRS3131146,SAMN08872751,simple,10090,Mus musculus,GSM3083123,GEO,SRA682821,07,2018,Freimer,ESC_Ribosome Protected Fragments,ESC 3 Ribosome Protected Fragments,ESC_Ribosome Protected Fragments,embryonic stem cells,Ribosome protected fragments,GSM3083123
SRR6949919,42266961,2155615011,51,663,SRX3893388,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP137758,PRJNA448921,30044225,"",SRS3131147,SAMN08872750,simple,10090,Mus musculus,GSM3083124,GEO,SRA682821,07,2018,Freimer,ESC_total RNA,ESC 1 total RNA,ESC_total RNA,embryonic stem cells,total RNA,GSM3083124
SRR6949920,40427208,2061787608,51,634,SRX3893389,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP137758,PRJNA448921,30044225,"",SRS3131149,SAMN08872749,simple,10090,Mus musculus,GSM3083125,GEO,SRA682821,07,2018,Freimer,ESC_total RNA,ESC 2 total RNA,ESC_total RNA,embryonic stem cells,total RNA,GSM3083125
SRR6949921,37625000,1918875000,51,585,SRX3893390,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP137758,PRJNA448921,30044225,"",SRS3131150,SAMN08872748,simple,10090,Mus musculus,GSM3083126,GEO,SRA682821,07,2018,Freimer,ESC_total RNA,ESC 3 total RNA,ESC_total RNA,embryonic stem cells,total RNA,GSM3083126
SRR6949922,40316849,2056159299,51,620,SRX3893391,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP137758,PRJNA448921,30044225,"",SRS3131148,SAMN08872747,simple,10090,Mus musculus,GSM3083127,GEO,SRA682821,07,2018,Freimer,EpiLC_Ribosome Protected Fragments,EpiLC 1 Ribosome Protected Fragments,EpiLC_Ribosome Protected Fragments,epiblast like cells,Ribosome protected fragments,GSM3083127
SRR6949923,17467405,890837655,51,265,SRX3893392,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP137758,PRJNA448921,30044225,"",SRS3131151,SAMN08872746,simple,10090,Mus musculus,GSM3083128,GEO,SRA682821,07,2018,Freimer,EpiLC_Ribosome Protected Fragments,EpiLC 2 Ribosome Protected Fragments,EpiLC_Ribosome Protected Fragments,epiblast like cells,Ribosome protected fragments,GSM3083128
SRR6949924,25368437,1293790287,51,384,SRX3893393,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP137758,PRJNA448921,30044225,"",SRS3131152,SAMN08872745,simple,10090,Mus musculus,GSM3083129,GEO,SRA682821,07,2018,Freimer,EpiLC_Ribosome Protected Fragments,EpiLC 3 Ribosome Protected Fragments,EpiLC_Ribosome Protected Fragments,epiblast like cells,Ribosome protected fragments,GSM3083129
SRR6949925,52315454,2668088154,51,819,SRX3893394,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP137758,PRJNA448921,30044225,"",SRS3131154,SAMN08872744,simple,10090,Mus musculus,GSM3083130,GEO,SRA682821,07,2018,Freimer,EpiLC_total RNA,EpiLC 1 total RNA,EpiLC_total RNA,epiblast like cells,total RNA,GSM3083130
