Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,treatment,pathogen,GEO Accession
SRR7182546,21503567,1075178350,50,442,SRX4099345,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148422,PRJNA472015,30673779,"",SRS3315530,SAMN09223528,simple,9606,Homo sapiens,GSM3146275,GEO,SRA706809,05,2018,Machkovech,A549 cells,ribosome footprints_cyclo_untr,A549 cells,A549,human lung adenocarcinoma epithelial cells,,,GSM3146275
SRR7182547,19424362,971218100,50,400,SRX4099346,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148422,PRJNA472015,30673779,"",SRS3315531,SAMN09223527,simple,9606,Homo sapiens,GSM3146276,GEO,SRA706809,05,2018,Machkovech,A549 cells,ribosome footprints_cyclo_ifn,A549 cells,A549,human lung adenocarcinoma epithelial cells,IFN-b (20 U/ml),,GSM3146276
SRR7182548,22603759,1130187950,50,462,SRX4099347,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148422,PRJNA472015,30673779,"",SRS3315532,SAMN09223526,simple,9606,Homo sapiens,GSM3146277,GEO,SRA706809,05,2018,Machkovech,A549 cells,ribosome footprints_cyclo_vir,A549 cells,A549,human lung adenocarcinoma epithelial cells,,"influenza virus mixture of low and high CTG NP (reassortant A/PeurtoRico/1934 (PA, PB1, PB2) and A/WSN/1933 (M, NS, HA, NA) and either low or high CTG PR8 NP)",GSM3146277
SRR7182549,20785991,1039299550,50,426,SRX4099348,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148422,PRJNA472015,30673779,"",SRS3315533,SAMN09223525,simple,9606,Homo sapiens,GSM3146278,GEO,SRA706809,05,2018,Machkovech,A549 cells,ribosome footprints_cyclo_ifn_vir,A549 cells,A549,human lung adenocarcinoma epithelial cells,IFN-b (20 U/ml),"influenza virus mixture of low and high CTG NP (reassortant A/PeurtoRico/1934 (PA, PB1, PB2) and A/WSN/1933 (M, NS, HA, NA) and either low or high CTG PR8 NP)",GSM3146278
SRR7182550,36943774,1847188700,50,740,SRX4099349,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148422,PRJNA472015,30673779,"",SRS3315534,SAMN09223524,simple,9606,Homo sapiens,GSM3146279,GEO,SRA706809,05,2018,Machkovech,A549 cells,ribosome footprints_ltm_untr,A549 cells,A549,human lung adenocarcinoma epithelial cells,,,GSM3146279
SRR7182551,34399623,1719981150,50,689,SRX4099350,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148422,PRJNA472015,30673779,"",SRS3315535,SAMN09223523,simple,9606,Homo sapiens,GSM3146280,GEO,SRA706809,05,2018,Machkovech,A549 cells,ribosome footprints_ltm_ifn,A549 cells,A549,human lung adenocarcinoma epithelial cells,IFN-b (20 U/ml),,GSM3146280
SRR7182552,30514113,1525705650,50,612,SRX4099351,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148422,PRJNA472015,30673779,"",SRS3315536,SAMN09223522,simple,9606,Homo sapiens,GSM3146281,GEO,SRA706809,05,2018,Machkovech,A549 cells,ribosome footprints_ltm_vir,A549 cells,A549,human lung adenocarcinoma epithelial cells,,"influenza virus mixture of low and high CTG NP (reassortant A/PeurtoRico/1934 (PA, PB1, PB2) and A/WSN/1933 (M, NS, HA, NA) and either low or high CTG PR8 NP)",GSM3146281
SRR7182553,29992819,1499640950,50,598,SRX4099352,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148422,PRJNA472015,30673779,"",SRS3315537,SAMN09223521,simple,9606,Homo sapiens,GSM3146282,GEO,SRA706809,05,2018,Machkovech,A549 cells,ribosome footprints_ltm_ifn_vir,A549 cells,A549,human lung adenocarcinoma epithelial cells,IFN-b (20 U/ml),"influenza virus mixture of low and high CTG NP (reassortant A/PeurtoRico/1934 (PA, PB1, PB2) and A/WSN/1933 (M, NS, HA, NA) and either low or high CTG PR8 NP)",GSM3146282
SRR7182554,19845835,992291750,50,417,SRX4099353,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148422,PRJNA472015,30673779,"",SRS3315538,SAMN09223520,simple,9606,Homo sapiens,GSM3146283,GEO,SRA706809,05,2018,Machkovech,A549 cells,mrna_untr,A549 cells,A549,human lung adenocarcinoma epithelial cells,,,GSM3146283
SRR7182555,17694250,884712500,50,373,SRX4099354,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148422,PRJNA472015,30673779,"",SRS3315539,SAMN09223519,simple,9606,Homo sapiens,GSM3146284,GEO,SRA706809,05,2018,Machkovech,A549 cells,mrna_ifn,A549 cells,A549,human lung adenocarcinoma epithelial cells,IFN-b (20 U/ml),,GSM3146284
