Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain/genotype,GEO Accession
SRR7215536,124390803,6219540150,50,1883,SRX4122459,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148900,PRJNA472988,30532217,"",SRS3337086,SAMN09255555,simple,4932,Saccharomyces cerevisiae,GSM3153785,GEO,SRA710377,03,2019,Zeidan,Whole cells,Ribo_WT_replicate 1,Whole cells,"HFY114 (MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100)",GSM3153785
SRR7215537,109392504,5469625200,50,1649,SRX4122460,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148900,PRJNA472988,30532217,"",SRS3337085,SAMN09255554,simple,4932,Saccharomyces cerevisiae,GSM3153786,GEO,SRA710377,03,2019,Zeidan,Whole cells,Ribo_WT_replicate 2,Whole cells,"HFY114 (MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100)",GSM3153786
SRR7215538,107571744,5378587200,50,1609,SRX4122461,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148900,PRJNA472988,30532217,"",SRS3337087,SAMN09255553,simple,4932,Saccharomyces cerevisiae,GSM3153787,GEO,SRA710377,03,2019,Zeidan,Whole cells,Ribo_scd6∆_replicate 1,Whole cells,"SYY2353 (MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100) scd6delta::KanMX6)",GSM3153787
SRR7215539,122494118,6124705900,50,1877,SRX4122462,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148900,PRJNA472988,30532217,"",SRS3337088,SAMN09255552,simple,4932,Saccharomyces cerevisiae,GSM3153788,GEO,SRA710377,03,2019,Zeidan,Whole cells,Ribo_scd6∆_replicate 2,Whole cells,"SYY2353 (MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100) scd6delta::KanMX6)",GSM3153788
SRR7215540,108185152,5409257600,50,1660,SRX4122463,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148900,PRJNA472988,30532217,"",SRS3337090,SAMN09255551,simple,4932,Saccharomyces cerevisiae,GSM3153789,GEO,SRA710377,03,2019,Zeidan,Whole cells,Ribo_dhh1∆_replicate 1,Whole cells,"QZY126 (MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100) dhh1delta::KanMX4)",GSM3153789
SRR7215541,125657375,6282868750,50,1930,SRX4122464,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148900,PRJNA472988,30532217,"",SRS3337089,SAMN09255550,simple,4932,Saccharomyces cerevisiae,GSM3153790,GEO,SRA710377,03,2019,Zeidan,Whole cells,Ribo_dhh1∆_replicate 2,Whole cells,"QZY126 (MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100) dhh1delta::KanMX4)",GSM3153790
SRR7215542,142373716,7118685800,50,2239,SRX4122465,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148900,PRJNA472988,30532217,"",SRS3337091,SAMN09255549,simple,4932,Saccharomyces cerevisiae,GSM3153791,GEO,SRA710377,03,2019,Zeidan,Whole cells,mRNA_WT_replicate 1,Whole cells,"HFY114 (MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100)",GSM3153791
SRR7215543,96105358,4805267900,50,1489,SRX4122466,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148900,PRJNA472988,30532217,"",SRS3337092,SAMN09255548,simple,4932,Saccharomyces cerevisiae,GSM3153792,GEO,SRA710377,03,2019,Zeidan,Whole cells,mRNA_WT_replicate 2,Whole cells,"HFY114 (MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100)",GSM3153792
SRR7215544,79077909,3953895450,50,1237,SRX4122467,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148900,PRJNA472988,30532217,"",SRS3337093,SAMN09255547,simple,4932,Saccharomyces cerevisiae,GSM3153793,GEO,SRA710377,03,2019,Zeidan,Whole cells,mRNA_scd6∆_replicate 1,Whole cells,"SYY2353 (MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100) scd6delta::KanMX6)",GSM3153793
SRR7215545,118169748,5908487400,50,1843,SRX4122468,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148900,PRJNA472988,30532217,"",SRS3337094,SAMN09255546,simple,4932,Saccharomyces cerevisiae,GSM3153794,GEO,SRA710377,03,2019,Zeidan,Whole cells,mRNA_scd6∆_replicate 2,Whole cells,"SYY2353 (MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100) scd6delta::KanMX6)",GSM3153794
SRR7215546,86487530,4324376500,50,1367,SRX4122469,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148900,PRJNA472988,30532217,"",SRS3337095,SAMN09255545,simple,4932,Saccharomyces cerevisiae,GSM3153796,GEO,SRA710377,03,2019,Zeidan,Whole cells,mRNA_dhh1∆_replicate 1,Whole cells,"QZY126 (MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100) dhh1delta::KanMX4)",GSM3153796
SRR7215547,115679905,5783995250,50,1808,SRX4122470,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148900,PRJNA472988,30532217,"",SRS3337096,SAMN09255544,simple,4932,Saccharomyces cerevisiae,GSM3153797,GEO,SRA710377,03,2019,Zeidan,Whole cells,mRNA_dhh1∆_replicate 2,Whole cells,"QZY126 (MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100) dhh1delta::KanMX4)",GSM3153797
SRR7215548,72733825,3636691250,50,1091,SRX4122471,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148900,PRJNA472988,30532217,"",SRS3337097,SAMN09255543,simple,4932,Saccharomyces cerevisiae,GSM3153798,GEO,SRA710377,03,2019,Zeidan,Whole cells,Ribo_dcp2∆one_replicate 1,Whole cells,"CFY1016 (MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100) dcp2delta::HIS3)",GSM3153798
SRR7215549,100710462,5035523100,50,1499,SRX4122472,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148900,PRJNA472988,30532217,"",SRS3337098,SAMN09255542,simple,4932,Saccharomyces cerevisiae,GSM3153799,GEO,SRA710377,03,2019,Zeidan,Whole cells,Ribo_dcp2∆one_replicate 2,Whole cells,"CFY1016 (MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100) dcp2delta::HIS3)",GSM3153799
SRR7215550,80638908,4031945400,50,1216,SRX4122473,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148900,PRJNA472988,30532217,"",SRS3337099,SAMN09255541,simple,4932,Saccharomyces cerevisiae,GSM3153800,GEO,SRA710377,03,2019,Zeidan,Whole cells,Ribo_dcp2∆scd6∆_replicate 1,Whole cells,"FZY843 (MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100) dcp2delta::HIS3 scd6delta::KanMX4)",GSM3153800
SRR7215551,65980802,3299040100,50,990,SRX4122474,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148900,PRJNA472988,30532217,"",SRS3337100,SAMN09255540,simple,4932,Saccharomyces cerevisiae,GSM3153802,GEO,SRA710377,03,2019,Zeidan,Whole cells,Ribo_dcp2∆scd6∆_replicate 2,Whole cells,"FZY843 (MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100) dcp2delta::HIS3 scd6delta::KanMX4)",GSM3153802
