Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,strain,age,dev_stage,sex,tissue,cell_line,genotype,sample_type,treatment,replicate,BioSampleModel,experiment
SRR7215503,76696095,6212383695,81,2340,SRX4122403,riboseq.1p.fcs.rep1,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP148898,PRJNA472989,1,"",SRS3337031,SAMN09255910,simple,10090,Mus musculus,riboseq.1p.fcs.rep1,University of Basel,SRA710337,06,2019,Makar,"","",Swiss albino mouse,missing,embryo,missing,embryo tissue,NIH-3T3,pCDH-empty,Ribo-seq,1% FCS,bio rep 1,Model organism or animal,
SRR7215502,63189766,5118371046,81,1945,SRX4122404,riboseq.1p.fcs.rep2,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP148898,PRJNA472989,1,"",SRS3337029,SAMN09255911,simple,10090,Mus musculus,riboseq.1p.fcs.rep2,University of Basel,SRA710337,06,2019,Makar,"","",Swiss albino mouse,missing,embryo,missing,embryo tissue,NIH-3T3,pCDH-empty,Ribo-seq,1% FCS,bio rep 2,Model organism or animal,
SRR7215501,32583030,2476310280,76,1015,SRX4122405,rnaseq.10p.fcs.rep3,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP148898,PRJNA472989,1,"",SRS3337030,SAMN09255908,simple,10090,Mus musculus,rnaseq.10p.fcs.rep3,University of Basel,SRA710337,06,2019,Makar,"","",Swiss albino mouse,missing,embryo,missing,embryo tissue,NIH-3T3,pCDH-empty,mRNA-seq,10% FCS,bio rep 3,Model organism or animal,
SRR7215500,37297584,2834616384,76,1163,SRX4122406,rnaseq.10p.fcs.rep4,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP148898,PRJNA472989,1,"",SRS3337033,SAMN09255909,simple,10090,Mus musculus,rnaseq.10p.fcs.rep4,University of Basel,SRA710337,06,2019,Makar,"","",Swiss albino mouse,missing,embryo,missing,embryo tissue,NIH-3T3,pCDH-empty,mRNA-seq,10% FCS,bio rep 4,Model organism or animal,
SRR7215499,61574286,4987517166,81,1873,SRX4122407,riboseq.10p.fcs.rep2,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP148898,PRJNA472989,1,"",SRS3337032,SAMN09255914,simple,10090,Mus musculus,riboseq.10p.fcs.rep2,University of Basel,SRA710337,06,2019,Makar,"","",Swiss albino mouse,missing,embryo,missing,embryo tissue,NIH-3T3,pCDH-empty,Ribo-seq,10% FCS,bio rep 2,Model organism or animal,
SRR7215498,79426541,6433549821,81,2413,SRX4122408,riboseq.10p.fcs.rep3,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP148898,PRJNA472989,1,"",SRS3337034,SAMN09255915,simple,10090,Mus musculus,riboseq.10p.fcs.rep3,University of Basel,SRA710337,06,2019,Makar,"","",Swiss albino mouse,missing,embryo,missing,embryo tissue,NIH-3T3,pCDH-empty,Ribo-seq,10% FCS,bio rep 3,Model organism or animal,
SRR7215497,59590155,4826802555,81,1793,SRX4122409,riboseq.1p.fcs.rep3,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP148898,PRJNA472989,1,"",SRS3337035,SAMN09255912,simple,10090,Mus musculus,riboseq.1p.fcs.rep3,University of Basel,SRA710337,06,2019,Makar,"","",Swiss albino mouse,missing,embryo,missing,embryo tissue,NIH-3T3,pCDH-empty,Ribo-seq,1% FCS,bio rep 3,Model organism or animal,
SRR7215496,81029804,6563414124,81,2524,SRX4122410,riboseq.10p.fcs.rep1,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP148898,PRJNA472989,1,"",SRS3337036,SAMN09255913,simple,10090,Mus musculus,riboseq.10p.fcs.rep1,University of Basel,SRA710337,06,2019,Makar,"","",Swiss albino mouse,missing,embryo,missing,embryo tissue,NIH-3T3,pCDH-empty,Ribo-seq,10% FCS,bio rep 1,Model organism or animal,
SRR7215495,12388665,941538540,76,372,SRX4122411,trnaseq.1p.fcs.rep1,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP148898,PRJNA472989,1,"",SRS3337037,SAMN09255916,simple,10090,Mus musculus,trnaseq.1p.fcs.rep1,University of Basel,SRA710337,06,2019,Makar,"","",Swiss albino mouse,missing,embryo,missing,embryo tissue,NIH-3T3,pCDH-empty,tRNA-seq,1% FCS,bio rep 1,Model organism or animal,
SRR7215494,11053237,840046012,76,327,SRX4122412,trnaseq.1p.fcs.rep2,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP148898,PRJNA472989,1,"",SRS3337039,SAMN09255917,simple,10090,Mus musculus,trnaseq.1p.fcs.rep2,University of Basel,SRA710337,06,2019,Makar,"","",Swiss albino mouse,missing,embryo,missing,embryo tissue,NIH-3T3,pCDH-empty,tRNA-seq,1% FCS,bio rep 2,Model organism or animal,
