Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,treatment,cell line,passages,GEO Accession
SRR7235771,78823749,8040022398,51,3093,SRX4142104,,MNase-Seq,MNase,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP149362,PRJNA473812,31296853,"",SRS3355898,SAMN09283496,simple,10090,Mus musculus,GSM3165409,GEO,SRA712598,10,2018,Oldfield,mouse Embryonic Stem Cells (ESCs),"MNase-Seq Control KD, Rep 1",mouse Embryonic Stem Cells (ESCs),"non-targeting control siRNA (Dharmacon, D- 001810-02-50)",E14Tg2a,20-35,GSM3165409
SRR7235772,75144179,7664706258,51,2809,SRX4142104,,MNase-Seq,MNase,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP149362,PRJNA473812,31296853,"",SRS3355898,SAMN09283496,simple,10090,Mus musculus,GSM3165409,GEO,SRA712598,10,2018,Oldfield,mouse Embryonic Stem Cells (ESCs),"MNase-Seq Control KD, Rep 1",mouse Embryonic Stem Cells (ESCs),"non-targeting control siRNA (Dharmacon, D- 001810-02-50)",E14Tg2a,20-35,GSM3165410
SRR7235773,69155150,7053825300,51,2633,SRX4142104,,MNase-Seq,MNase,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP149362,PRJNA473812,31296853,"",SRS3355898,SAMN09283496,simple,10090,Mus musculus,GSM3165409,GEO,SRA712598,10,2018,Oldfield,mouse Embryonic Stem Cells (ESCs),"MNase-Seq Control KD, Rep 1",mouse Embryonic Stem Cells (ESCs),"non-targeting control siRNA (Dharmacon, D- 001810-02-50)",E14Tg2a,20-35,GSM3165411
SRR7235774,64800840,6609685680,51,2595,SRX4142104,,MNase-Seq,MNase,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP149362,PRJNA473812,31296853,"",SRS3355898,SAMN09283496,simple,10090,Mus musculus,GSM3165409,GEO,SRA712598,10,2018,Oldfield,mouse Embryonic Stem Cells (ESCs),"MNase-Seq Control KD, Rep 1",mouse Embryonic Stem Cells (ESCs),"NF-YA siRNA (Invitrogen, MSS247473)",E14Tg2a,20-35,GSM3165412
SRR7235775,81007297,8262744294,51,3182,SRX4142105,,MNase-Seq,MNase,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP149362,PRJNA473812,31296853,"",SRS3355899,SAMN09283495,simple,10090,Mus musculus,GSM3165410,GEO,SRA712598,10,2018,Oldfield,mouse Embryonic Stem Cells (ESCs),"MNase-Seq Control KD, Rep 2",mouse Embryonic Stem Cells (ESCs),"NF-YA siRNA (Invitrogen, MSS247473)",E14Tg2a,20-35,GSM3165413
SRR7235776,76264274,7778955948,51,2857,SRX4142105,,MNase-Seq,MNase,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP149362,PRJNA473812,31296853,"",SRS3355899,SAMN09283495,simple,10090,Mus musculus,GSM3165410,GEO,SRA712598,10,2018,Oldfield,mouse Embryonic Stem Cells (ESCs),"MNase-Seq Control KD, Rep 2",mouse Embryonic Stem Cells (ESCs),"NF-YA siRNA (Invitrogen, MSS247473)",E14Tg2a,20-35,GSM3165414
SRR7235777,70566786,7197812172,51,2686,SRX4142105,,MNase-Seq,MNase,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP149362,PRJNA473812,31296853,"",SRS3355899,SAMN09283495,simple,10090,Mus musculus,GSM3165410,GEO,SRA712598,10,2018,Oldfield,mouse Embryonic Stem Cells (ESCs),"MNase-Seq Control KD, Rep 2",mouse Embryonic Stem Cells (ESCs),"non-targeting control siRNA (Dharmacon, D- 001810-02-50)",E14Tg2a,20-35,GSM3165415
SRR7235778,65911119,6722934138,51,2636,SRX4142105,,MNase-Seq,MNase,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP149362,PRJNA473812,31296853,"",SRS3355899,SAMN09283495,simple,10090,Mus musculus,GSM3165410,GEO,SRA712598,10,2018,Oldfield,mouse Embryonic Stem Cells (ESCs),"MNase-Seq Control KD, Rep 2",mouse Embryonic Stem Cells (ESCs),"non-targeting control siRNA (Dharmacon, D- 001810-02-50)",E14Tg2a,20-35,GSM3165416
SRR7235779,93360791,9522800682,51,3663,SRX4142106,,MNase-Seq,MNase,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP149362,PRJNA473812,31296853,"",SRS3355900,SAMN09283494,simple,10090,Mus musculus,GSM3165411,GEO,SRA712598,10,2018,Oldfield,mouse Embryonic Stem Cells (ESCs),"MNase-Seq Control KD, Rep 3",mouse Embryonic Stem Cells (ESCs),"non-targeting control siRNA (Dharmacon, D- 001810-02-50)",E14Tg2a,20-35,GSM3165417
SRR7235780,92459520,9430871040,51,3457,SRX4142106,,MNase-Seq,MNase,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP149362,PRJNA473812,31296853,"",SRS3355900,SAMN09283494,simple,10090,Mus musculus,GSM3165411,GEO,SRA712598,10,2018,Oldfield,mouse Embryonic Stem Cells (ESCs),"MNase-Seq Control KD, Rep 3",mouse Embryonic Stem Cells (ESCs),"NF-YA siRNA (Invitrogen, MSS247473)",E14Tg2a,20-35,GSM3165418
