Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genotype/variation,molecule subtype,GEO Accession
SRR7241882,12964862,648243100,50,332,SRX4147655,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149443,PRJNA473986,31858614,"",SRS3361246,SAMN09288757,simple,4932,Saccharomyces cerevisiae,GSM3168359,GEO,SRA713163,01,2019,Tesina,Whole Cells,"in vivo no_drug_NO_DMS, DMSMaP-seq",Whole Cells,Wild-Type,Fragmented total RNA,GSM3168359
SRR7241883,19819571,990978550,50,510,SRX4147656,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149443,PRJNA473986,31858614,"",SRS3361248,SAMN09288756,simple,4932,Saccharomyces cerevisiae,GSM3168360,GEO,SRA713163,01,2019,Tesina,Whole Cells,"in vivo no_drug_300uL_DMS, DMSMaP-seq",Whole Cells,Wild-Type,Fragmented total RNA,GSM3168360
SRR7241884,21626358,2162635800,100,929,SRX4147657,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149443,PRJNA473986,31858614,"",SRS3361247,SAMN09288755,simple,4932,Saccharomyces cerevisiae,GSM3168361,GEO,SRA713163,01,2019,Tesina,Whole Cells,"in vivo no_drug_600uL_DMS, DMSMaP-seq",Whole Cells,Wild-Type,Fragmented total RNA,GSM3168361
SRR7241885,18451864,1845186400,100,792,SRX4147658,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149443,PRJNA473986,31858614,"",SRS3361249,SAMN09288754,simple,4932,Saccharomyces cerevisiae,GSM3168362,GEO,SRA713163,01,2019,Tesina,Whole Cells,"in vivo CHX_NO_DMS, DMSMaP-seq",Whole Cells,Wild-Type,Fragmented total RNA,GSM3168362
SRR7241886,20862686,2086268600,100,892,SRX4147659,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149443,PRJNA473986,31858614,"",SRS3361250,SAMN09288753,simple,4932,Saccharomyces cerevisiae,GSM3168363,GEO,SRA713163,01,2019,Tesina,Whole Cells,"in vivo CHX_300uL_DMS, DMSMaP-seq",Whole Cells,Wild-Type,Fragmented total RNA,GSM3168363
SRR7241887,12408267,1240826700,100,534,SRX4147660,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149443,PRJNA473986,31858614,"",SRS3361251,SAMN09288752,simple,4932,Saccharomyces cerevisiae,GSM3168364,GEO,SRA713163,01,2019,Tesina,Whole Cells,"in vivo CHX_600uL_DMS, DMSMaP-seq",Whole Cells,Wild-Type,Fragmented total RNA,GSM3168364
SRR7241888,21668774,2166877400,100,930,SRX4147661,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149443,PRJNA473986,31858614,"",SRS3361252,SAMN09288751,simple,4932,Saccharomyces cerevisiae,GSM3168365,GEO,SRA713163,01,2019,Tesina,Whole Cells,"in vivo ANI_NO_DMS, DMSMaP-seq",Whole Cells,Wild-Type,Fragmented total RNA,GSM3168365
SRR7241889,15432739,1543273900,100,662,SRX4147662,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149443,PRJNA473986,31858614,"",SRS3361253,SAMN09288750,simple,4932,Saccharomyces cerevisiae,GSM3168366,GEO,SRA713163,01,2019,Tesina,Whole Cells,"in vivo ANI_300uL_DMS, DMSMaP-seq",Whole Cells,Wild-Type,Fragmented total RNA,GSM3168366
SRR7241890,13639388,681969400,50,349,SRX4147663,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149443,PRJNA473986,31858614,"",SRS3361254,SAMN09288749,simple,4932,Saccharomyces cerevisiae,GSM3168367,GEO,SRA713163,01,2019,Tesina,Whole Cells,"in vivo ANI_600uL_DMS, DMSMaP-seq",Whole Cells,Wild-Type,Fragmented total RNA,GSM3168367
SRR7241891,31480098,1574004900,50,783,SRX4147664,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149443,PRJNA473986,31858614,"",SRS3361255,SAMN09288748,simple,4932,Saccharomyces cerevisiae,GSM3168368,GEO,SRA713163,01,2019,Tesina,Whole Cells,"lysate no_drug_NO_DMS, DMSMaP-seq",Whole Cells,Wild-Type,Fragmented total RNA,GSM3168368
SRR7241892,20655143,1032757150,50,517,SRX4147665,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149443,PRJNA473986,31858614,"",SRS3361256,SAMN09288747,simple,4932,Saccharomyces cerevisiae,GSM3168369,GEO,SRA713163,01,2019,Tesina,Whole Cells,"lysate no_drug_40mM_DMS, DMSMaP-seq",Whole Cells,Wild-Type,Fragmented total RNA,GSM3168369
SRR7241893,29067985,1453399250,50,729,SRX4147666,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149443,PRJNA473986,31858614,"",SRS3361257,SAMN09288746,simple,4932,Saccharomyces cerevisiae,GSM3168370,GEO,SRA713163,01,2019,Tesina,Whole Cells,"lysate no_drug_90mM_DMS, DMSMaP-seq",Whole Cells,Wild-Type,Fragmented total RNA,GSM3168370
SRR7241894,27268621,1363431050,50,683,SRX4147667,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149443,PRJNA473986,31858614,"",SRS3361258,SAMN09288745,simple,4932,Saccharomyces cerevisiae,GSM3168371,GEO,SRA713163,01,2019,Tesina,Whole Cells,"lysate ANI_NO_DMS, DMSMaP-seq",Whole Cells,Wild-Type,Fragmented total RNA,GSM3168371
SRR7241895,28766849,1438342450,50,716,SRX4147668,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149443,PRJNA473986,31858614,"",SRS3361259,SAMN09288743,simple,4932,Saccharomyces cerevisiae,GSM3168372,GEO,SRA713163,01,2019,Tesina,Whole Cells,"lysate ANI_40mM_DMS, DMSMaP-seq",Whole Cells,Wild-Type,Fragmented total RNA,GSM3168372
