Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain background,genotype/variation,treated with,molecule subtype,GEO Accession
SRR7265151,26137107,1332992457,51,510,SRX4169280,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149818,PRJNA474715,30016623,"",SRS3381226,SAMN09370711,simple,4932,Saccharomyces cerevisiae,GSM3176620,GEO,SRA715427,08,2018,Van,vegetative exponential WT cells untreated,1362 mrna,vegetative exponential WT cells untreated,SK1,WT,none (untreated),ribosome footprints,GSM3176620
SRR7265152,22423095,1143577845,51,617,SRX4169280,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149818,PRJNA474715,30016623,"",SRS3381226,SAMN09370711,simple,4932,Saccharomyces cerevisiae,GSM3176620,GEO,SRA715427,08,2018,Van,vegetative exponential WT cells untreated,1362 mrna,vegetative exponential WT cells treated with DTT,SK1,WT,5mM DTT,ribosome footprints,GSM3176621
SRR7265153,25325345,1291592595,51,497,SRX4169281,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149818,PRJNA474715,30016623,"",SRS3381227,SAMN09370710,simple,4932,Saccharomyces cerevisiae,GSM3176621,GEO,SRA715427,08,2018,Van,vegetative exponential WT cells treated with DTT,1362 DTT mrna,vegetative exponential WT cells treated with Tm,SK1,WT,2μg/mL Tm,ribosome footprints,GSM3176622
SRR7265154,21747914,1109143614,51,600,SRX4169281,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149818,PRJNA474715,30016623,"",SRS3381227,SAMN09370710,simple,4932,Saccharomyces cerevisiae,GSM3176621,GEO,SRA715427,08,2018,Van,vegetative exponential WT cells treated with DTT,1362 DTT mrna,vegetative exponential hac1 delete cells untreated,SK1,hac1 deleted,none (untreated),ribosome footprints,GSM3176623
SRR7265155,27394719,1397130669,51,540,SRX4169282,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149818,PRJNA474715,30016623,"",SRS3381228,SAMN09370709,simple,4932,Saccharomyces cerevisiae,GSM3176622,GEO,SRA715427,08,2018,Van,vegetative exponential WT cells treated with Tm,1362 Tm mrna,vegetative exponential hac1 delete cells treated with DTT,SK1,hac1 deleted,5mM DTT,ribosome footprints,GSM3176624
SRR7265156,23675120,1207431120,51,655,SRX4169282,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149818,PRJNA474715,30016623,"",SRS3381228,SAMN09370709,simple,4932,Saccharomyces cerevisiae,GSM3176622,GEO,SRA715427,08,2018,Van,vegetative exponential WT cells treated with Tm,1362 Tm mrna,vegetative exponential hac1 delete cells treated with Tm,SK1,hac1 deleted,2μg/mL Tm,ribosome footprints,GSM3176625
SRR7265157,25924430,1322145930,51,502,SRX4169283,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149818,PRJNA474715,30016623,"",SRS3381229,SAMN09370708,simple,4932,Saccharomyces cerevisiae,GSM3176623,GEO,SRA715427,08,2018,Van,vegetative exponential hac1 delete cells untreated,4431 mrna,vegetative exponential WT cells untreated,SK1,WT,none (untreated),mRNA,GSM3176626
SRR7265158,22336914,1139182614,51,610,SRX4169283,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149818,PRJNA474715,30016623,"",SRS3381229,SAMN09370708,simple,4932,Saccharomyces cerevisiae,GSM3176623,GEO,SRA715427,08,2018,Van,vegetative exponential hac1 delete cells untreated,4431 mrna,vegetative exponential WT cells treated with DTT,SK1,WT,5mM DTT,mRNA,GSM3176627
SRR7265159,24201342,1234268442,51,468,SRX4169284,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149818,PRJNA474715,30016623,"",SRS3381230,SAMN09370707,simple,4932,Saccharomyces cerevisiae,GSM3176624,GEO,SRA715427,08,2018,Van,vegetative exponential hac1 delete cells treated with DTT,4431 DTT mrna,vegetative exponential WT cells treated with Tm,SK1,WT,2μg/mL Tm,mRNA,GSM3176628
SRR7265160,21134851,1077877401,51,575,SRX4169284,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149818,PRJNA474715,30016623,"",SRS3381230,SAMN09370707,simple,4932,Saccharomyces cerevisiae,GSM3176624,GEO,SRA715427,08,2018,Van,vegetative exponential hac1 delete cells treated with DTT,4431 DTT mrna,vegetative exponential hac1 delete cells untreated,SK1,hac1 deleted,none (untreated),mRNA,GSM3176629
SRR7265161,29360536,1497387336,51,579,SRX4169285,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149818,PRJNA474715,30016623,"",SRS3381233,SAMN09370706,simple,4932,Saccharomyces cerevisiae,GSM3176625,GEO,SRA715427,08,2018,Van,vegetative exponential hac1 delete cells treated with Tm,4431 mRNA Tm,vegetative exponential hac1 delete cells treated with DTT,SK1,hac1 deleted,5mM DTT,mRNA,GSM3176630
SRR7265162,25146257,1282459107,51,698,SRX4169285,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149818,PRJNA474715,30016623,"",SRS3381233,SAMN09370706,simple,4932,Saccharomyces cerevisiae,GSM3176625,GEO,SRA715427,08,2018,Van,vegetative exponential hac1 delete cells treated with Tm,4431 mRNA Tm,vegetative exponential hac1 delete cells treated with Tm,SK1,hac1 deleted,2μg/mL Tm,mRNA,GSM3176631
SRR7265163,21875521,1115651571,51,462,SRX4169286,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149818,PRJNA474715,30016623,"",SRS3381231,SAMN09370705,simple,4932,Saccharomyces cerevisiae,GSM3176626,GEO,SRA715427,08,2018,Van,vegetative exponential WT cells untreated,1362 fp,no TIR +auxin_no treatment,SK1,no TIR,"+auxin, no treatment",mRNA,GSM3176632
SRR7265164,16711663,852294813,51,504,SRX4169286,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149818,PRJNA474715,30016623,"",SRS3381231,SAMN09370705,simple,4932,Saccharomyces cerevisiae,GSM3176626,GEO,SRA715427,08,2018,Van,vegetative exponential WT cells untreated,1362 fp,no TIR +DMSO_+DTT,SK1,no TIR,"+DMSO, +DTT",mRNA,GSM3176633
SRR7265165,25301535,1290378285,51,533,SRX4169287,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149818,PRJNA474715,30016623,"",SRS3381232,SAMN09370704,simple,4932,Saccharomyces cerevisiae,GSM3176627,GEO,SRA715427,08,2018,Van,vegetative exponential WT cells treated with DTT,1362 dtt fp,no TIR +auxin +DTT,SK1,no TIR,+auxin +DTT,mRNA,GSM3176634
SRR7265166,19068027,972469377,51,574,SRX4169287,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149818,PRJNA474715,30016623,"",SRS3381232,SAMN09370704,simple,4932,Saccharomyces cerevisiae,GSM3176627,GEO,SRA715427,08,2018,Van,vegetative exponential WT cells treated with DTT,1362 dtt fp,no TIR +DMSO_+DTT,SK1,no TIR,"+DMSO, +DTT",mRNA,GSM3176635
SRR7265167,16659792,849649392,51,351,SRX4169288,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149818,PRJNA474715,30016623,"",SRS3381234,SAMN09370703,simple,4932,Saccharomyces cerevisiae,GSM3176628,GEO,SRA715427,08,2018,Van,vegetative exponential WT cells treated with Tm,1362 Tm fp,no TIR +auxin +DTT,SK1,no TIR,+auxin +DTT,mRNA,GSM3176636
SRR7265168,12329149,628786599,51,373,SRX4169288,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149818,PRJNA474715,30016623,"",SRS3381234,SAMN09370703,simple,4932,Saccharomyces cerevisiae,GSM3176628,GEO,SRA715427,08,2018,Van,vegetative exponential WT cells treated with Tm,1362 Tm fp,+TIR +auxin_no treatment,SK1,+TIR,"+auxin, no treatment",mRNA,GSM3176637
SRR7265169,23889824,1218381024,51,499,SRX4169289,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149818,PRJNA474715,30016623,"",SRS3381235,SAMN09370702,simple,4932,Saccharomyces cerevisiae,GSM3176629,GEO,SRA715427,08,2018,Van,vegetative exponential hac1 delete cells untreated,4431 fp,+TIR +DMSO_+DTT,SK1,+TIR,"+DMSO, +DTT",mRNA,GSM3176638
SRR7265170,17682725,901818975,51,531,SRX4169289,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149818,PRJNA474715,30016623,"",SRS3381235,SAMN09370702,simple,4932,Saccharomyces cerevisiae,GSM3176629,GEO,SRA715427,08,2018,Van,vegetative exponential hac1 delete cells untreated,4431 fp,+TIR +auxin +DTT,SK1,+TIR,+auxin +DTT,mRNA,GSM3176639
SRR7265171,32683855,1666876605,51,682,SRX4169290,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149818,PRJNA474715,30016623,"",SRS3381236,SAMN09370701,simple,4932,Saccharomyces cerevisiae,GSM3176630,GEO,SRA715427,08,2018,Van,vegetative exponential hac1 delete cells treated with DTT,4431 DTT fp,+TIR +auxin_no treatment,SK1,+TIR,"+auxin, no treatment",mRNA,GSM3176640
SRR7265172,25148907,1282594257,51,750,SRX4169290,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149818,PRJNA474715,30016623,"",SRS3381236,SAMN09370701,simple,4932,Saccharomyces cerevisiae,GSM3176630,GEO,SRA715427,08,2018,Van,vegetative exponential hac1 delete cells treated with DTT,4431 DTT fp,+TIR +DMSO_+DTT,SK1,+TIR,"+DMSO, +DTT",mRNA,GSM3176641
SRR7265173,21754134,1109460834,51,461,SRX4169291,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149818,PRJNA474715,30016623,"",SRS3381237,SAMN09370700,simple,4932,Saccharomyces cerevisiae,GSM3176631,GEO,SRA715427,08,2018,Van,vegetative exponential hac1 delete cells treated with Tm,4431 Tm fp,+TIR +auxin +DTT,SK1,+TIR,+auxin +DTT,mRNA,GSM3176642
SRR7265174,16041737,818128587,51,487,SRX4169291,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149818,PRJNA474715,30016623,"",SRS3381237,SAMN09370700,simple,4932,Saccharomyces cerevisiae,GSM3176631,GEO,SRA715427,08,2018,Van,vegetative exponential hac1 delete cells treated with Tm,4431 Tm fp,no TIR +auxin_no treatment,SK1,no TIR,"+auxin, no treatment",ribosome footprints,GSM3176643
SRR7265175,17847716,910233516,51,467,SRX4169292,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149818,PRJNA474715,30016623,"",SRS3381238,SAMN09370699,simple,4932,Saccharomyces cerevisiae,GSM3176632,GEO,SRA715427,08,2018,Van,no TIR +auxin_no treatment,"no TIR +auxin, no treatment 1hr mRNA",no TIR +DMSO_+DTT,SK1,no TIR,"+DMSO, +DTT",ribosome footprints,GSM3176644
SRR7265176,17867613,911248263,51,471,SRX4169292,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP149818,PRJNA474715,30016623,"",SRS3381238,SAMN09370699,simple,4932,Saccharomyces cerevisiae,GSM3176632,GEO,SRA715427,08,2018,Van,no TIR +auxin_no treatment,"no TIR +auxin, no treatment 1hr mRNA",no TIR +auxin +DTT,SK1,no TIR,+auxin +DTT,ribosome footprints,GSM3176645
