Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,isolate,age,biomaterial_provider,sex,tissue,cell_line,sample_type,treatment,rna_fraction,time_point,biological_replicate,BioSampleModel
SRR7300504,29843435,2133078964,49,985,SRX4202909,LIB_3D9L,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP150416,PRJNA475896,1,"",SRS3412632,SAMN09405520,simple,9606,Homo sapiens,3D9L,Institut Pasteur de Montevideo,SRA721313,11,2018,Makar,"","",human embryos isolate,0,"Monash Immunology and Stem Cell Laboratories, Monash University, Australia",female,cell line made from embryonic stem (ES) cells from human blastocysts,NKX2-5eGFP/w HES3,induced cell,9 days induction to cardiomyocyte,Free,9,3,Human
SRR7300503,29009841,2074688462,49,945,SRX4202910,LIB_3D9P,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP150416,PRJNA475896,1,"",SRS3412631,SAMN09405521,simple,9606,Homo sapiens,3D9P,Institut Pasteur de Montevideo,SRA721313,11,2018,Makar,"","",human embryos isolate,0,"Monash Immunology and Stem Cell Laboratories, Monash University, Australia",female,cell line made from embryonic stem (ES) cells from human blastocysts,NKX2-5eGFP/w HES3,induced cell,9 days induction to cardiomyocyte,Polysomal,9,3,Human
SRR7300502,26912802,1912303754,49,877,SRX4202911,LIB_3D4L,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP150416,PRJNA475896,1,"",SRS3412633,SAMN09405518,simple,9606,Homo sapiens,3D4L,Institut Pasteur de Montevideo,SRA721313,11,2018,Makar,"","",human embryos isolate,0,"Monash Immunology and Stem Cell Laboratories, Monash University, Australia",female,cell line made from embryonic stem (ES) cells from human blastocysts,NKX2-5eGFP/w HES3,induced cell,4 days induction to cardiomyocyte,Free,4,3,Human
SRR7300501,33652814,2406777214,49,1094,SRX4202912,LIB_3D4P,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP150416,PRJNA475896,1,"",SRS3412634,SAMN09405519,simple,9606,Homo sapiens,3D4P,Institut Pasteur de Montevideo,SRA721313,11,2018,Makar,"","",human embryos isolate,0,"Monash Immunology and Stem Cell Laboratories, Monash University, Australia",female,cell line made from embryonic stem (ES) cells from human blastocysts,NKX2-5eGFP/w HES3,induced cell,4 days induction to cardiomyocyte,Polysomal,4,3,Human
SRR7300500,25197388,1797170674,49,826,SRX4202913,LIB_3D1L,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP150416,PRJNA475896,1,"",SRS3412635,SAMN09405516,simple,9606,Homo sapiens,3D1L,Institut Pasteur de Montevideo,SRA721313,11,2018,Makar,"","",human embryos isolate,0,"Monash Immunology and Stem Cell Laboratories, Monash University, Australia",female,cell line made from embryonic stem (ES) cells from human blastocysts,NKX2-5eGFP/w HES3,induced cell,1 day induction to cardiomyocyte,Free,1,3,Human
SRR7300499,36001371,2574414381,49,1159,SRX4202914,LIB_3D1P,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP150416,PRJNA475896,1,"",SRS3412636,SAMN09405517,simple,9606,Homo sapiens,3D1P,Institut Pasteur de Montevideo,SRA721313,11,2018,Makar,"","",human embryos isolate,0,"Monash Immunology and Stem Cell Laboratories, Monash University, Australia",female,cell line made from embryonic stem (ES) cells from human blastocysts,NKX2-5eGFP/w HES3,induced cell,1 day induction to cardiomyocyte,Polysomal,1,3,Human
SRR7300498,38739706,2756865988,49,1267,SRX4202915,LIB_3D0L,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP150416,PRJNA475896,1,"",SRS3412637,SAMN09405514,simple,9606,Homo sapiens,3D0L,Institut Pasteur de Montevideo,SRA721313,11,2018,Makar,"","",human embryos isolate,0,"Monash Immunology and Stem Cell Laboratories, Monash University, Australia",female,cell line made from embryonic stem (ES) cells from human blastocysts,NKX2-5eGFP/w HES3,stem cell,no induction,Free,0,3,Human
SRR7300497,34775694,2486309640,49,1120,SRX4202916,LIB_3D0P,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP150416,PRJNA475896,1,"",SRS3412638,SAMN09405515,simple,9606,Homo sapiens,3D0P,Institut Pasteur de Montevideo,SRA721313,11,2018,Makar,"","",human embryos isolate,0,"Monash Immunology and Stem Cell Laboratories, Monash University, Australia",female,cell line made from embryonic stem (ES) cells from human blastocysts,NKX2-5eGFP/w HES3,stem cell,no induction,Polysomal,0,3,Human
SRR7300496,52207892,3719468567,49,1716,SRX4202917,LIB_3D15L,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP150416,PRJNA475896,1,"",SRS3412639,SAMN09405522,simple,9606,Homo sapiens,3D15L,Institut Pasteur de Montevideo,SRA721313,11,2018,Makar,"","",human embryos isolate,0,"Monash Immunology and Stem Cell Laboratories, Monash University, Australia",female,cell line made from embryonic stem (ES) cells from human blastocysts,NKX2-5eGFP/w HES3,induced cell,15 days induction to cardiomyocyte,Free,15,3,Human
SRR7300495,29228447,2090187725,49,955,SRX4202918,LIB_3D15P,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP150416,PRJNA475896,1,"",SRS3412640,SAMN09405523,simple,9606,Homo sapiens,3D15P,Institut Pasteur de Montevideo,SRA721313,11,2018,Makar,"","",human embryos isolate,0,"Monash Immunology and Stem Cell Laboratories, Monash University, Australia",female,cell line made from embryonic stem (ES) cells from human blastocysts,NKX2-5eGFP/w HES3,induced cell,15 days induction to cardiomyocyte,Polysomal,15,3,Human
