Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,strain,age,sex,tissue,BioSampleModel
SRR7640022,9886521,746482727,75,254,SRX4503502,TAC_3h_Rep-591_RNASeq,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP156230,PRJNA484227,31284834,"",SRS2558464,SAMN07719365,simple,10090,Mus musculus,09_2017_doroudgar_mouse,University Hospital Heidelberg,SRA750807,08,2019,Doroudgar,"",Model organism or animal sample from Mus Musculus,C57BL/6,10w,male,left ventricle,Model organism or animal
SRR7640021,54405396,4624458660,85,1894,SRX4503503,TAC_3h_Rep-591_RiboSeq,OTHER,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP156230,PRJNA484227,31284834,"",SRS2558464,SAMN07719365,simple,10090,Mus musculus,09_2017_doroudgar_mouse,University Hospital Heidelberg,SRA750807,08,2019,Doroudgar,"",Model organism or animal sample from Mus Musculus,C57BL/6,10w,male,left ventricle,Model organism or animal
SRR7640020,10022656,756597143,75,259,SRX4503504,TAC_3h_Rep-590_RNASeq,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP156230,PRJNA484227,31284834,"",SRS2558464,SAMN07719365,simple,10090,Mus musculus,09_2017_doroudgar_mouse,University Hospital Heidelberg,SRA750807,08,2019,Doroudgar,"",Model organism or animal sample from Mus Musculus,C57BL/6,10w,male,left ventricle,Model organism or animal
SRR7640019,56486373,4801341705,85,1996,SRX4503505,TAC_3h_Rep-590_RiboSeq,OTHER,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP156230,PRJNA484227,31284834,"",SRS2558464,SAMN07719365,simple,10090,Mus musculus,09_2017_doroudgar_mouse,University Hospital Heidelberg,SRA750807,08,2019,Doroudgar,"",Model organism or animal sample from Mus Musculus,C57BL/6,10w,male,left ventricle,Model organism or animal
SRR7640018,36409560,2912764800,80,1067,SRX4503506,TAC_2d_Rep-723_RNASeq,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP156230,PRJNA484227,31284834,"",SRS2558464,SAMN07719365,simple,10090,Mus musculus,09_2017_doroudgar_mouse,University Hospital Heidelberg,SRA750807,08,2019,Doroudgar,"",Model organism or animal sample from Mus Musculus,C57BL/6,10w,male,left ventricle,Model organism or animal
SRR7640017,29109319,2474292115,85,866,SRX4503507,TAC_2d_Rep-723_RiboSeq,OTHER,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP156230,PRJNA484227,31284834,"",SRS2558464,SAMN07719365,simple,10090,Mus musculus,09_2017_doroudgar_mouse,University Hospital Heidelberg,SRA750807,08,2019,Doroudgar,"",Model organism or animal sample from Mus Musculus,C57BL/6,10w,male,left ventricle,Model organism or animal
SRR7640016,44417481,3500226843,78,1259,SRX4503508,TAC_2d_Rep-717_RNASeq,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP156230,PRJNA484227,31284834,"",SRS2558464,SAMN07719365,simple,10090,Mus musculus,09_2017_doroudgar_mouse,University Hospital Heidelberg,SRA750807,08,2019,Doroudgar,"",Model organism or animal sample from Mus Musculus,C57BL/6,10w,male,left ventricle,Model organism or animal
SRR7640015,28127235,2390814975,85,858,SRX4503509,TAC_2d_Rep-717_RiboSeq,OTHER,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP156230,PRJNA484227,31284834,"",SRS2558464,SAMN07719365,simple,10090,Mus musculus,09_2017_doroudgar_mouse,University Hospital Heidelberg,SRA750807,08,2019,Doroudgar,"",Model organism or animal sample from Mus Musculus,C57BL/6,10w,male,left ventricle,Model organism or animal
SRR7640014,82666142,6613291360,80,2344,SRX4503510,TAC_2w_Rep-677_RNASeq,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP156230,PRJNA484227,31284834,"",SRS2558464,SAMN07719365,simple,10090,Mus musculus,09_2017_doroudgar_mouse,University Hospital Heidelberg,SRA750807,08,2019,Doroudgar,"",Model organism or animal sample from Mus Musculus,C57BL/6,10w,male,left ventricle,Model organism or animal
SRR7640013,40138878,2047082778,51,1382,SRX4503511,TAC_2w_Rep-677_RiboSeq,OTHER,RT-PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP156230,PRJNA484227,31284834,"",SRS2558464,SAMN07719365,simple,10090,Mus musculus,09_2017_doroudgar_mouse,University Hospital Heidelberg,SRA750807,08,2019,Doroudgar,"",Model organism or animal sample from Mus Musculus,C57BL/6,10w,male,left ventricle,Model organism or animal
