Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,type-material,growth phase,GEO Accession
SRR7698512,14003848,1414388648,101,757,SRX4556807,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP158023,PRJNA486172,32385251,"",SRS3673805,SAMN09839353,simple,227882,Streptomyces avermitilis MA-4680 = NBRC 14893,GSM3334088,GEO,SRA759525,03,2020,Kim,cell culture,TSS_TAP_treated1,cell culture,MA-4680,type strain of Streptomyces avermitilis,,GSM3334088
SRR7698513,11558262,1167384462,101,638,SRX4556808,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP158023,PRJNA486172,32385251,"",SRS3673804,SAMN09839352,simple,227882,Streptomyces avermitilis MA-4680 = NBRC 14893,GSM3334089,GEO,SRA759525,03,2020,Kim,cell culture,TSS_TAP_treated2,cell culture,MA-4680,type strain of Streptomyces avermitilis,,GSM3334089
SRR7698514,8677978,876475778,101,407,SRX4556809,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP158023,PRJNA486172,32385251,"",SRS3673806,SAMN09839374,simple,227882,Streptomyces avermitilis MA-4680 = NBRC 14893,GSM3334090,GEO,SRA759525,03,2020,Kim,cell culture,TSS_TAP_untreated1,cell culture,MA-4680,type strain of Streptomyces avermitilis,,GSM3334090
SRR7698515,7009201,707929301,101,367,SRX4556810,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP158023,PRJNA486172,32385251,"",SRS3673807,SAMN09839373,simple,227882,Streptomyces avermitilis MA-4680 = NBRC 14893,GSM3334091,GEO,SRA759525,03,2020,Kim,cell culture,TSS_TAP_untreated2,cell culture,MA-4680,type strain of Streptomyces avermitilis,,GSM3334091
SRR7698516,12838857,654781707,51,320,SRX4556811,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP158023,PRJNA486172,32385251,"",SRS3673808,SAMN09839372,simple,227882,Streptomyces avermitilis MA-4680 = NBRC 14893,GSM3334092,GEO,SRA759525,03,2020,Kim,cell culture,Term1,cell culture,MA-4680,type strain of Streptomyces avermitilis,,GSM3334092
SRR7698517,12149121,619605171,51,303,SRX4556812,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP158023,PRJNA486172,32385251,"",SRS3673809,SAMN09839371,simple,227882,Streptomyces avermitilis MA-4680 = NBRC 14893,GSM3334093,GEO,SRA759525,03,2020,Kim,cell culture,Term2,cell culture,MA-4680,type strain of Streptomyces avermitilis,,GSM3334093
SRR7698518,15222700,1537492700,101,722,SRX4556813,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP158023,PRJNA486172,32385251,"",SRS3673810,SAMN09839370,simple,227882,Streptomyces avermitilis MA-4680 = NBRC 14893,GSM3334094,GEO,SRA759525,03,2020,Kim,cell culture,RNA_E1,cell culture,MA-4680,type strain of Streptomyces avermitilis,mid-exponential phase (M),GSM3334094
SRR7698519,15540304,1569570704,101,741,SRX4556814,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP158023,PRJNA486172,32385251,"",SRS3673811,SAMN09839369,simple,227882,Streptomyces avermitilis MA-4680 = NBRC 14893,GSM3334095,GEO,SRA759525,03,2020,Kim,cell culture,RNA_E2,cell culture,MA-4680,type strain of Streptomyces avermitilis,mid-exponential phase (M),GSM3334095
SRR7698520,18962695,1915232195,101,916,SRX4556815,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP158023,PRJNA486172,32385251,"",SRS3673812,SAMN09839368,simple,227882,Streptomyces avermitilis MA-4680 = NBRC 14893,GSM3334096,GEO,SRA759525,03,2020,Kim,cell culture,RNA_T1,cell culture,MA-4680,type strain of Streptomyces avermitilis,transition phase (T),GSM3334096
SRR7698521,18054983,1823553283,101,859,SRX4556816,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP158023,PRJNA486172,32385251,"",SRS3673813,SAMN09839367,simple,227882,Streptomyces avermitilis MA-4680 = NBRC 14893,GSM3334097,GEO,SRA759525,03,2020,Kim,cell culture,RNA_T2,cell culture,MA-4680,type strain of Streptomyces avermitilis,transition phase (T),GSM3334097
SRR7698522,13904005,1404304505,101,665,SRX4556817,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP158023,PRJNA486172,32385251,"",SRS3673814,SAMN09839366,simple,227882,Streptomyces avermitilis MA-4680 = NBRC 14893,GSM3334098,GEO,SRA759525,03,2020,Kim,cell culture,RNA_L1,cell culture,MA-4680,type strain of Streptomyces avermitilis,late-exponential phase (L),GSM3334098
SRR7698523,16814305,1698244805,101,803,SRX4556818,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP158023,PRJNA486172,32385251,"",SRS3673815,SAMN09839365,simple,227882,Streptomyces avermitilis MA-4680 = NBRC 14893,GSM3334099,GEO,SRA759525,03,2020,Kim,cell culture,RNA_L2,cell culture,MA-4680,type strain of Streptomyces avermitilis,late-exponential phase (L),GSM3334099
SRR7698524,16662552,1682917752,101,794,SRX4556819,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP158023,PRJNA486172,32385251,"",SRS3673825,SAMN09839364,simple,227882,Streptomyces avermitilis MA-4680 = NBRC 14893,GSM3334100,GEO,SRA759525,03,2020,Kim,cell culture,RNA_S1,cell culture,MA-4680,type strain of Streptomyces avermitilis,stationary phase (S),GSM3334100
