Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,genotype/variation,GEO Accession
SRR7704596,22946511,1147325550,50,625,SRX4561869,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP158187,PRJNA486442,30553725,"",SRS3678297,SAMN09845986,simple,4932,Saccharomyces cerevisiae,GSM3336484,GEO,SRA760145,12,2018,Taggart,Budding yeast,DisomeWT_rep1_RPF,Budding yeast,W303,DisomeWT,GSM3336484
SRR7704597,21764719,1088235950,50,590,SRX4561870,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP158187,PRJNA486442,30553725,"",SRS3678298,SAMN09845985,simple,4932,Saccharomyces cerevisiae,GSM3336485,GEO,SRA760145,12,2018,Taggart,Budding yeast,Disome5_RPF,Budding yeast,W303,Disome5,GSM3336485
SRR7704598,24506485,1225324250,50,524,SRX4561871,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP158187,PRJNA486442,30553725,"",SRS3678299,SAMN09845984,simple,4932,Saccharomyces cerevisiae,GSM3336486,GEO,SRA760145,12,2018,Taggart,Budding yeast,DisomeWT_rep2_RPF,Budding yeast,W303,DisomeWT,GSM3336486
SRR7704599,28557169,1427858450,50,616,SRX4561872,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP158187,PRJNA486442,30553725,"",SRS3678302,SAMN09845983,simple,4932,Saccharomyces cerevisiae,GSM3336487,GEO,SRA760145,12,2018,Taggart,Budding yeast,Disome1_RPF,Budding yeast,W303,Disome1,GSM3336487
SRR7704600,23733813,1186690650,50,510,SRX4561873,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP158187,PRJNA486442,30553725,"",SRS3678301,SAMN09845982,simple,4932,Saccharomyces cerevisiae,GSM3336488,GEO,SRA760145,12,2018,Taggart,Budding yeast,Disome2_RPF,Budding yeast,W303,Disome2,GSM3336488
SRR7704601,31459368,1572968400,50,675,SRX4561874,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP158187,PRJNA486442,30553725,"",SRS3678300,SAMN09845981,simple,4932,Saccharomyces cerevisiae,GSM3336489,GEO,SRA760145,12,2018,Taggart,Budding yeast,Disome8_RPF,Budding yeast,W303,Disome8,GSM3336489
SRR7704602,24833244,1241662200,50,533,SRX4561875,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP158187,PRJNA486442,30553725,"",SRS3678304,SAMN09845980,simple,4932,Saccharomyces cerevisiae,GSM3336490,GEO,SRA760145,12,2018,Taggart,Budding yeast,Disome9_RPF,Budding yeast,W303,Disome9,GSM3336490
SRR7704603,25019640,1250982000,50,536,SRX4561876,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP158187,PRJNA486442,30553725,"",SRS3678303,SAMN09845979,simple,4932,Saccharomyces cerevisiae,GSM3336491,GEO,SRA760145,12,2018,Taggart,Budding yeast,Disome10_RPF,Budding yeast,W303,Disome10,GSM3336491
SRR7704604,29273420,1463671000,50,625,SRX4561877,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP158187,PRJNA486442,30553725,"",SRS3678305,SAMN09845978,simple,4932,Saccharomyces cerevisiae,GSM3336492,GEO,SRA760145,12,2018,Taggart,Budding yeast,Disome11_RPF,Budding yeast,W303,Disome11,GSM3336492
SRR7704605,24411768,1220588400,50,524,SRX4561878,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP158187,PRJNA486442,30553725,"",SRS3678306,SAMN09845977,simple,4932,Saccharomyces cerevisiae,GSM3336493,GEO,SRA760145,12,2018,Taggart,Budding yeast,Disome12_RPF,Budding yeast,W303,Disome12,GSM3336493
SRR7704606,26261654,1313082700,50,564,SRX4561879,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP158187,PRJNA486442,30553725,"",SRS3678307,SAMN09845976,simple,4932,Saccharomyces cerevisiae,GSM3336494,GEO,SRA760145,12,2018,Taggart,Budding yeast,Disome13_RPF,Budding yeast,W303,Disome13,GSM3336494
SRR7704607,23337894,1166894700,50,504,SRX4561880,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP158187,PRJNA486442,30553725,"",SRS3678308,SAMN09845975,simple,4932,Saccharomyces cerevisiae,GSM3336495,GEO,SRA760145,12,2018,Taggart,Budding yeast,Disome15_RPF,Budding yeast,W303,Disome15,GSM3336495
SRR7704608,23548805,1177440250,50,506,SRX4561881,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP158187,PRJNA486442,30553725,"",SRS3678309,SAMN09845974,simple,4932,Saccharomyces cerevisiae,GSM3336496,GEO,SRA760145,12,2018,Taggart,Budding yeast,Disome16_RPF,Budding yeast,W303,Disome16,GSM3336496
