Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,treatment,drug treatment in culture,harvesting method,strain,substrain,GEO Accession
SRR7759805,36601050,1830052500,50,862,SRX4615473,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP158945,PRJNA488109,30724162,"",SRS3718581,SAMN09925025,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM3358133,GEO,SRA763687,02,2019,Mohammad,cell cultures,media_Cm,cell cultures,media Cm,chloramphenicol,filtration,K-12,MG1655,GSM3358133
SRR7759806,28288208,1414410400,50,710,SRX4615474,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP158945,PRJNA488109,30724162,"",SRS3718589,SAMN09925024,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM3358134,GEO,SRA763687,02,2019,Mohammad,cell cultures,filter_Mg,cell cultures,filter Mg,none,filtration,K-12,MG1655,GSM3358134
SRR7759807,26387972,1319398600,50,657,SRX4615475,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP158945,PRJNA488109,30724162,"",SRS3718590,SAMN09925023,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM3358135,GEO,SRA763687,02,2019,Mohammad,cell cultures,filter_NaCl,cell cultures,filter NaCl,none,filtration,K-12,MG1655,GSM3358135
SRR7759808,14403864,720193200,50,434,SRX4615476,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP158945,PRJNA488109,30724162,"",SRS3718583,SAMN09925022,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM3358136,GEO,SRA763687,02,2019,Mohammad,cell cultures,filter_Mg_ctrl,cell cultures,filter Mg ctrl,none,filtration,K-12,MG1655,GSM3358136
SRR7759809,8152507,407625350,50,250,SRX4615477,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP158945,PRJNA488109,30724162,"",SRS3718582,SAMN09925021,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM3358137,GEO,SRA763687,02,2019,Mohammad,cell cultures,filter_Mg_MPC,cell cultures,filter Mg MPC,mupirocin,filtration,K-12,MG1655,GSM3358137
SRR7759810,9636652,481832600,50,281,SRX4615478,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP158945,PRJNA488109,30724162,"",SRS3718584,SAMN09925020,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM3358138,GEO,SRA763687,02,2019,Mohammad,cell cultures,filter_Cm_ctrl,cell cultures,filter Cm ctrl,none,filtration,K-12,MG1655,GSM3358138
SRR7759811,7925697,396284850,50,241,SRX4615479,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP158945,PRJNA488109,30724162,"",SRS3718585,SAMN09925019,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM3358139,GEO,SRA763687,02,2019,Mohammad,cell cultures,filter_Cm_MPC,cell cultures,filter Cm MPC,mupirocin,filtration,K-12,MG1655,GSM3358139
SRR7759812,25168043,1258402150,50,755,SRX4615480,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP158945,PRJNA488109,30724162,"",SRS3718586,SAMN09925018,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM3358140,GEO,SRA763687,02,2019,Mohammad,cell cultures,freeze_Mg_ctrl,cell cultures,freeze Mg ctrl,none,direct freeze,K-12,MG1655,GSM3358140
SRR7759813,6430033,321501650,50,194,SRX4615481,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP158945,PRJNA488109,30724162,"",SRS3718587,SAMN09925017,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM3358141,GEO,SRA763687,02,2019,Mohammad,cell cultures,freeze_Mg_MPC,cell cultures,freeze Mg MPC,mupirocin,direct freeze,K-12,MG1655,GSM3358141
SRR7759814,28622199,1431109950,50,818,SRX4615482,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP158945,PRJNA488109,30724162,"",SRS3718588,SAMN09925016,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM3358142,GEO,SRA763687,02,2019,Mohammad,cell cultures,freeze_Mg,cell cultures,freeze Mg,none,direct freeze,K-12,MG1655,GSM3358142
