Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,agent,cell type,GEO Accession
SRR7868089,30396100,1367824500,45,507,SRX4707269,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP161995,PRJNA491649,30380414,"",SRS3792989,SAMN10081276,simple,10090,Mus musculus,GSM3393163,GEO,SRA777459,09,2018,Zagore,GC1-spg cells (parental line),GC1-spg -dox 1 Ribsome Profiling,GC1-spg cells (parental line),None,Type B Spermatogonial Cells,GSM3393163
SRR7868090,28604905,1287220725,45,474,SRX4707270,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP161995,PRJNA491649,30380414,"",SRS3792990,SAMN10081275,simple,10090,Mus musculus,GSM3393164,GEO,SRA777459,09,2018,Zagore,GC1-spg cells (parental line),GC1-spg -dox 2 Ribsome Profiling,GC1-spg cells (parental line),None,Type B Spermatogonial Cells,GSM3393164
SRR7868091,25347184,1140623280,45,426,SRX4707271,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP161995,PRJNA491649,30380414,"",SRS3792991,SAMN10081274,simple,10090,Mus musculus,GSM3393165,GEO,SRA777459,09,2018,Zagore,GC1-spg cells (parental line),GC1-spg -dox 3 Ribsome Profiling,GC1-spg cells (parental line),None,Type B Spermatogonial Cells,GSM3393165
SRR7868092,30155211,1356984495,45,497,SRX4707272,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP161995,PRJNA491649,30380414,"",SRS3792992,SAMN10081273,simple,10090,Mus musculus,GSM3393166,GEO,SRA777459,09,2018,Zagore,GC1-spg cells (parental line),GC1-spg +dox 1 Ribsome Profiling,GC1-spg cells (parental line),Doxycycline,Type B Spermatogonial Cells,GSM3393166
SRR7868093,27762536,1249314120,45,475,SRX4707273,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP161995,PRJNA491649,30380414,"",SRS3792993,SAMN10081272,simple,10090,Mus musculus,GSM3393167,GEO,SRA777459,09,2018,Zagore,GC1-spg cells (parental line),GC1-spg +dox 2 Ribsome Profiling,GC1-spg cells (parental line),Doxycycline,Type B Spermatogonial Cells,GSM3393167
SRR7868094,26217145,1179771525,45,440,SRX4707274,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP161995,PRJNA491649,30380414,"",SRS3793003,SAMN10081271,simple,10090,Mus musculus,GSM3393168,GEO,SRA777459,09,2018,Zagore,GC1-spg cells (parental line),GC1-spg +dox 3 Ribsome Profiling,GC1-spg cells (parental line),Doxycycline,Type B Spermatogonial Cells,GSM3393168
SRR7868095,25000049,1125002205,45,431,SRX4707275,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP161995,PRJNA491649,30380414,"",SRS3792994,SAMN10081270,simple,10090,Mus musculus,GSM3393169,GEO,SRA777459,09,2018,Zagore,GC1-spg cells (parental line),GC1-spg -dox 1 RNA-Seq,GC1-spg cells (parental line),None,Type B Spermatogonial Cells,GSM3393169
SRR7868096,30249158,1361212110,45,515,SRX4707276,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP161995,PRJNA491649,30380414,"",SRS3792995,SAMN10081269,simple,10090,Mus musculus,GSM3393170,GEO,SRA777459,09,2018,Zagore,GC1-spg cells (parental line),GC1-spg -dox 2 RNA-Seq,GC1-spg cells (parental line),None,Type B Spermatogonial Cells,GSM3393170
SRR7868097,24295066,1093277970,45,417,SRX4707277,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP161995,PRJNA491649,30380414,"",SRS3792996,SAMN10081268,simple,10090,Mus musculus,GSM3393171,GEO,SRA777459,09,2018,Zagore,GC1-spg cells (parental line),GC1-spg -dox 3 RNA-Seq,GC1-spg cells (parental line),None,Type B Spermatogonial Cells,GSM3393171
SRR7868098,29626774,1333204830,45,502,SRX4707278,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP161995,PRJNA491649,30380414,"",SRS3792997,SAMN10081267,simple,10090,Mus musculus,GSM3393172,GEO,SRA777459,09,2018,Zagore,GC1-spg cells (parental line),GC1-spg +dox 1 RNA-Seq,GC1-spg cells (parental line),Doxycycline,Type B Spermatogonial Cells,GSM3393172
SRR7868099,25811525,1161518625,45,456,SRX4707279,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP161995,PRJNA491649,30380414,"",SRS3792998,SAMN10081266,simple,10090,Mus musculus,GSM3393173,GEO,SRA777459,09,2018,Zagore,GC1-spg cells (parental line),GC1-spg +dox 2 RNA-Seq,GC1-spg cells (parental line),Doxycycline,Type B Spermatogonial Cells,GSM3393173
SRR7868100,26501701,1192576545,45,455,SRX4707280,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP161995,PRJNA491649,30380414,"",SRS3792999,SAMN10081265,simple,10090,Mus musculus,GSM3393174,GEO,SRA777459,09,2018,Zagore,GC1-spg cells (parental line),GC1-spg +dox 3 RNA-Seq,GC1-spg cells (parental line),Doxycycline,Type B Spermatogonial Cells,GSM3393174
