Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,cell type,background strain,genotype,GEO Accession
SRR7956038,27423270,4168337040,76,2902,SRX4789719,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP163147,PRJNA494404,30542152,"",SRS3869035,SAMN10166840,simple,10090,Mus musculus,GSM3414907,GEO,SRA787914,12,2018,Jackson,Bone Marrow Derived Macrophages,BMDM_WTrep1_RNA_seq,Bone Marrow Derived Macrophages,bone marrow,Macrophage,C57BL/6,WT,GSM3414907
SRR7956039,30320917,4608779384,76,3208,SRX4789720,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP163147,PRJNA494404,30542152,"",SRS3869036,SAMN10166839,simple,10090,Mus musculus,GSM3414908,GEO,SRA787914,12,2018,Jackson,Bone Marrow Derived Macrophages,BMDM_WTrep2_RNA_seq,Bone Marrow Derived Macrophages,bone marrow,Macrophage,C57BL/6,WT,GSM3414908
SRR7956040,42888323,6519025096,76,4526,SRX4789721,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP163147,PRJNA494404,30542152,"",SRS3869037,SAMN10166838,simple,10090,Mus musculus,GSM3414909,GEO,SRA787914,12,2018,Jackson,Bone Marrow Derived Macrophages,BMDM_WTrep3_RNA_seq,Bone Marrow Derived Macrophages,bone marrow,Macrophage,C57BL/6,WT,GSM3414909
SRR7956041,41429601,6297299352,76,4374,SRX4789722,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP163147,PRJNA494404,30542152,"",SRS3869038,SAMN10166837,simple,10090,Mus musculus,GSM3414910,GEO,SRA787914,12,2018,Jackson,Bone Marrow Derived Macrophages,BMDM_LPSrep1_RNA_seq,Bone Marrow Derived Macrophages,bone marrow,Macrophage,C57BL/6,WT,GSM3414910
SRR7956042,42427387,6448962824,76,4462,SRX4789723,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP163147,PRJNA494404,30542152,"",SRS3869039,SAMN10166836,simple,10090,Mus musculus,GSM3414911,GEO,SRA787914,12,2018,Jackson,Bone Marrow Derived Macrophages,BMDM_LPSrep2_RNA_seq,Bone Marrow Derived Macrophages,bone marrow,Macrophage,C57BL/6,WT,GSM3414911
SRR7956043,35402614,5381197328,76,3719,SRX4789724,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP163147,PRJNA494404,30542152,"",SRS3869040,SAMN10166835,simple,10090,Mus musculus,GSM3414912,GEO,SRA787914,12,2018,Jackson,Bone Marrow Derived Macrophages,BMDM_LPSrep3_RNA_seq,Bone Marrow Derived Macrophages,bone marrow,Macrophage,C57BL/6,WT,GSM3414912
SRR7956044,14585980,2217068960,76,1131,SRX4789725,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP163147,PRJNA494404,30542152,"",SRS3869041,SAMN10166834,simple,10090,Mus musculus,GSM3414913,GEO,SRA787914,12,2018,Jackson,Bone Marrow Derived Macrophages,RiboTag_NT_Rep1,Bone Marrow Derived Macrophages,bone marrow,Macrophage,,LysM-Cre x RiboTag,GSM3414913
SRR7956045,20895647,3176138344,76,1647,SRX4789726,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP163147,PRJNA494404,30542152,"",SRS3869042,SAMN10166833,simple,10090,Mus musculus,GSM3414914,GEO,SRA787914,12,2018,Jackson,Bone Marrow Derived Macrophages,RiboTag_6hr_Rep1,Bone Marrow Derived Macrophages,bone marrow,Macrophage,,LysM-Cre x RiboTag,GSM3414914
SRR7956046,26509568,4029454336,76,2052,SRX4789727,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP163147,PRJNA494404,30542152,"",SRS3869043,SAMN10166832,simple,10090,Mus musculus,GSM3414915,GEO,SRA787914,12,2018,Jackson,Bone Marrow Derived Macrophages,RiboTag_24hr_Rep1,Bone Marrow Derived Macrophages,bone marrow,Macrophage,,LysM-Cre x RiboTag,GSM3414915
SRR7956047,25121733,3818503416,76,2038,SRX4789728,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP163147,PRJNA494404,30542152,"",SRS3869044,SAMN10166831,simple,10090,Mus musculus,GSM3414916,GEO,SRA787914,12,2018,Jackson,Bone Marrow Derived Macrophages,RiboTag_NT_Rep2,Bone Marrow Derived Macrophages,bone marrow,Macrophage,,LysM-Cre x RiboTag,GSM3414916
