Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,age,strain,genotype,treatment,fraction,time,tissue,GEO Accession
SRR8046000,15121493,756074650,50,257,SRX4875727,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP165608,PRJNA496049,31710314,"",SRS3928481,SAMN10236677,simple,10090,Mus musculus,GSM3427576,GEO,SRA793642,12,2019,Chang-Panesso,"Sham Bound, kidney",Sham Bound-R1,"Sham Bound, kidney",8-10 week,Mixed background,Kim1-GCE+/-; EGFPL10a+/-,Sham,bound (cell-type specific),Sham,Kidney,GSM3427576
SRR8046001,15064515,753225750,50,258,SRX4875727,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP165608,PRJNA496049,31710314,"",SRS3928481,SAMN10236677,simple,10090,Mus musculus,GSM3427576,GEO,SRA793642,12,2019,Chang-Panesso,"Sham Bound, kidney",Sham Bound-R1,"Sham Bound, kidney",8-10 week,Mixed background,Kim1-GCE+/-; EGFPL10a+/-,Sham,bound (cell-type specific),Sham,Kidney,GSM3427577
SRR8046002,15327339,766366950,50,259,SRX4875728,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP165608,PRJNA496049,31710314,"",SRS3928483,SAMN10236701,simple,10090,Mus musculus,GSM3427577,GEO,SRA793642,12,2019,Chang-Panesso,"Sham Bound, kidney",Sham Bound-R2,"Sham Bound, kidney",8-10 week,Mixed background,Kim1-GCE+/-; EGFPL10a+/-,Sham,bound (cell-type specific),Sham,Kidney,GSM3427578
SRR8046003,15303219,765160950,50,261,SRX4875728,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP165608,PRJNA496049,31710314,"",SRS3928483,SAMN10236701,simple,10090,Mus musculus,GSM3427577,GEO,SRA793642,12,2019,Chang-Panesso,"Sham Bound, kidney",Sham Bound-R2,"D2 IRI Bound, kidney",8-10 week,Mixed background,Kim1-GCE+/-; EGFPL10a+/-,IRI,bound (cell-type specific),D2,Kidney,GSM3427579
SRR8046004,16718605,835930250,50,285,SRX4875729,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP165608,PRJNA496049,31710314,"",SRS3928482,SAMN10236700,simple,10090,Mus musculus,GSM3427578,GEO,SRA793642,12,2019,Chang-Panesso,"Sham Bound, kidney",Sham Bound-R3,"D2 IRI Bound, kidney",8-10 week,Mixed background,Kim1-GCE+/-; EGFPL10a+/-,IRI,bound (cell-type specific),D2,Kidney,GSM3427580
SRR8046005,16662605,833130250,50,286,SRX4875729,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP165608,PRJNA496049,31710314,"",SRS3928482,SAMN10236700,simple,10090,Mus musculus,GSM3427578,GEO,SRA793642,12,2019,Chang-Panesso,"Sham Bound, kidney",Sham Bound-R3,"D2 IRI Bound, kidney",8-10 week,Mixed background,Kim1-GCE+/-; EGFPL10a+/-,IRI,bound (cell-type specific),D2,Kidney,GSM3427581
SRR8046006,16381643,819082150,50,280,SRX4875730,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP165608,PRJNA496049,31710314,"",SRS3928484,SAMN10236699,simple,10090,Mus musculus,GSM3427579,GEO,SRA793642,12,2019,Chang-Panesso,"D2 IRI Bound, kidney",D2 IRI Bound-R1,"D7 IRI Bound, kidney",8-10 week,Mixed background,Kim1-GCE+/-; EGFPL10a+/-,IRI,bound (cell-type specific),D7,Kidney,GSM3427582
SRR8046007,16318784,815939200,50,281,SRX4875730,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP165608,PRJNA496049,31710314,"",SRS3928484,SAMN10236699,simple,10090,Mus musculus,GSM3427579,GEO,SRA793642,12,2019,Chang-Panesso,"D2 IRI Bound, kidney",D2 IRI Bound-R1,"D7 IRI Bound, kidney",8-10 week,Mixed background,Kim1-GCE+/-; EGFPL10a+/-,IRI,bound (cell-type specific),D7,Kidney,GSM3427583
SRR8046008,12683686,634184300,50,216,SRX4875731,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP165608,PRJNA496049,31710314,"",SRS3928485,SAMN10236698,simple,10090,Mus musculus,GSM3427580,GEO,SRA793642,12,2019,Chang-Panesso,"D2 IRI Bound, kidney",D2 IRI Bound-R2,"D7 IRI Bound, kidney",8-10 week,Mixed background,Kim1-GCE+/-; EGFPL10a+/-,IRI,bound (cell-type specific),D7,Kidney,GSM3427584
SRR8046009,12617908,630895400,50,216,SRX4875731,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP165608,PRJNA496049,31710314,"",SRS3928485,SAMN10236698,simple,10090,Mus musculus,GSM3427580,GEO,SRA793642,12,2019,Chang-Panesso,"D2 IRI Bound, kidney",D2 IRI Bound-R2,"D14 IRI Bound, kidney",8-10 week,Mixed background,Kim1-GCE+/-; EGFPL10a+/-,IRI,bound (cell-type specific),D14,Kidney,GSM3427585
SRR8046010,13764865,688243250,50,235,SRX4875732,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP165608,PRJNA496049,31710314,"",SRS3928486,SAMN10236697,simple,10090,Mus musculus,GSM3427581,GEO,SRA793642,12,2019,Chang-Panesso,"D2 IRI Bound, kidney",D2 IRI Bound-R3,"D14 IRI Bound, kidney",8-10 week,Mixed background,Kim1-GCE+/-; EGFPL10a+/-,IRI,bound (cell-type specific),D14,Kidney,GSM3427586
