Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genotype,cell type,sample type,GEO Accession
SRR8130792,19104380,5731314000,150,2201,SRX4951914,,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP167150,PRJNA499089,30728504,"",SRS3993594,SAMN10343265,simple,10090,Mus musculus,GSM3450258,GEO,SRA800301,01,2019,Han,"Flt3L-DC, m6A_IP",WT_m6a_ip_1,"Flt3L-DC, m6A_IP",wt,Flt3L-DC,m6A_IP,GSM3450258
SRR8130793,14997229,4499168700,150,1727,SRX4951915,,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP167150,PRJNA499089,30728504,"",SRS3993593,SAMN10343264,simple,10090,Mus musculus,GSM3450259,GEO,SRA800301,01,2019,Han,"Flt3L-DC, m6A_IP",WT_m6a_ip_2,"Flt3L-DC, m6A_IP",wt,Flt3L-DC,m6A_IP,GSM3450259
SRR8130794,27432680,8229804000,150,3215,SRX4951916,,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP167150,PRJNA499089,30728504,"",SRS3993596,SAMN10343263,simple,10090,Mus musculus,GSM3450260,GEO,SRA800301,01,2019,Han,"Flt3L-DC, m6A_IP",ko_m6a_ip_1,"Flt3L-DC, m6A_IP",ythdf1-/-,Flt3L-DC,m6A_IP,GSM3450260
SRR8130795,14103454,4231036200,150,1659,SRX4951917,,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP167150,PRJNA499089,30728504,"",SRS3993597,SAMN10343262,simple,10090,Mus musculus,GSM3450261,GEO,SRA800301,01,2019,Han,"Flt3L-DC, m6A_IP",ko_m6a_ip_2,"Flt3L-DC, m6A_IP",ythdf1-/-,Flt3L-DC,m6A_IP,GSM3450261
SRR8130796,22253118,6675935400,150,2519,SRX4951918,,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP167150,PRJNA499089,30728504,"",SRS3993599,SAMN10343261,simple,10090,Mus musculus,GSM3450262,GEO,SRA800301,01,2019,Han,"Flt3L-DC, m6A_INPUT",WT_m6a_input_1,"Flt3L-DC, m6A_INPUT",wt,Flt3L-DC,m6A_INPUT,GSM3450262
SRR8130797,19048995,5714698500,150,2157,SRX4951919,,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP167150,PRJNA499089,30728504,"",SRS3993600,SAMN10343260,simple,10090,Mus musculus,GSM3450263,GEO,SRA800301,01,2019,Han,"Flt3L-DC, m6A_INPUT",WT_m6a_input_2,"Flt3L-DC, m6A_INPUT",wt,Flt3L-DC,m6A_INPUT,GSM3450263
SRR8130798,12601456,3780436800,150,1445,SRX4951920,,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP167150,PRJNA499089,30728504,"",SRS3993601,SAMN10343259,simple,10090,Mus musculus,GSM3450264,GEO,SRA800301,01,2019,Han,"Flt3L-DC, m6A_INPUT",ko_m6a_input_1,"Flt3L-DC, m6A_INPUT",ythdf1-/-,Flt3L-DC,m6A_INPUT,GSM3450264
SRR8130799,6218403,1865520900,150,705,SRX4951921,,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP167150,PRJNA499089,30728504,"",SRS3993621,SAMN10343258,simple,10090,Mus musculus,GSM3450265,GEO,SRA800301,01,2019,Han,"Flt3L-DC, m6A_INPUT",ko_m6a_input_2,"Flt3L-DC, m6A_INPUT",ythdf1-/-,Flt3L-DC,m6A_INPUT,GSM3450265
SRR8130800,17968772,5390631600,150,2068,SRX4951922,,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP167150,PRJNA499089,30728504,"",SRS3993622,SAMN10343257,simple,10090,Mus musculus,GSM3450266,GEO,SRA800301,01,2019,Han,"Flt3L-DC, RIP_IP",WT_rip_ip_1,"Flt3L-DC, RIP_IP",wt,Flt3L-DC,RIP_IP,GSM3450266
SRR8130801,14835360,4450608000,150,1716,SRX4951923,,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP167150,PRJNA499089,30728504,"",SRS3993602,SAMN10343256,simple,10090,Mus musculus,GSM3450267,GEO,SRA800301,01,2019,Han,"Flt3L-DC, RIP_IP",WT_rip_ip_2,"Flt3L-DC, RIP_IP",wt,Flt3L-DC,RIP_IP,GSM3450267
