Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,isolate,age,biomaterial_provider,sex,tissue,cell_line,sample_type,BioSampleModel
SRR8130843,38221902,2904864552,76,1141,SRX4951948,Total_9,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167154,PRJNA499096,1,"",SRS3993628,SAMN10343283,simple,9606,Homo sapiens,MKL1 N200,Institut Pasteur de Montevideo,SRA800308,11,2019,Makar,"","",not applicable,not applicable,Gills Flouriot - Universit de Rennes 1-IRSET,not applicable,not applicable,MKL1 N200,cell culture,Human
SRR8130842,41021377,3117624652,76,1239,SRX4951949,Total_8,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167154,PRJNA499096,1,"",SRS3993627,SAMN10343284,simple,9606,Homo sapiens,MKL1 C301,Institut Pasteur de Montevideo,SRA800308,11,2019,Makar,"","",not applicable,not applicable,Gills Flouriot - Universit de Rennes 1-IRSET,not applicable,not applicable,MKL1 C301,cell culture,Human
SRR8130841,7158401,544038476,76,229,SRX4951950,RPF_10,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167154,PRJNA499096,1,"",SRS3993629,SAMN10343282,simple,9606,Homo sapiens,MCF7 control,Institut Pasteur de Montevideo,SRA800308,11,2019,Makar,"","",not applicable,not applicable,Gills Flouriot - Universit de Rennes 1-IRSET,not applicable,not applicable,MCF7 control,cell culture,Human
SRR8130840,37305308,2835203408,76,1124,SRX4951951,RPF_8,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167154,PRJNA499096,1,"",SRS3993627,SAMN10343284,simple,9606,Homo sapiens,MKL1 C301,Institut Pasteur de Montevideo,SRA800308,11,2019,Makar,"","",not applicable,not applicable,Gills Flouriot - Universit de Rennes 1-IRSET,not applicable,not applicable,MKL1 C301,cell culture,Human
SRR8130839,41105307,3124003332,76,1197,SRX4951952,RPF_9,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167154,PRJNA499096,1,"",SRS3993628,SAMN10343283,simple,9606,Homo sapiens,MKL1 N200,Institut Pasteur de Montevideo,SRA800308,11,2019,Makar,"","",not applicable,not applicable,Gills Flouriot - Universit de Rennes 1-IRSET,not applicable,not applicable,MKL1 N200,cell culture,Human
SRR8130838,43761050,3325839800,76,1297,SRX4951953,RPF_5,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167154,PRJNA499096,1,"",SRS3993628,SAMN10343283,simple,9606,Homo sapiens,MKL1 N200,Institut Pasteur de Montevideo,SRA800308,11,2019,Makar,"","",not applicable,not applicable,Gills Flouriot - Universit de Rennes 1-IRSET,not applicable,not applicable,MKL1 N200,cell culture,Human
SRR8130837,38515016,2927141216,76,1150,SRX4951954,Total_1,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167154,PRJNA499096,1,"",SRS3993627,SAMN10343284,simple,9606,Homo sapiens,MKL1 C301,Institut Pasteur de Montevideo,SRA800308,11,2019,Makar,"","",not applicable,not applicable,Gills Flouriot - Universit de Rennes 1-IRSET,not applicable,not applicable,MKL1 C301,cell culture,Human
SRR8130836,43199078,3283129928,76,1297,SRX4951955,RPF_11,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167154,PRJNA499096,1,"",SRS3993629,SAMN10343282,simple,9606,Homo sapiens,MCF7 control,Institut Pasteur de Montevideo,SRA800308,11,2019,Makar,"","",not applicable,not applicable,Gills Flouriot - Universit de Rennes 1-IRSET,not applicable,not applicable,MCF7 control,cell culture,Human
SRR8130835,29592255,2249011380,76,933,SRX4951956,RPF_6,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167154,PRJNA499096,1,"",SRS3993629,SAMN10343282,simple,9606,Homo sapiens,MCF7 control,Institut Pasteur de Montevideo,SRA800308,11,2019,Makar,"","",not applicable,not applicable,Gills Flouriot - Universit de Rennes 1-IRSET,not applicable,not applicable,MCF7 control,cell culture,Human
SRR8130834,38536992,2928811392,76,1168,SRX4951957,RPF_4,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167154,PRJNA499096,1,"",SRS3993627,SAMN10343284,simple,9606,Homo sapiens,MKL1 C301,Institut Pasteur de Montevideo,SRA800308,11,2019,Makar,"","",not applicable,not applicable,Gills Flouriot - Universit de Rennes 1-IRSET,not applicable,not applicable,MKL1 C301,cell culture,Human
SRR8130833,33022092,2509678992,76,1010,SRX4951958,Total_11,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167154,PRJNA499096,1,"",SRS3993629,SAMN10343282,simple,9606,Homo sapiens,MCF7 control,Institut Pasteur de Montevideo,SRA800308,11,2019,Makar,"","",not applicable,not applicable,Gills Flouriot - Universit de Rennes 1-IRSET,not applicable,not applicable,MCF7 control,cell culture,Human
SRR8130832,33470339,2543745764,76,1000,SRX4951959,Total_10,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167154,PRJNA499096,1,"",SRS3993629,SAMN10343282,simple,9606,Homo sapiens,MCF7 control,Institut Pasteur de Montevideo,SRA800308,11,2019,Makar,"","",not applicable,not applicable,Gills Flouriot - Universit de Rennes 1-IRSET,not applicable,not applicable,MCF7 control,cell culture,Human
SRR8130831,38906075,2956861700,76,1155,SRX4951960,RPF_2,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167154,PRJNA499096,1,"",SRS3993628,SAMN10343283,simple,9606,Homo sapiens,MKL1 N200,Institut Pasteur de Montevideo,SRA800308,11,2019,Makar,"","",not applicable,not applicable,Gills Flouriot - Universit de Rennes 1-IRSET,not applicable,not applicable,MKL1 N200,cell culture,Human
SRR8130830,28125701,2137553276,76,853,SRX4951961,RPF_1,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167154,PRJNA499096,1,"",SRS3993627,SAMN10343284,simple,9606,Homo sapiens,MKL1 C301,Institut Pasteur de Montevideo,SRA800308,11,2019,Makar,"","",not applicable,not applicable,Gills Flouriot - Universit de Rennes 1-IRSET,not applicable,not applicable,MKL1 C301,cell culture,Human
SRR8130829,38055857,2892245132,76,1144,SRX4951962,Total_6,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167154,PRJNA499096,1,"",SRS3993629,SAMN10343282,simple,9606,Homo sapiens,MCF7 control,Institut Pasteur de Montevideo,SRA800308,11,2019,Makar,"","",not applicable,not applicable,Gills Flouriot - Universit de Rennes 1-IRSET,not applicable,not applicable,MCF7 control,cell culture,Human
SRR8130828,38288161,2909900236,76,1140,SRX4951963,Total_5,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167154,PRJNA499096,1,"",SRS3993628,SAMN10343283,simple,9606,Homo sapiens,MKL1 N200,Institut Pasteur de Montevideo,SRA800308,11,2019,Makar,"","",not applicable,not applicable,Gills Flouriot - Universit de Rennes 1-IRSET,not applicable,not applicable,MKL1 N200,cell culture,Human
SRR8130827,37674619,2863271044,76,1124,SRX4951964,Total_4,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167154,PRJNA499096,1,"",SRS3993627,SAMN10343284,simple,9606,Homo sapiens,MKL1 C301,Institut Pasteur de Montevideo,SRA800308,11,2019,Makar,"","",not applicable,not applicable,Gills Flouriot - Universit de Rennes 1-IRSET,not applicable,not applicable,MKL1 C301,cell culture,Human
SRR8130826,38935353,2959086828,76,1166,SRX4951965,Total_2,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP167154,PRJNA499096,1,"",SRS3993628,SAMN10343283,simple,9606,Homo sapiens,MKL1 N200,Institut Pasteur de Montevideo,SRA800308,11,2019,Makar,"","",not applicable,not applicable,Gills Flouriot - Universit de Rennes 1-IRSET,not applicable,not applicable,MKL1 N200,cell culture,Human
