Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,shRNA,fraction,GEO Accession
SRR8135324,15512190,775609500,50,271,SRX4956352,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP167238,PRJNA501872,30867593,"",SRS3997275,SAMN10347834,simple,9606,Homo sapiens,GSM3450413,GEO,SRA800748,02,2019,Huang,HepG2 cells,HepG2 shCtrl input rep1 (Ribo-seq),HepG2 cells,HepG2,Non specific control,input,GSM3450413
SRR8135325,29858626,1492931300,50,507,SRX4956352,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP167238,PRJNA501872,30867593,"",SRS3997275,SAMN10347834,simple,9606,Homo sapiens,GSM3450413,GEO,SRA800748,02,2019,Huang,HepG2 cells,HepG2 shCtrl input rep1 (Ribo-seq),HepG2 cells,HepG2,Non specific control,input,GSM3450414
SRR8135326,25121347,1256067350,50,433,SRX4956353,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP167238,PRJNA501872,30867593,"",SRS3997276,SAMN10347833,simple,9606,Homo sapiens,GSM3450414,GEO,SRA800748,02,2019,Huang,HepG2 cells,HepG2 shCtrl input rep2 (Ribo-seq),HepG2 cells,HepG2,shMETTL14,input,GSM3450415
SRR8135327,16389647,819482350,50,277,SRX4956353,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP167238,PRJNA501872,30867593,"",SRS3997276,SAMN10347833,simple,9606,Homo sapiens,GSM3450414,GEO,SRA800748,02,2019,Huang,HepG2 cells,HepG2 shCtrl input rep2 (Ribo-seq),HepG2 cells,HepG2,shMETTL14,input,GSM3450416
SRR8135328,18425022,921251100,50,318,SRX4956354,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP167238,PRJNA501872,30867593,"",SRS3997277,SAMN10347831,simple,9606,Homo sapiens,GSM3450415,GEO,SRA800748,02,2019,Huang,HepG2 cells,HepG2 shMETTL14 input rep1 (Ribo-seq),HepG2 cells,HepG2,shSETD2,input,GSM3450417
SRR8135329,28141058,1407052900,50,476,SRX4956354,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP167238,PRJNA501872,30867593,"",SRS3997277,SAMN10347831,simple,9606,Homo sapiens,GSM3450415,GEO,SRA800748,02,2019,Huang,HepG2 cells,HepG2 shMETTL14 input rep1 (Ribo-seq),HepG2 cells,HepG2,shSETD2,input,GSM3450418
SRR8135330,18012458,900622900,50,311,SRX4956355,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP167238,PRJNA501872,30867593,"",SRS3997278,SAMN10347830,simple,9606,Homo sapiens,GSM3450416,GEO,SRA800748,02,2019,Huang,HepG2 cells,HepG2 shMETTL14 input rep2 (Ribo-seq),HepG2 cells,HepG2,Non specific control,80S monosome,GSM3450419
SRR8135331,26305934,1315296700,50,443,SRX4956355,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP167238,PRJNA501872,30867593,"",SRS3997278,SAMN10347830,simple,9606,Homo sapiens,GSM3450416,GEO,SRA800748,02,2019,Huang,HepG2 cells,HepG2 shMETTL14 input rep2 (Ribo-seq),HepG2 cells,HepG2,Non specific control,80S monosome,GSM3450420
SRR8135332,17698713,884935650,50,306,SRX4956356,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP167238,PRJNA501872,30867593,"",SRS3997280,SAMN10347829,simple,9606,Homo sapiens,GSM3450417,GEO,SRA800748,02,2019,Huang,HepG2 cells,HepG2 shSETD2 input rep1 (Ribo-seq),HepG2 cells,HepG2,shMETTL14,80S monosome,GSM3450421
SRR8135333,27948708,1397435400,50,472,SRX4956356,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP167238,PRJNA501872,30867593,"",SRS3997280,SAMN10347829,simple,9606,Homo sapiens,GSM3450417,GEO,SRA800748,02,2019,Huang,HepG2 cells,HepG2 shSETD2 input rep1 (Ribo-seq),HepG2 cells,HepG2,shMETTL14,80S monosome,GSM3450422
SRR8135334,20440669,1022033450,50,354,SRX4956357,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP167238,PRJNA501872,30867593,"",SRS3997279,SAMN10347828,simple,9606,Homo sapiens,GSM3450418,GEO,SRA800748,02,2019,Huang,HepG2 cells,HepG2 shSETD2 input rep2 (Ribo-seq),HepG2 cells,HepG2,shSETD2,80S monosome,GSM3450423
SRR8135335,21542976,1077148800,50,365,SRX4956357,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP167238,PRJNA501872,30867593,"",SRS3997279,SAMN10347828,simple,9606,Homo sapiens,GSM3450418,GEO,SRA800748,02,2019,Huang,HepG2 cells,HepG2 shSETD2 input rep2 (Ribo-seq),HepG2 cells,HepG2,shSETD2,80S monosome,GSM3450424
