Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,strain,host,collection_date,geo_loc_name,sample_type,collected_by,detailed_experiment,BioSampleModel
SRR8144035,10298696,2777738354,134,1013,SRX4964658,Trp_500uM_R2_bin4,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP167419,PRJNA503322,1,"",SRS4004264,SAMN10358631,simple,562,Escherichia coli,Trp_500uM_R2_bin4,Tsinghua University,SRA801834,12,2018,Makar,"",Trp_500uM_replicate2_bin4,K12 MG1655,bacteria,2017-01-17,China,cell culture,Xiang Zheng,This replicate 2 sample is treated with 500uM tryptophan (Ala-Trp dipeptide) for ~ 5 hours and sorted into bin4 (bin5 < (GFP reporter)/(mCherry control) < bin3) by FACS,"Microbe, viral or environmental"
SRR8144034,10433993,2815116194,134,1041,SRX4964659,Trp_500uM_R2_bin3,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP167419,PRJNA503322,1,"",SRS4004265,SAMN10358630,simple,562,Escherichia coli,Trp_500uM_R2_bin3,Tsinghua University,SRA801834,12,2018,Makar,"",Trp_500uM_replicate2_bin3,K12 MG1655,bacteria,2017-01-17,China,cell culture,Xiang Zheng,This replicate 2 sample is treated with 500uM tryptophan (Ala-Trp dipeptide) for ~ 5 hours and sorted into bin3 (bin4 < (GFP reporter)/(mCherry control) < bin2) by FACS,"Microbe, viral or environmental"
SRR8144033,10347853,2790524633,134,1046,SRX4964660,Trp_500uM_R2_bin6,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP167419,PRJNA503322,1,"",SRS4004266,SAMN10358633,simple,562,Escherichia coli,Trp_500uM_R2_bin6,Tsinghua University,SRA801834,12,2018,Makar,"",Trp_500uM_replicate2_bin6,K12 MG1655,bacteria,2017-01-17,China,cell culture,Xiang Zheng,This replicate 2 sample is treated with 500uM tryptophan (Ala-Trp dipeptide) for ~ 5 hours and sorted into bin6 (the weakest (GFP reporter)/(mCherry control)) by FACS,"Microbe, viral or environmental"
SRR8144032,12545466,3382357620,134,1356,SRX4964661,Trp_0uM_R2_bin6,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP167419,PRJNA503322,1,"",SRS4004267,SAMN10358609,simple,562,Escherichia coli,Trp_0uM_R2_bin6,Tsinghua University,SRA801834,12,2018,Makar,"",Trp_0uM_replicate2_bin6,K12 MG1655,bacteria,2017-01-17,China,cell culture,Xiang Zheng,This replicate 2 sample is treated with 0uM tryptophan (Ala-Trp dipeptide) for ~ 5 hours and sorted into bin6 (the weakest (GFP reporter)/(mCherry control)) by FACS,"Microbe, viral or environmental"
SRR8144031,9753134,2629649010,134,1064,SRX4964662,Trp_0uM_R2_bin5,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP167419,PRJNA503322,1,"",SRS4004268,SAMN10358608,simple,562,Escherichia coli,Trp_0uM_R2_bin5,Tsinghua University,SRA801834,12,2018,Makar,"",Trp_0uM_replicate2_bin5,K12 MG1655,bacteria,2017-01-17,China,cell culture,Xiang Zheng,This replicate 2 sample is treated with 0uM tryptophan (Ala-Trp dipeptide) for ~ 5 hours and sorted into bin5 (bin6 < (GFP reporter)/(mCherry control) < bin4) by FACS,"Microbe, viral or environmental"
SRR8144030,10405471,2804807790,134,1135,SRX4964663,Trp_0uM_R2_bin4,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP167419,PRJNA503322,1,"",SRS4004269,SAMN10358607,simple,562,Escherichia coli,Trp_0uM_R2_bin4,Tsinghua University,SRA801834,12,2018,Makar,"",Trp_0uM_replicate2_bin4,K12 MG1655,bacteria,2017-01-17,China,cell culture,Xiang Zheng,This replicate 2 sample is treated with 0uM tryptophan (Ala-Trp dipeptide) for ~ 5 hours and sorted into bin4 (bin5 < (GFP reporter)/(mCherry control) < bin3) by FACS,"Microbe, viral or environmental"
SRR8144029,10868555,2931238437,134,1184,SRX4964664,Trp_0uM_R2_bin3,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP167419,PRJNA503322,1,"",SRS4004270,SAMN10358606,simple,562,Escherichia coli,Trp_0uM_R2_bin3,Tsinghua University,SRA801834,12,2018,Makar,"",Trp_0uM_replicate2_bin3,K12 MG1655,bacteria,2017-01-17,China,cell culture,Xiang Zheng,This replicate 2 sample is treated with 0uM tryptophan (Ala-Trp dipeptide) for ~ 5 hours and sorted into bin3 (bin4 < (GFP reporter)/(mCherry control) < bin2) by FACS,"Microbe, viral or environmental"
SRR8144028,11883304,3205798593,134,1123,SRX4964665,Trp_100uM_R1_bin4,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP167419,PRJNA503322,1,"",SRS4004271,SAMN10358613,simple,562,Escherichia coli,Trp_100uM_R1_bin4,Tsinghua University,SRA801834,12,2018,Makar,"",Trp_100uM_replicate1_bin4,K12 MG1655,bacteria,2017-01-17,China,cell culture,Xiang Zheng,This replicate 1 sample is treated with 100uM tryptophan (Ala-Trp dipeptide) for ~ 5 hours and sorted into bin4 (bin5 < (GFP reporter)/(mCherry control) < bin3) by FACS,"Microbe, viral or environmental"
SRR8144027,9550934,2576023726,134,949,SRX4964666,Trp_100uM_R1_bin3,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP167419,PRJNA503322,1,"",SRS4004272,SAMN10358612,simple,562,Escherichia coli,Trp_100uM_R1_bin3,Tsinghua University,SRA801834,12,2018,Makar,"",Trp_100uM_replicate1_bin3,K12 MG1655,bacteria,2017-01-17,China,cell culture,Xiang Zheng,This replicate 1 sample is treated with 100uM tryptophan (Ala-Trp dipeptide) for ~ 5 hours and sorted into bin3 (bin4 < (GFP reporter)/(mCherry control) < bin2) by FACS,"Microbe, viral or environmental"
SRR8144026,11000150,2966210692,134,1078,SRX4964667,Trp_100uM_R1_bin2,AMPLICON,PCR,SYNTHETIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP167419,PRJNA503322,1,"",SRS4004273,SAMN10358611,simple,562,Escherichia coli,Trp_100uM_R1_bin2,Tsinghua University,SRA801834,12,2018,Makar,"",Trp_100uM_replicate1_bin2,K12 MG1655,bacteria,2017-01-17,China,cell culture,Xiang Zheng,This replicate 1 sample is treated with 100uM tryptophan (Ala-Trp dipeptide) for ~ 5 hours and sorted into bin2 (bin3 < (GFP reporter)/(mCherry control) < bin1) by FACS,"Microbe, viral or environmental"
