Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genetic background,cell line,extracted molecule,GEO Accession
SRR8145455,20027223,605196870,30,240,SRX4966061,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP167457,PRJNA503400,30467178,"",SRS4005571,SAMN10359332,simple,9606,Homo sapiens,GSM3454274,GEO,SRA802561,11,2018,Akichika,ribo WT,ribo_WT,ribo WT,WT,HEK293T,total RNA,GSM3454274
SRR8145456,22421136,682534752,30,265,SRX4966062,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP167457,PRJNA503400,30467178,"",SRS4005572,SAMN10359360,simple,9606,Homo sapiens,GSM3454275,GEO,SRA802561,11,2018,Akichika,ribo KO1,ribo_KO1_rep1,ribo KO1,CSAM-KO#1,HEK293T,total RNA,GSM3454275
SRR8145457,22236010,676596598,30,264,SRX4966063,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP167457,PRJNA503400,30467178,"",SRS4005573,SAMN10359359,simple,9606,Homo sapiens,GSM3454276,GEO,SRA802561,11,2018,Akichika,ribo KO1,ribo_KO1_rep2,ribo KO1,CSAM-KO#1,HEK293T,total RNA,GSM3454276
SRR8145458,42811120,1291926831,30,511,SRX4966064,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP167457,PRJNA503400,30467178,"",SRS4005574,SAMN10359358,simple,9606,Homo sapiens,GSM3454277,GEO,SRA802561,11,2018,Akichika,ribo KO2,ribo_KO2_rep1,ribo KO2,CSAM-KO#2,HEK293T,total RNA,GSM3454277
SRR8145459,22833462,686513309,30,278,SRX4966065,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP167457,PRJNA503400,30467178,"",SRS4005575,SAMN10359356,simple,9606,Homo sapiens,GSM3454278,GEO,SRA802561,11,2018,Akichika,ribo KO2,ribo_KO2_rep2,ribo KO2,CSAM-KO#2,HEK293T,total RNA,GSM3454278
SRR8145460,43608873,2185766407,50,747,SRX4966066,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP167457,PRJNA503400,30467178,"",SRS4005577,SAMN10359355,simple,9606,Homo sapiens,GSM3454279,GEO,SRA802561,11,2018,Akichika,rna WT,rna_WT_rep1,rna WT,WT#1,HEK293T,total RNA,GSM3454279
SRR8145461,35883952,1798451250,50,609,SRX4966067,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP167457,PRJNA503400,30467178,"",SRS4005576,SAMN10359353,simple,9606,Homo sapiens,GSM3454280,GEO,SRA802561,11,2018,Akichika,rna WT,rna_WT_rep2,rna WT,WT#2,HEK293T,total RNA,GSM3454280
SRR8145462,28832650,1445510757,50,489,SRX4966068,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP167457,PRJNA503400,30467178,"",SRS4005578,SAMN10359351,simple,9606,Homo sapiens,GSM3454281,GEO,SRA802561,11,2018,Akichika,rna KO1,rna_KO1_rep1,rna KO1,CSAM-KO#1,HEK293T,total RNA,GSM3454281
SRR8145463,34620414,1735602673,50,589,SRX4966069,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP167457,PRJNA503400,30467178,"",SRS4005579,SAMN10359349,simple,9606,Homo sapiens,GSM3454282,GEO,SRA802561,11,2018,Akichika,rna KO1,rna_KO1_rep2,rna KO1,CSAM-KO#1,HEK293T,total RNA,GSM3454282
SRR8145464,32088901,1608710402,50,546,SRX4966070,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP167457,PRJNA503400,30467178,"",SRS4005580,SAMN10359347,simple,9606,Homo sapiens,GSM3454283,GEO,SRA802561,11,2018,Akichika,rna KO2,rna_KO2_rep1,rna KO2,CSAM-KO#2,HEK293T,total RNA,GSM3454283
SRR8145465,30919625,1549668962,50,524,SRX4966071,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP167457,PRJNA503400,30467178,"",SRS4005581,SAMN10359346,simple,9606,Homo sapiens,GSM3454284,GEO,SRA802561,11,2018,Akichika,rna KO2,rna_KO2_rep2,rna KO2,CSAM-KO#2,HEK293T,total RNA,GSM3454284
